Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,Q98069
ID Dispositivo:,,Station01
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
7/27/2021,1:15:00 PM,2416
7/27/2021,1:30:00 PM,2376
7/27/2021,1:45:00 PM,2371
7/27/2021,2:00:00 PM,2366
7/27/2021,2:15:00 PM,2326
7/27/2021,2:30:00 PM,2296
7/27/2021,2:45:00 PM,2311
7/27/2021,3:00:00 PM,2351
7/27/2021,3:15:00 PM,2371
7/27/2021,3:30:00 PM,2351
7/27/2021,3:45:00 PM,2361
7/27/2021,4:00:00 PM,2351
7/27/2021,4:15:00 PM,2346
7/27/2021,4:30:00 PM,2371
7/27/2021,4:45:00 PM,2376
7/27/2021,5:00:00 PM,2396
7/27/2021,5:15:00 PM,2421
7/27/2021,5:30:00 PM,2466
7/27/2021,5:45:00 PM,2531
7/27/2021,6:00:00 PM,2571
7/27/2021,6:15:00 PM,2647
7/27/2021,6:30:00 PM,2687
7/27/2021,6:45:00 PM,2727
7/27/2021,7:00:00 PM,2762
7/27/2021,7:15:00 PM,2757
7/27/2021,7:30:00 PM,2807
7/27/2021,7:45:00 PM,2842
7/27/2021,8:00:00 PM,2867
7/27/2021,8:15:00 PM,2862
7/27/2021,8:30:00 PM,2892
7/27/2021,8:45:00 PM,2917
7/27/2021,9:00:00 PM,2907
7/27/2021,9:15:00 PM,2942
7/27/2021,9:30:00 PM,2942
7/27/2021,9:45:00 PM,2957
7/27/2021,10:00:00 PM,2962
7/27/2021,10:15:00 PM,2988
7/27/2021,10:30:00 PM,3003
7/27/2021,10:45:00 PM,3028
7/27/2021,11:00:00 PM,3018
7/27/2021,11:15:00 PM,3018
7/27/2021,11:30:00 PM,3063
7/27/2021,11:45:00 PM,3088
7/28/2021,12:00:00 AM,3083
7/28/2021,12:15:00 AM,3113
7/28/2021,12:30:00 AM,3113
7/28/2021,12:45:00 AM,3128
7/28/2021,1:00:00 AM,3158
7/28/2021,1:15:00 AM,3123
7/28/2021,1:30:00 AM,3183
7/28/2021,1:45:00 AM,3178
7/28/2021,2:00:00 AM,3163
7/28/2021,2:15:00 AM,3213
7/28/2021,2:30:00 AM,3203
7/28/2021,2:45:00 AM,3223
7/28/2021,3:00:00 AM,3268
7/28/2021,3:15:00 AM,3248
7/28/2021,3:30:00 AM,3243
7/28/2021,3:45:00 AM,3258
7/28/2021,4:00:00 AM,3238
7/28/2021,4:15:00 AM,3253
7/28/2021,4:30:00 AM,3238
7/28/2021,4:45:00 AM,3243
7/28/2021,5:00:00 AM,3273
7/28/2021,5:15:00 AM,3273
7/28/2021,5:30:00 AM,3283
7/28/2021,5:45:00 AM,3293
7/28/2021,6:00:00 AM,3293
7/28/2021,6:15:00 AM,3318
7/28/2021,6:30:00 AM,3308
7/28/2021,6:45:00 AM,3308
7/28/2021,7:00:00 AM,3308
7/28/2021,7:15:00 AM,3288
7/28/2021,7:30:00 AM,3318
7/28/2021,7:45:00 AM,3278
7/28/2021,8:00:00 AM,3263
7/28/2021,8:15:00 AM,3258
7/28/2021,8:30:00 AM,3233
7/28/2021,8:45:00 AM,3203
7/28/2021,9:00:00 AM,3193
7/28/2021,9:15:00 AM,3188
7/28/2021,9:30:00 AM,3153
7/28/2021,9:45:00 AM,3153
7/28/2021,10:00:00 AM,3148
7/28/2021,10:15:00 AM,3103
7/28/2021,10:30:00 AM,3103
7/28/2021,10:45:00 AM,3088
7/28/2021,11:00:00 AM,3103
7/28/2021,11:15:00 AM,3083
7/28/2021,11:30:00 AM,3053
7/28/2021,11:45:00 AM,3058
7/28/2021,12:00:00 PM,3043
7/28/2021,12:15:00 PM,3043
7/28/2021,12:30:00 PM,3038
7/28/2021,12:45:00 PM,3028
7/28/2021,1:00:00 PM,2978
7/28/2021,1:15:00 PM,3028
7/28/2021,1:30:00 PM,3013
7/28/2021,1:45:00 PM,2998
7/28/2021,2:00:00 PM,2998
7/28/2021,2:15:00 PM,2988
7/28/2021,2:30:00 PM,2993
7/28/2021,2:45:00 PM,3008
7/28/2021,3:00:00 PM,3008
7/28/2021,3:15:00 PM,3008
7/28/2021,3:30:00 PM,3018
7/28/2021,3:45:00 PM,3003
7/28/2021,4:00:00 PM,3013
7/28/2021,4:15:00 PM,3048
7/28/2021,4:30:00 PM,3038
7/28/2021,4:45:00 PM,3178
7/28/2021,5:00:00 PM,3158
7/28/2021,5:15:00 PM,3208
7/28/2021,5:30:00 PM,3228
7/28/2021,5:45:00 PM,3298
7/28/2021,6:00:00 PM,3313
7/28/2021,6:15:00 PM,3353
7/28/2021,6:30:00 PM,3394
7/28/2021,6:45:00 PM,3424
7/28/2021,7:00:00 PM,3489
7/28/2021,7:15:00 PM,3504
7/28/2021,7:30:00 PM,3514
7/28/2021,7:45:00 PM,3559
7/28/2021,8:00:00 PM,3594
7/28/2021,8:15:00 PM,3594
7/28/2021,8:30:00 PM,3614
7/28/2021,8:45:00 PM,3619
7/28/2021,9:00:00 PM,3624
7/28/2021,9:15:00 PM,3659
7/28/2021,9:30:00 PM,3674
7/28/2021,9:45:00 PM,3709
7/28/2021,10:00:00 PM,3679
7/28/2021,10:15:00 PM,3704
7/28/2021,10:30:00 PM,3694
7/28/2021,10:45:00 PM,3689
7/28/2021,11:00:00 PM,3699
7/28/2021,11:15:00 PM,3719
7/28/2021,11:30:00 PM,3694
7/28/2021,11:45:00 PM,3709
7/29/2021,12:00:00 AM,3724
7/29/2021,12:15:00 AM,3734
7/29/2021,12:30:00 AM,3754
7/29/2021,12:45:00 AM,3754
7/29/2021,1:00:00 AM,3734
7/29/2021,1:15:00 AM,3724
7/29/2021,1:30:00 AM,3739
7/29/2021,1:45:00 AM,3754
7/29/2021,2:00:00 AM,3775
7/29/2021,2:15:00 AM,3749
7/29/2021,2:30:00 AM,3800
7/29/2021,2:45:00 AM,3790
7/29/2021,3:00:00 AM,3775
7/29/2021,3:15:00 AM,3815
7/29/2021,3:30:00 AM,3840
7/29/2021,3:45:00 AM,3850
7/29/2021,4:00:00 AM,3835
7/29/2021,4:15:00 AM,3850
7/29/2021,4:30:00 AM,3865
7/29/2021,4:45:00 AM,3850
7/29/2021,5:00:00 AM,3890
7/29/2021,5:15:00 AM,3930
7/29/2021,5:30:00 AM,3880
7/29/2021,5:45:00 AM,3890
7/29/2021,6:00:00 AM,3900
7/29/2021,6:15:00 AM,3895
7/29/2021,6:30:00 AM,3905
7/29/2021,6:45:00 AM,3935
7/29/2021,7:00:00 AM,3940
7/29/2021,7:15:00 AM,3965
7/29/2021,7:30:00 AM,3940
7/29/2021,7:45:00 AM,3910
7/29/2021,8:00:00 AM,3875
7/29/2021,8:15:00 AM,3875
7/29/2021,8:30:00 AM,3865
7/29/2021,8:45:00 AM,3855
7/29/2021,9:00:00 AM,3815
7/29/2021,9:15:00 AM,3795
7/29/2021,9:30:00 AM,3790
7/29/2021,9:45:00 AM,3780
7/29/2021,10:00:00 AM,3759
7/29/2021,10:15:00 AM,3744
7/29/2021,10:30:00 AM,3739
7/29/2021,10:45:00 AM,3724
7/29/2021,11:00:00 AM,3704
7/29/2021,11:15:00 AM,3689
7/29/2021,11:30:00 AM,3674
7/29/2021,11:45:00 AM,3679
7/29/2021,12:00:00 PM,3679
7/29/2021,12:15:00 PM,3659
7/29/2021,12:30:00 PM,3644
7/29/2021,12:45:00 PM,3689
7/29/2021,1:00:00 PM,3644
7/29/2021,1:15:00 PM,3709
7/29/2021,1:30:00 PM,3714
7/29/2021,1:45:00 PM,3724
7/29/2021,2:00:00 PM,3719
7/29/2021,2:15:00 PM,3734
7/29/2021,2:30:00 PM,3780
7/29/2021,2:45:00 PM,3795
7/29/2021,3:00:00 PM,3775
7/29/2021,3:15:00 PM,3790
7/29/2021,3:30:00 PM,3775
7/29/2021,3:45:00 PM,3800
7/29/2021,4:00:00 PM,3830
7/29/2021,4:15:00 PM,3820
7/29/2021,4:30:00 PM,3870
7/29/2021,4:45:00 PM,3880
7/29/2021,5:00:00 PM,3895
7/29/2021,5:15:00 PM,3895
7/29/2021,5:30:00 PM,3945
7/29/2021,5:45:00 PM,3930
7/29/2021,6:00:00 PM,3965
7/29/2021,6:15:00 PM,4010
7/29/2021,6:30:00 PM,4070
7/29/2021,6:45:00 PM,4100
7/29/2021,7:00:00 PM,4105
7/29/2021,7:15:00 PM,4150
7/29/2021,7:30:00 PM,4150
7/29/2021,7:45:00 PM,4201
7/29/2021,8:00:00 PM,4181
7/29/2021,8:15:00 PM,4191
7/29/2021,8:30:00 PM,4211
7/29/2021,8:45:00 PM,4236
7/29/2021,9:00:00 PM,4261
7/29/2021,9:15:00 PM,4301
7/29/2021,9:30:00 PM,4306
7/29/2021,9:45:00 PM,4311
7/29/2021,10:00:00 PM,4311
7/29/2021,10:15:00 PM,4316
7/29/2021,10:30:00 PM,4281
7/29/2021,10:45:00 PM,4326
7/29/2021,11:00:00 PM,4356
7/29/2021,11:15:00 PM,4361
7/29/2021,11:30:00 PM,4341
7/29/2021,11:45:00 PM,4351
7/30/2021,12:00:00 AM,4351
7/30/2021,12:15:00 AM,4321
7/30/2021,12:30:00 AM,4341
7/30/2021,12:45:00 AM,4356
7/30/2021,1:00:00 AM,4351
7/30/2021,1:15:00 AM,4356
7/30/2021,1:30:00 AM,4346
7/30/2021,1:45:00 AM,4366
7/30/2021,2:00:00 AM,4341
7/30/2021,2:15:00 AM,4346
7/30/2021,2:30:00 AM,4366
7/30/2021,2:45:00 AM,4356
7/30/2021,3:00:00 AM,4386
7/30/2021,3:15:00 AM,4351
