Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R39140
ID Dispositivo:,,Stn01 well
,,
,,Canal 1
Date,Time,Voltaje (ppm)
11/29/2022,2:12:47 PM,6652.8
11/29/2022,2:27:47 PM,8611.8
11/29/2022,2:42:47 PM,9519.9
11/29/2022,2:57:47 PM,9607.1
11/29/2022,3:12:47 PM,9617.6
11/29/2022,3:27:47 PM,9507.8
11/29/2022,3:42:47 PM,9510.8
11/29/2022,3:57:47 PM,9577
11/29/2022,4:12:47 PM,9641.6
11/29/2022,4:27:47 PM,9760.4
11/29/2022,4:42:47 PM,9795
11/29/2022,4:57:47 PM,9743.9
11/29/2022,5:12:47 PM,9730.3
11/29/2022,5:27:47 PM,9751.4
11/29/2022,5:42:47 PM,9758.9
11/29/2022,5:57:47 PM,9810
11/29/2022,6:12:47 PM,9816
11/29/2022,6:27:47 PM,9795
11/29/2022,6:42:47 PM,9781.5
11/29/2022,6:57:47 PM,9849.1
11/29/2022,7:12:47 PM,9865.7
11/29/2022,7:27:47 PM,9954.4
11/29/2022,7:42:47 PM,10037
11/29/2022,7:57:47 PM,10038.6
11/29/2022,8:12:47 PM,10073.1
11/29/2022,8:27:47 PM,10149.8
11/29/2022,8:42:47 PM,10170.9
11/29/2022,8:57:47 PM,10151.3
11/29/2022,9:12:47 PM,10163.3
11/29/2022,9:27:47 PM,10103.2
11/29/2022,9:42:47 PM,10074.6
11/29/2022,9:57:47 PM,10145.3
11/29/2022,10:12:47 PM,10088.2
11/29/2022,10:27:47 PM,10082.2
11/29/2022,10:42:47 PM,10136.3
11/29/2022,10:57:47 PM,10196.4
11/29/2022,11:12:47 PM,10241.5
11/29/2022,11:27:47 PM,10309.2
11/29/2022,11:42:47 PM,10309.2
11/29/2022,11:57:47 PM,10330.2
11/30/2022,12:12:47 AM,10330.2
11/30/2022,12:27:47 AM,10318.2
11/30/2022,12:42:47 AM,10330.2
11/30/2022,12:57:47 AM,10406.9
11/30/2022,1:12:47 AM,10437
11/30/2022,1:27:47 AM,10495.6
11/30/2022,1:42:47 AM,10572.3
11/30/2022,1:57:47 AM,10603.9
11/30/2022,2:12:47 AM,10632.4
11/30/2022,2:27:47 AM,10677.5
11/30/2022,2:42:47 AM,10722.6
11/30/2022,2:57:47 AM,10770.7
11/30/2022,3:12:47 AM,10808.3
11/30/2022,3:27:47 AM,10805.3
11/30/2022,3:42:47 AM,10844.4
11/30/2022,3:57:47 AM,10860.9
11/30/2022,4:12:47 AM,10851.9
11/30/2022,4:27:47 AM,10897
11/30/2022,4:42:47 AM,10927.1
11/30/2022,4:57:47 AM,10948.1
11/30/2022,5:12:47 AM,10883.5
11/30/2022,5:27:47 AM,10894
11/30/2022,5:42:47 AM,10836.9
11/30/2022,5:57:47 AM,10790.3
11/30/2022,6:12:47 AM,10811.3
11/30/2022,6:27:47 AM,10838.4
11/30/2022,6:42:47 AM,10851.9
