Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,R21333
ID Dispositivo:,,Stn2
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
11/30/2022,1:11:23 PM,1348.3
11/30/2022,1:26:23 PM,1206.9
11/30/2022,1:41:23 PM,1372.4
11/30/2022,1:56:23 PM,1361.9
11/30/2022,2:11:23 PM,1220.4
11/30/2022,2:26:23 PM,1376.9
11/30/2022,2:41:23 PM,1396.5
11/30/2022,2:56:23 PM,1221.9
11/30/2022,3:11:23 PM,1104.6
11/30/2022,3:26:23 PM,1270.1
11/30/2022,3:41:23 PM,1407
11/30/2022,3:56:23 PM,1286.6
11/30/2022,4:11:23 PM,1224.9
11/30/2022,4:26:23 PM,1410
11/30/2022,4:41:23 PM,1259.6
11/30/2022,4:56:23 PM,1342.3
11/30/2022,5:11:23 PM,1395
11/30/2022,5:26:23 PM,1194.8
11/30/2022,5:41:23 PM,1232.5
11/30/2022,5:56:23 PM,1274.6
11/30/2022,6:11:23 PM,1253.5
11/30/2022,6:26:23 PM,1116.6
11/30/2022,6:41:23 PM,1379.9
11/30/2022,6:56:23 PM,1200.9
11/30/2022,7:11:23 PM,1360.4
11/30/2022,7:26:23 PM,1261.1
11/30/2022,7:41:23 PM,1232.5
11/30/2022,7:56:23 PM,1276.1
11/30/2022,8:11:23 PM,1206.9
11/30/2022,8:26:23 PM,1369.4
11/30/2022,8:41:23 PM,1322.8
11/30/2022,8:56:23 PM,1256.5
11/30/2022,9:11:23 PM,1187.3
11/30/2022,9:26:23 PM,1208.4
11/30/2022,9:41:23 PM,1367.9
11/30/2022,9:56:23 PM,1373.9
11/30/2022,10:11:23 PM,1249
11/30/2022,10:26:23 PM,1199.4
11/30/2022,10:41:23 PM,1361.9
11/30/2022,10:56:23 PM,1292.7
11/30/2022,11:11:23 PM,1343.8
11/30/2022,11:26:23 PM,1163.2
11/30/2022,11:41:23 PM,1240
11/30/2022,11:56:23 PM,1175.3
12/1/2022,12:11:23 AM,1313.7
12/1/2022,12:26:23 AM,1285.1
12/1/2022,12:41:23 AM,1164.8
12/1/2022,12:56:23 AM,1136.2
12/1/2022,1:11:23 AM,1139.2
12/1/2022,1:26:23 AM,1283.6
12/1/2022,1:41:23 AM,1136.2
12/1/2022,1:56:23 AM,1142.2
12/1/2022,2:11:23 AM,1125.6
12/1/2022,2:26:23 AM,1279.1
12/1/2022,2:41:23 AM,1097
12/1/2022,2:56:23 AM,1241.5
12/1/2022,3:11:23 AM,1252
12/1/2022,3:26:23 AM,1229.5
12/1/2022,3:41:23 AM,1107.6
12/1/2022,3:56:23 AM,1155.7
12/1/2022,4:11:23 AM,1103.1
12/1/2022,4:26:23 AM,1164.8
12/1/2022,4:41:23 AM,1115.1
12/1/2022,4:56:23 AM,1107.6
12/1/2022,5:11:23 AM,1235.5
12/1/2022,5:26:23 AM,1133.2
12/1/2022,5:41:23 AM,1224.9
12/1/2022,5:56:23 AM,1079
12/1/2022,6:11:23 AM,1130.1
12/1/2022,6:26:23 AM,1196.4
12/1/2022,6:41:23 AM,1057.9
12/1/2022,6:56:23 AM,1097
12/1/2022,7:11:23 AM,1045.9
12/1/2022,7:26:23 AM,1094
12/1/2022,7:41:23 AM,1142.2
12/1/2022,7:56:23 AM,1143.7
12/1/2022,8:11:23 AM,1151.2
12/1/2022,8:26:23 AM,1065.4
12/1/2022,8:41:23 AM,1047.4
12/1/2022,8:56:23 AM,1118.1
12/1/2022,9:11:23 AM,1127.1
12/1/2022,9:26:23 AM,1124.1
12/1/2022,9:41:23 AM,1017.3
12/1/2022,9:56:23 AM,1092.5
12/1/2022,10:11:23 AM,1122.6
12/1/2022,10:26:23 AM,1127.1
12/1/2022,10:41:23 AM,1155.7
12/1/2022,10:56:23 AM,1131.6
12/1/2022,11:11:23 AM,1059.4
12/1/2022,11:26:23 AM,1100
12/1/2022,11:41:23 AM,1079
12/1/2022,11:56:23 AM,1100
12/1/2022,12:11:23 PM,1029.3
12/1/2022,12:26:23 PM,1047.4
12/1/2022,12:41:23 PM,1035.3
12/1/2022,12:56:23 PM,1161.7
12/1/2022,1:11:23 PM,1042.9
12/1/2022,1:26:23 PM,1212.9
12/1/2022,1:41:23 PM,1196.4
12/1/2022,1:56:23 PM,1185.8
12/1/2022,2:11:23 PM,1206.9
12/1/2022,2:26:23 PM,1139.2
12/1/2022,2:41:23 PM,1113.6
12/1/2022,2:56:23 PM,1133.2
12/1/2022,3:11:23 PM,1134.7
12/1/2022,3:26:23 PM,1079
12/1/2022,3:41:23 PM,1185.8
12/1/2022,3:56:23 PM,1115.1
12/1/2022,4:11:23 PM,1203.9
12/1/2022,4:26:23 PM,1079
12/1/2022,4:41:23 PM,1057.9
12/1/2022,4:56:23 PM,1194.8
12/1/2022,5:11:23 PM,1092.5
12/1/2022,5:26:23 PM,1178.3
12/1/2022,5:41:23 PM,1220.4
