Nombre Dispositivo:,,OM-CP-VOLT101A
Descripción del dispositivo:,,Registrador de Voltaje
Número de Serie:,,S02590
ID Dispositivo:,,Stn3
,,
,,Canal 1
Date,Tiempo,Voltaje (ppm)
10/19/2022,3:24:00 PM,20
10/19/2022,3:39:00 PM,150
10/19/2022,3:54:00 PM,20
10/19/2022,4:09:00 PM,120
10/19/2022,4:24:00 PM,130
10/19/2022,4:39:00 PM,140
10/19/2022,4:54:00 PM,140
10/19/2022,5:09:00 PM,145
10/19/2022,5:24:00 PM,155
10/19/2022,5:39:00 PM,130
10/19/2022,5:54:00 PM,160
10/19/2022,6:09:00 PM,155
10/19/2022,6:24:00 PM,175
10/19/2022,6:39:00 PM,190
10/19/2022,6:54:00 PM,190
10/19/2022,7:09:00 PM,185
10/19/2022,7:24:00 PM,200
10/19/2022,7:39:00 PM,190
10/19/2022,7:54:00 PM,215
10/19/2022,8:09:00 PM,220
10/19/2022,8:24:00 PM,215
10/19/2022,8:39:00 PM,220
10/19/2022,8:54:00 PM,240
10/19/2022,9:09:00 PM,235
10/19/2022,9:24:00 PM,250
10/19/2022,9:39:00 PM,225
10/19/2022,9:54:00 PM,240
10/19/2022,10:09:00 PM,245
10/19/2022,10:24:00 PM,240
10/19/2022,10:39:00 PM,261
10/19/2022,10:54:00 PM,240
10/19/2022,11:09:00 PM,271
10/19/2022,11:24:00 PM,245
10/19/2022,11:39:00 PM,225
10/19/2022,11:54:00 PM,225
10/20/2022,12:09:00 AM,250
10/20/2022,12:24:00 AM,230
10/20/2022,12:39:00 AM,245
10/20/2022,12:54:00 AM,240
10/20/2022,1:09:00 AM,235
10/20/2022,1:24:00 AM,255
10/20/2022,1:39:00 AM,266
10/20/2022,1:54:00 AM,245
10/20/2022,2:09:00 AM,281
10/20/2022,2:24:00 AM,271
10/20/2022,2:39:00 AM,255
10/20/2022,2:54:00 AM,266
10/20/2022,3:09:00 AM,245
10/20/2022,3:24:00 AM,250
10/20/2022,3:39:00 AM,281
10/20/2022,3:54:00 AM,286
10/20/2022,4:09:00 AM,271
10/20/2022,4:24:00 AM,286
10/20/2022,4:39:00 AM,286
10/20/2022,4:54:00 AM,281
10/20/2022,5:09:00 AM,291
10/20/2022,5:24:00 AM,286
10/20/2022,5:39:00 AM,296
10/20/2022,5:54:00 AM,286
10/20/2022,6:09:00 AM,296
10/20/2022,6:24:00 AM,291
10/20/2022,6:39:00 AM,296
10/20/2022,6:54:00 AM,316
10/20/2022,7:09:00 AM,296
10/20/2022,7:24:00 AM,286
10/20/2022,7:39:00 AM,306
10/20/2022,7:54:00 AM,316
10/20/2022,8:09:00 AM,311
10/20/2022,8:24:00 AM,321
