Nombre Dispositivo:,,OM-CP-VOLT101A
Descripci—n del dispositivo:,,Registrador de Voltaje
Nœmero de Serie:,,R39140
ID Dispositivo:,,Stn01 newV
,,
,,Canal 1
Fecha ,Tiempo,Voltaje (ppm)
18/02/2023,12:15:00 PM,100.7
18/02/2023,12:30:00 PM,88.7
18/02/2023,12:45:00 PM,87.2
18/02/2023,1:00:00 PM,15796.8
18/02/2023,1:15:00 PM,15894.5
18/02/2023,1:30:00 PM,15847.9
18/02/2023,1:45:00 PM,15643.4
18/02/2023,2:00:00 PM,15383.3
18/02/2023,2:15:00 PM,15114.2
18/02/2023,2:30:00 PM,14992.4
18/02/2023,2:45:00 PM,14881.2
18/02/2023,3:00:00 PM,14760.9
18/02/2023,3:15:00 PM,13514.5
18/02/2023,3:30:00 PM,12565.9
18/02/2023,3:45:00 PM,12090.8
18/02/2023,4:00:00 PM,11908.8
18/02/2023,4:15:00 PM,11812.6
18/02/2023,4:30:00 PM,11636.7
18/02/2023,4:45:00 PM,11352.6
18/02/2023,5:00:00 PM,11071.4
18/02/2023,5:15:00 PM,10949.6
18/02/2023,5:30:00 PM,10787.3
18/02/2023,5:45:00 PM,10545.2
18/02/2023,6:00:00 PM,10366.3
18/02/2023,6:15:00 PM,10235.5
18/02/2023,6:30:00 PM,10071.6
18/02/2023,6:45:00 PM,9925.8
18/02/2023,7:00:00 PM,9928.8
18/02/2023,7:15:00 PM,9882.2
18/02/2023,7:30:00 PM,9760.4
18/02/2023,7:45:00 PM,9773.9
18/02/2023,8:00:00 PM,9789
18/02/2023,8:15:00 PM,9751.4
18/02/2023,8:30:00 PM,9715.3
18/02/2023,8:45:00 PM,9608.6
18/02/2023,9:00:00 PM,9565
18/02/2023,9:15:00 PM,9495.8
18/02/2023,9:30:00 PM,9390.6
18/02/2023,9:45:00 PM,9414.6
18/02/2023,10:00:00 PM,9363.5
18/02/2023,10:15:00 PM,9249.2
18/02/2023,10:30:00 PM,9318.4
18/02/2023,10:45:00 PM,9368
18/02/2023,11:00:00 PM,9374
18/02/2023,11:15:00 PM,9444.7
18/02/2023,11:30:00 PM,9494.3
18/02/2023,11:45:00 PM,9519.9
19/02/2023,12:00:00 AM,9512.3
19/02/2023,12:15:00 AM,9572.5
19/02/2023,12:30:00 AM,9516.9
19/02/2023,12:45:00 AM,9565
19/02/2023,1:00:00 AM,9610.1
19/02/2023,1:15:00 AM,9549.9
19/02/2023,1:30:00 AM,9610.1
19/02/2023,1:45:00 AM,9584.5
19/02/2023,2:00:00 AM,9610.1
19/02/2023,2:15:00 AM,9549.9
19/02/2023,2:30:00 AM,9486.8
19/02/2023,2:45:00 AM,9368
19/02/2023,3:00:00 AM,9337.9
19/02/2023,3:15:00 AM,9337.9
19/02/2023,3:30:00 AM,9301.9
19/02/2023,3:45:00 AM,9289.8
19/02/2023,4:00:00 AM,9256.8
19/02/2023,4:15:00 AM,9210.2
19/02/2023,4:30:00 AM,9256.8
19/02/2023,4:45:00 AM,9268.8
19/02/2023,5:00:00 AM,9277.8
19/02/2023,5:15:00 AM,9337.9
19/02/2023,5:30:00 AM,9315.4
19/02/2023,5:45:00 AM,9319.9
19/02/2023,6:00:00 AM,9330.4
19/02/2023,6:15:00 AM,9353
19/02/2023,6:30:00 AM,9313.9
19/02/2023,6:45:00 AM,9353
19/02/2023,7:00:00 AM,9383
19/02/2023,7:15:00 AM,9368
19/02/2023,7:30:00 AM,9384.6
19/02/2023,7:45:00 AM,9497.3
19/02/2023,8:00:00 AM,9459.7
19/02/2023,8:15:00 AM,9548.4
19/02/2023,8:30:00 AM,9677.7
19/02/2023,8:45:00 AM,9698.8
19/02/2023,9:00:00 AM,9677.7
19/02/2023,9:15:00 AM,9731.8
19/02/2023,9:30:00 AM,9709.3
19/02/2023,9:45:00 AM,9700.3
19/02/2023,10:00:00 AM,9670.2
19/02/2023,10:15:00 AM,9736.4
19/02/2023,10:30:00 AM,9888.2
19/02/2023,10:45:00 AM,9813
19/02/2023,11:00:00 AM,9760.4
19/02/2023,11:15:00 AM,9798
19/02/2023,11:30:00 AM,10032.5
19/02/2023,11:45:00 AM,10046.1
19/02/2023,12:00:00 PM,10250.5
19/02/2023,12:15:00 PM,10391.9
19/02/2023,12:30:00 PM,10670
19/02/2023,12:45:00 PM,10895.5
19/02/2023,1:00:00 PM,10679
19/02/2023,1:15:00 PM,10582.8
19/02/2023,1:30:00 PM,10441.5
19/02/2023,1:45:00 PM,10680.5
19/02/2023,2:00:00 PM,10709.1
19/02/2023,2:15:00 PM,10498.6
19/02/2023,2:30:00 PM,10431
19/02/2023,2:45:00 PM,10498.6
19/02/2023,3:00:00 PM,10612.9
19/02/2023,3:15:00 PM,10555.7
19/02/2023,3:30:00 PM,10632.4
19/02/2023,3:45:00 PM,10536.2
19/02/2023,4:00:00 PM,10558.7
19/02/2023,4:15:00 PM,10566.3
19/02/2023,4:30:00 PM,10596.3
19/02/2023,4:45:00 PM,10641.4
19/02/2023,5:00:00 PM,10688
19/02/2023,5:15:00 PM,10788.8
19/02/2023,5:30:00 PM,10836.9
19/02/2023,5:45:00 PM,10897
19/02/2023,6:00:00 PM,10942.1
19/02/2023,6:15:00 PM,10958.7
19/02/2023,6:30:00 PM,10996.3
19/02/2023,6:45:00 PM,11002.3
19/02/2023,7:00:00 PM,11077.4
19/02/2023,7:15:00 PM,11133.1
19/02/2023,7:30:00 PM,11155.6
19/02/2023,7:45:00 PM,11193.2
19/02/2023,8:00:00 PM,11221.8
19/02/2023,8:15:00 PM,11283.4
19/02/2023,8:30:00 PM,11328.5
19/02/2023,8:45:00 PM,11336
19/02/2023,9:00:00 PM,11355.6
19/02/2023,9:15:00 PM,11432.3
19/02/2023,9:30:00 PM,11364.6
19/02/2023,9:45:00 PM,11375.1
19/02/2023,10:00:00 PM,11418.7
19/02/2023,10:15:00 PM,11412.7
19/02/2023,10:30:00 PM,11487.9
19/02/2023,10:45:00 PM,11481.9
19/02/2023,11:00:00 PM,11492.4
19/02/2023,11:15:00 PM,11517.9
19/02/2023,11:30:00 PM,11554
19/02/2023,11:45:00 PM,11537.5
20/02/2023,12:00:00 AM,11540.5
20/02/2023,12:15:00 AM,11516.4
20/02/2023,12:30:00 AM,11563.1
20/02/2023,12:45:00 AM,11593.1
20/02/2023,1:00:00 AM,11662.3
20/02/2023,1:15:00 AM,11662.3
20/02/2023,1:30:00 AM,11704.4
20/02/2023,1:45:00 AM,11705.9
20/02/2023,2:00:00 AM,11726.9
20/02/2023,2:15:00 AM,11758.5
20/02/2023,2:30:00 AM,11824.7
20/02/2023,2:45:00 AM,11772
20/02/2023,3:00:00 AM,11794.6
20/02/2023,3:15:00 AM,11796.1
20/02/2023,3:30:00 AM,11760
20/02/2023,3:45:00 AM,11854.7
20/02/2023,4:00:00 AM,11811.1
20/02/2023,4:15:00 AM,11772
20/02/2023,4:30:00 AM,11775
20/02/2023,4:45:00 AM,11796.1
20/02/2023,5:00:00 AM,11751
20/02/2023,5:15:00 AM,11778
20/02/2023,5:30:00 AM,11803.6
20/02/2023,5:45:00 AM,11842.7
20/02/2023,6:00:00 AM,11863.7
20/02/2023,6:15:00 AM,11901.3
20/02/2023,6:30:00 AM,11916.4
20/02/2023,6:45:00 AM,11975
20/02/2023,7:00:00 AM,12006.6
20/02/2023,7:15:00 AM,12047.2
20/02/2023,7:30:00 AM,12053.2
20/02/2023,7:45:00 AM,12113.3
20/02/2023,8:00:00 AM,12200.5
20/02/2023,8:15:00 AM,12269.7
20/02/2023,8:30:00 AM,12325.3
20/02/2023,8:45:00 AM,12421.5
20/02/2023,9:00:00 AM,12489.2
20/02/2023,9:15:00 AM,12635
20/02/2023,9:30:00 AM,12588.4
20/02/2023,9:45:00 AM,12594.4
20/02/2023,10:00:00 AM,12519.2
20/02/2023,10:15:00 AM,12744.8
20/02/2023,10:30:00 AM,12859
20/02/2023,10:45:00 AM,12777.8
20/02/2023,11:00:00 AM,12726.7
20/02/2023,11:15:00 AM,12741.8
20/02/2023,11:30:00 AM,12789.9
20/02/2023,11:45:00 AM,12854.5
20/02/2023,12:00:00 PM,12868.1
20/02/2023,12:15:00 PM,13054.5
20/02/2023,12:30:00 PM,13237.9
20/02/2023,12:45:00 PM,13386.7
20/02/2023,1:00:00 PM,13603.2
20/02/2023,1:15:00 PM,13607.7
20/02/2023,1:30:00 PM,13395.8
20/02/2023,1:45:00 PM,13343.1
20/02/2023,2:00:00 PM,13320.6
20/02/2023,2:15:00 PM,13305.6
20/02/2023,2:30:00 PM,13388.2
20/02/2023,2:45:00 PM,13442.4
20/02/2023,3:00:00 PM,13379.2
20/02/2023,3:15:00 PM,13401.8
20/02/2023,3:30:00 PM,13373.2
20/02/2023,3:45:00 PM,13206.3
20/02/2023,4:00:00 PM,12973.3
20/02/2023,4:15:00 PM,12498.2
20/02/2023,4:30:00 PM,12364.4
20/02/2023,4:45:00 PM,12278.7
20/02/2023,5:00:00 PM,12284.7
20/02/2023,5:15:00 PM,12307.3
20/02/2023,5:30:00 PM,12325.3
20/02/2023,5:45:00 PM,12299.7
20/02/2023,6:00:00 PM,12286.2
20/02/2023,6:15:00 PM,12271.2
20/02/2023,6:30:00 PM,12248.6
20/02/2023,6:45:00 PM,12355.4
20/02/2023,7:00:00 PM,12445.6
20/02/2023,7:15:00 PM,12390
20/02/2023,7:30:00 PM,12522.3
20/02/2023,7:45:00 PM,12528.3
20/02/2023,8:00:00 PM,12526.8
20/02/2023,8:15:00 PM,12611
20/02/2023,8:30:00 PM,12544.8
20/02/2023,8:45:00 PM,12543.3
20/02/2023,9:00:00 PM,12493.7
20/02/2023,9:15:00 PM,12481.7
20/02/2023,9:30:00 PM,12454.6
20/02/2023,9:45:00 PM,12451.6
20/02/2023,10:00:00 PM,12340.3
20/02/2023,10:15:00 PM,12179.5
20/02/2023,10:30:00 PM,12105.8
20/02/2023,10:45:00 PM,12015.6
20/02/2023,11:00:00 PM,11994.5
20/02/2023,11:15:00 PM,11934.4
20/02/2023,11:30:00 PM,11856.2
20/02/2023,11:45:00 PM,11748
21/02/2023,12:00:00 AM,11399.2
21/02/2023,12:15:00 AM,10799.3
21/02/2023,12:30:00 AM,10190.4
21/02/2023,12:45:00 AM,9691.3
21/02/2023,1:00:00 AM,9124.5
21/02/2023,1:15:00 AM,8395.3
21/02/2023,1:30:00 AM,7294.8
21/02/2023,1:45:00 AM,6299.5
21/02/2023,2:00:00 AM,5779.3
21/02/2023,2:15:00 AM,5741.7
21/02/2023,2:30:00 AM,5976.2
21/02/2023,2:45:00 AM,6254.4
21/02/2023,3:00:00 AM,6600.2
21/02/2023,3:15:00 AM,6812.1
21/02/2023,3:30:00 AM,6994.1
21/02/2023,3:45:00 AM,7204.5
21/02/2023,4:00:00 AM,7288.7
21/02/2023,4:15:00 AM,7333.8
21/02/2023,4:30:00 AM,7484.2
21/02/2023,4:45:00 AM,7592.4
21/02/2023,5:00:00 AM,7627
21/02/2023,5:15:00 AM,7687.2
21/02/2023,5:30:00 AM,7745.8
21/02/2023,5:45:00 AM,7845
21/02/2023,6:00:00 AM,7968.3
21/02/2023,6:15:00 AM,8019.4
21/02/2023,6:30:00 AM,8017.9
21/02/2023,6:45:00 AM,8002.9
21/02/2023,7:00:00 AM,7981.8
21/02/2023,7:15:00 AM,7861.6
21/02/2023,7:30:00 AM,7793.9
21/02/2023,7:45:00 AM,7726.2
21/02/2023,8:00:00 AM,7702.2
21/02/2023,8:15:00 AM,7708.2
21/02/2023,8:30:00 AM,7593.9
21/02/2023,8:45:00 AM,7461.6
21/02/2023,9:00:00 AM,7394
21/02/2023,9:15:00 AM,7273.7
21/02/2023,9:30:00 AM,7195.5
21/02/2023,9:45:00 AM,7106.8
21/02/2023,10:00:00 AM,7003.1
21/02/2023,10:15:00 AM,6870.8
21/02/2023,10:30:00 AM,6797.1
21/02/2023,10:45:00 AM,6721.9
21/02/2023,11:00:00 AM,6639.2
21/02/2023,11:15:00 AM,6616.7
21/02/2023,11:30:00 AM,6541.5
21/02/2023,11:45:00 AM,6583.6
21/02/2023,12:00:00 PM,6667.8
21/02/2023,12:15:00 PM,6684.3
21/02/2023,12:30:00 PM,6555.1
21/02/2023,12:45:00 PM,6502.4
21/02/2023,1:00:00 PM,6335.5
21/02/2023,1:15:00 PM,6275.4
21/02/2023,1:30:00 PM,6305.5
21/02/2023,1:45:00 PM,6367.1
21/02/2023,2:00:00 PM,6440.8
21/02/2023,2:15:00 PM,6449.8
21/02/2023,2:30:00 PM,6458.8
21/02/2023,2:45:00 PM,6457.3
21/02/2023,3:00:00 PM,6443.8
21/02/2023,3:15:00 PM,6502.4
21/02/2023,3:30:00 PM,6493.4
21/02/2023,3:45:00 PM,6555.1
21/02/2023,4:00:00 PM,6523.5
21/02/2023,4:15:00 PM,6494.9
21/02/2023,4:30:00 PM,6534
21/02/2023,4:45:00 PM,6525
21/02/2023,5:00:00 PM,6482.9
21/02/2023,5:15:00 PM,6534
21/02/2023,5:30:00 PM,6585.1
21/02/2023,5:45:00 PM,6615.2
21/02/2023,6:00:00 PM,6682.8
21/02/2023,6:15:00 PM,6682.8
21/02/2023,6:30:00 PM,6828.7
21/02/2023,6:45:00 PM,6941.4
21/02/2023,7:00:00 PM,6912.9
21/02/2023,7:15:00 PM,6926.4
21/02/2023,7:30:00 PM,6977.5
21/02/2023,7:45:00 PM,6998.6
21/02/2023,8:00:00 PM,7009.1
21/02/2023,8:15:00 PM,7091.8
21/02/2023,8:30:00 PM,7055.7
21/02/2023,8:45:00 PM,7106.8
21/02/2023,9:00:00 PM,7156.4
21/02/2023,9:15:00 PM,7144.4
21/02/2023,9:30:00 PM,7151.9
21/02/2023,9:45:00 PM,7221.1
21/02/2023,10:00:00 PM,7227.1
21/02/2023,10:15:00 PM,7257.2
21/02/2023,10:30:00 PM,7287.2
21/02/2023,10:45:00 PM,7242.1
21/02/2023,11:00:00 PM,7300.8
21/02/2023,11:15:00 PM,7332.3
21/02/2023,11:30:00 PM,7403
21/02/2023,11:45:00 PM,7407.5
22/02/2023,12:00:00 AM,7466.1
22/02/2023,12:15:00 AM,7400
22/02/2023,12:30:00 AM,7446.6
22/02/2023,12:45:00 AM,7469.2
22/02/2023,1:00:00 AM,7484.2
22/02/2023,1:15:00 AM,7497.7
22/02/2023,1:30:00 AM,7490.2
22/02/2023,1:45:00 AM,7482.7
22/02/2023,2:00:00 AM,7463.1
22/02/2023,2:15:00 AM,7476.7
22/02/2023,2:30:00 AM,7422.5
22/02/2023,2:45:00 AM,7383.5
22/02/2023,3:00:00 AM,7449.6
22/02/2023,3:15:00 AM,7418
22/02/2023,3:30:00 AM,7403
22/02/2023,3:45:00 AM,7446.6
22/02/2023,4:00:00 AM,7424
22/02/2023,4:15:00 AM,7443.6
22/02/2023,4:30:00 AM,7493.2
22/02/2023,4:45:00 AM,7469.2
22/02/2023,5:00:00 AM,7509.7
22/02/2023,5:15:00 AM,7422.5
22/02/2023,5:30:00 AM,7058.7
22/02/2023,5:45:00 AM,6873.8
22/02/2023,6:00:00 AM,6758
22/02/2023,6:15:00 AM,6646.8
22/02/2023,6:30:00 AM,6586.6
22/02/2023,6:45:00 AM,6586.6
22/02/2023,7:00:00 AM,6565.6
22/02/2023,7:15:00 AM,6595.6
22/02/2023,7:30:00 AM,6558.1
22/02/2023,7:45:00 AM,6460.3
22/02/2023,8:00:00 AM,6403.2
22/02/2023,8:15:00 AM,6422.7
22/02/2023,8:30:00 AM,6335.5
22/02/2023,8:45:00 AM,6368.6
22/02/2023,9:00:00 AM,6305.5
22/02/2023,9:15:00 AM,6284.4
22/02/2023,9:30:00 AM,6209.3
22/02/2023,9:45:00 AM,6156.6
22/02/2023,10:00:00 AM,6058.9
22/02/2023,10:15:00 AM,6060.4
22/02/2023,10:30:00 AM,5998.8
22/02/2023,10:45:00 AM,5974.7
22/02/2023,11:00:00 AM,5907.1
22/02/2023,11:15:00 AM,5907.1
22/02/2023,11:30:00 AM,5860.5
22/02/2023,11:45:00 AM,5753.7
22/02/2023,12:00:00 PM,5717.6
22/02/2023,12:15:00 PM,5642.5
22/02/2023,12:30:00 PM,5577.8
22/02/2023,12:45:00 PM,5558.3
22/02/2023,1:00:00 PM,5483.1
22/02/2023,1:15:00 PM,5469.6
22/02/2023,1:30:00 PM,5392.9
22/02/2023,1:45:00 PM,5361.3
22/02/2023,2:00:00 PM,5403.4
22/02/2023,2:15:00 PM,5454.5
22/02/2023,2:30:00 PM,5462
22/02/2023,2:45:00 PM,5439.5
22/02/2023,3:00:00 PM,5459
22/02/2023,3:15:00 PM,5487.6
22/02/2023,3:30:00 PM,5505.6
22/02/2023,3:45:00 PM,5484.6
22/02/2023,4:00:00 PM,5484.6
22/02/2023,4:15:00 PM,5460.5
22/02/2023,4:30:00 PM,5499.6
22/02/2023,4:45:00 PM,5505.6
22/02/2023,5:00:00 PM,5471.1
22/02/2023,5:15:00 PM,5507.1
22/02/2023,5:30:00 PM,5514.7
22/02/2023,5:45:00 PM,5537.2
22/02/2023,6:00:00 PM,5645.5
22/02/2023,6:15:00 PM,5689.1
22/02/2023,6:30:00 PM,5756.7
22/02/2023,6:45:00 PM,5851.4
22/02/2023,7:00:00 PM,5862
22/02/2023,7:15:00 PM,5982.2
22/02/2023,7:30:00 PM,5988.3
22/02/2023,7:45:00 PM,6073.9
22/02/2023,8:00:00 PM,6147.6
22/02/2023,8:15:00 PM,6246.8
22/02/2023,8:30:00 PM,6287.4
22/02/2023,8:45:00 PM,6279.9
22/02/2023,9:00:00 PM,6331
22/02/2023,9:15:00 PM,6374.6
22/02/2023,9:30:00 PM,6397.2
22/02/2023,9:45:00 PM,6440.8
22/02/2023,10:00:00 PM,6473.9
22/02/2023,10:15:00 PM,6449.8
22/02/2023,10:30:00 PM,6440.8
22/02/2023,10:45:00 PM,6452.8
22/02/2023,11:00:00 PM,6476.9
22/02/2023,11:15:00 PM,6502.4
22/02/2023,11:30:00 PM,6537
22/02/2023,11:45:00 PM,6571.6
23/02/2023,12:00:00 AM,6601.7
23/02/2023,12:15:00 AM,6619.7
23/02/2023,12:30:00 AM,6601.7
23/02/2023,12:45:00 AM,6669.3
23/02/2023,1:00:00 AM,6589.6
23/02/2023,1:15:00 AM,6571.6
23/02/2023,1:30:00 AM,6546
23/02/2023,1:45:00 AM,6511.5
