Plot Title: DO_01,,,,,,,,
#,"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °C calculated from F",Coupler Attached (LGR S/N: 20645539),Host Connected (LGR S/N: 20645539),Coupler Detached (LGR S/N: 20645539),Stopped (LGR S/N: 20645539),End Of File (LGR S/N: 20645539)
1,7/12/2019 17:00,5.3,12.555,,,,,
2,7/12/2019 17:15,5.28,12.395,,,,,
3,7/12/2019 17:30,5.2,12.23,,,,,
4,7/12/2019 17:45,5.04,12,,,,,
5,7/12/2019 18:00,4.92,11.765,,,,,
6,7/12/2019 18:15,4.8,11.55,,,,,
7,7/12/2019 18:30,4.67,11.33,,,,,
8,7/12/2019 18:45,4.54,11.115,,,,,
9,7/12/2019 19:00,4.43,10.935,,,,,
10,7/12/2019 19:15,4.34,10.755,,,,,
11,7/12/2019 19:30,4.24,10.61,,,,,
12,7/12/2019 19:45,4.15,10.47,,,,,
13,7/12/2019 20:00,4.08,10.34,,,,,
14,7/12/2019 20:15,4.01,10.235,,,,,
15,7/12/2019 20:30,3.95,10.11,,,,,
16,7/12/2019 20:45,3.88,10,,,,,
17,7/12/2019 21:00,3.83,9.93,,,,,
18,7/12/2019 21:15,3.79,9.8,,,,,
19,7/12/2019 21:30,3.74,9.695,,,,,
20,7/12/2019 21:45,3.71,9.605,,,,,
21,7/12/2019 22:00,3.67,9.53,,,,,
22,7/12/2019 22:15,3.62,9.46,,,,,
23,7/12/2019 22:30,3.59,9.37,,,,,
24,7/12/2019 22:45,3.56,9.3,,,,,
25,7/12/2019 23:00,3.53,9.245,,,,,
26,7/12/2019 23:15,3.5,9.19,,,,,
27,7/12/2019 23:30,3.47,9.135,,,,,
28,7/12/2019 23:45,3.46,9.065,,,,,
29,7/13/2019 0:00,3.45,9.03,,,,,
30,7/13/2019 0:15,3.45,8.975,,,,,
31,7/13/2019 0:30,3.44,8.92,,,,,
32,7/13/2019 0:45,3.44,8.865,,,,,
33,7/13/2019 1:00,3.43,8.83,,,,,
34,7/13/2019 1:15,3.43,8.795,,,,,
35,7/13/2019 1:30,3.42,8.74,,,,,
36,7/13/2019 1:45,3.41,8.685,,,,,
37,7/13/2019 2:00,3.39,8.63,,,,,
38,7/13/2019 2:15,3.37,8.595,,,,,
39,7/13/2019 2:30,3.36,8.56,,,,,
40,7/13/2019 2:45,3.36,8.505,,,,,
41,7/13/2019 3:00,3.35,8.45,,,,,
42,7/13/2019 3:15,3.4,8.345,,,,,
43,7/13/2019 3:30,3.39,8.29,,,,,
44,7/13/2019 3:45,3.39,8.235,,,,,
45,7/13/2019 4:00,3.39,8.18,,,,,
46,7/13/2019 4:15,3.4,8.13,,,,,
47,7/13/2019 4:30,3.39,8.09,,,,,
48,7/13/2019 4:45,3.39,8.04,,,,,
49,7/13/2019 5:00,3.41,7.985,,,,,
50,7/13/2019 5:15,3.41,7.91,,,,,
51,7/13/2019 5:30,3.44,7.82,,,,,
52,7/13/2019 5:45,3.48,7.75,,,,,
53,7/13/2019 6:00,3.52,7.66,,,,,
54,7/13/2019 6:15,3.52,7.64,,,,,
55,7/13/2019 6:30,3.52,7.64,,,,,
56,7/13/2019 6:45,3.52,7.625,,,,,
57,7/13/2019 7:00,3.58,7.57,,,,,
58,7/13/2019 7:15,3.66,7.57,,,,,
59,7/13/2019 7:30,3.81,7.55,,,,,
60,7/13/2019 7:45,3.94,7.57,,,,,
61,7/13/2019 8:00,4.08,7.59,,,,,
62,7/13/2019 8:15,4.24,7.625,,,,,
63,7/13/2019 8:30,4.38,7.68,,,,,
64,7/13/2019 8:45,4.52,7.73,,,,,
65,7/13/2019 9:00,4.66,7.82,,,,,
66,7/13/2019 9:15,4.79,7.93,,,,,
67,7/13/2019 9:30,4.91,8.02,,,,,
68,7/13/2019 9:45,5.05,8.145,,,,,
69,7/13/2019 10:00,5.2,8.29,,,,,
70,7/13/2019 10:15,5.28,8.36,,,,,
71,7/13/2019 10:30,5.38,8.45,,,,,
72,7/13/2019 10:45,5.46,8.54,,,,,
73,7/13/2019 11:00,5.58,8.775,,,,,
74,7/13/2019 11:15,5.66,9.1,,,,,
75,7/13/2019 11:30,5.72,9.225,,,,,
76,7/13/2019 11:45,5.76,9.28,,,,,
77,7/13/2019 12:00,5.86,9.48,,,,,
