Plot Title: DO_01,,,,,,,,
#,"Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645539, SEN S/N: 20645539)","Temp, °C calculated from F",Expired Sensor Cap (LGR S/N: 20645539),Coupler Attached (LGR S/N: 20645539),Host Connected (LGR S/N: 20645539),Stopped (LGR S/N: 20645539),End Of File (LGR S/N: 20645539)
1,8/14/2019 12:30,7.54,5.95,,,,,
2,8/14/2019 12:45,6.91,4.815,,,,,
3,8/14/2019 13:00,6.93,3.465,,,,,
4,8/14/2019 13:15,7.01,3.375,,,,,
5,8/14/2019 13:30,7.06,3.375,,,,,
6,8/14/2019 13:45,7.11,3.395,,,,,
7,8/14/2019 14:00,7.15,3.5,,,,,
8,8/14/2019 14:15,7.21,3.54,,,,,
9,8/14/2019 14:30,7.25,3.63,,,,,
10,8/14/2019 14:45,7.26,3.665,,,,,
11,8/14/2019 15:00,7.28,3.63,,,,,
12,8/14/2019 15:15,7.28,3.575,,,,,
13,8/14/2019 15:30,7.28,3.54,,,,,
14,8/14/2019 15:45,7.27,3.52,,,,,
15,8/14/2019 16:00,7.31,3.485,,,,,
16,8/14/2019 16:15,7.35,3.555,,,,,
17,8/14/2019 16:30,7.38,3.645,,,,,
18,8/14/2019 16:45,7.37,3.645,,,,,
19,8/14/2019 17:00,7.35,3.59,,,,,
20,8/14/2019 17:15,7.34,3.5,,,,,
21,8/14/2019 17:30,7.32,3.45,,,,,
22,8/14/2019 17:45,7.33,3.395,,,,,
23,8/14/2019 18:00,7.29,3.32,,,,,
24,8/14/2019 18:15,7.23,3.25,,,,,
25,8/14/2019 18:30,7.16,3.215,,,,,
26,8/14/2019 18:45,7.11,3.18,,,,,
27,8/14/2019 19:00,7.06,3.125,,,,,
28,8/14/2019 19:15,7.02,3.05,,,,,
29,8/14/2019 19:30,6.99,2.98,,,,,
30,8/14/2019 19:45,6.95,2.925,,,,,
31,8/14/2019 20:00,6.91,2.87,,,,,
32,8/14/2019 20:15,6.89,2.78,,,,,
33,8/14/2019 20:30,6.87,2.71,,,,,
34,8/14/2019 20:45,6.84,2.62,,,,,
35,8/14/2019 21:00,6.83,2.55,,,,,
36,8/14/2019 21:15,6.82,2.53,,,,,
37,8/14/2019 21:30,6.8,2.53,,,,,
38,8/14/2019 21:45,6.79,2.53,,,,,
39,8/14/2019 22:00,6.76,2.55,,,,,
40,8/14/2019 22:15,6.74,2.55,,,,,
