Plot Title: DO_2,,,,,,,,
#,"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)",Temp C,Coupler Attached (LGR S/N: 20645540),Host Connected (LGR S/N: 20645540),Coupler Detached (LGR S/N: 20645540),Stopped (LGR S/N: 20645540),End Of File (LGR S/N: 20645540)
1,7/18/2019 14:00,6.51,10.38,,,,,
2,7/18/2019 14:15,6.43,10.395,,,,,
3,7/18/2019 14:30,6.44,10.485,,,,,
4,7/18/2019 14:45,6.41,10.485,,,,,
5,7/18/2019 15:00,6.43,10.505,,,,,
6,7/18/2019 15:15,6.43,10.595,,,,,
7,7/18/2019 15:30,6.42,10.65,,,,,
8,7/18/2019 15:45,6.42,10.665,,,,,
9,7/18/2019 16:00,6.41,10.665,,,,,
10,7/18/2019 16:15,6.37,10.61,,,,,
11,7/18/2019 16:30,6.35,10.56,,,,,
12,7/18/2019 16:45,6.33,10.52,,,,,
13,7/18/2019 17:00,6.25,10.36,,,,,
14,7/18/2019 17:15,6.17,10.145,,,,,
15,7/18/2019 17:30,6.12,9.945,,,,,
16,7/18/2019 17:45,6.05,9.785,,,,,
17,7/18/2019 18:00,5.94,9.605,,,,,
18,7/18/2019 18:15,5.84,9.405,,,,,
19,7/18/2019 18:30,5.72,9.245,,,,,
20,7/18/2019 18:45,5.62,9.065,,,,,
21,7/18/2019 19:00,5.52,8.92,,,,,
22,7/18/2019 19:15,5.44,8.775,,,,,
23,7/18/2019 19:30,5.36,8.67,,,,,
24,7/18/2019 19:45,5.29,8.56,,,,,
25,7/18/2019 20:00,5.22,8.45,,,,,
26,7/18/2019 20:15,5.15,8.36,,,,,
27,7/18/2019 20:30,5.1,8.29,,,,,
28,7/18/2019 20:45,5.04,8.2,,,,,
29,7/18/2019 21:00,4.99,8.11,,,,,
30,7/18/2019 21:15,4.95,8.04,,,,,
31,7/18/2019 21:30,4.91,7.95,,,,,
32,7/18/2019 21:45,4.87,7.86,,,,,
33,7/18/2019 22:00,4.84,7.785,,,,,
34,7/18/2019 22:15,4.81,7.695,,,,,
35,7/18/2019 22:30,4.78,7.625,,,,,
36,7/18/2019 22:45,4.76,7.535,,,,,
37,7/18/2019 23:00,4.76,7.445,,,,,
