Plot Title: DO_2,,,,,,,,,
#,"Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20645540, SEN S/N: 20645540)","Temp, °F (LGR S/N: 20645540, SEN S/N: 20645540)",Coupler Detached (LGR S/N: 20645540),Expired Sensor Cap (LGR S/N: 20645540),Coupler Attached (LGR S/N: 20645540),Host Connected (LGR S/N: 20645540),Stopped (LGR S/N: 20645540),End Of File (LGR S/N: 20645540)
1,8/14/2019 13:00,8.24,3.375,,,,,,
2,8/14/2019 13:00,,,Logged,,,,,
3,8/14/2019 13:15,8.36,2.51,,,,,,
4,8/14/2019 13:30,7.62,2.42,,,,,,
5,8/14/2019 13:45,7.2,3.34,,,,,,
6,8/14/2019 14:00,7.24,3.485,,,,,,
7,8/14/2019 14:15,7.26,3.54,,,,,,
8,8/14/2019 14:30,7.31,3.61,,,,,,
9,8/14/2019 14:45,7.32,3.665,,,,,,
10,8/14/2019 15:00,7.32,3.63,,,,,,
11,8/14/2019 15:15,7.31,3.575,,,,,,
12,8/14/2019 15:30,7.32,3.54,,,,,,
13,8/14/2019 15:45,7.32,3.52,,,,,,
14,8/14/2019 16:00,7.35,3.485,,,,,,
15,8/14/2019 16:15,7.4,3.54,,,,,,
16,8/14/2019 16:30,7.43,3.63,,,,,,
17,8/14/2019 16:45,7.43,3.645,,,,,,
18,8/14/2019 17:00,7.41,3.59,,,,,,
19,8/14/2019 17:15,7.4,3.52,,,,,,
20,8/14/2019 17:30,7.38,3.45,,,,,,
21,8/14/2019 17:45,7.35,3.395,,,,,,
22,8/14/2019 18:00,7.33,3.32,,,,,,
23,8/14/2019 18:15,7.28,3.25,,,,,,
24,8/14/2019 18:30,7.23,3.215,,,,,,
25,8/14/2019 18:45,7.18,3.18,,,,,,
26,8/14/2019 19:00,7.13,3.125,,,,,,
27,8/14/2019 19:15,7.09,3.05,,,,,,
28,8/14/2019 19:30,7.05,2.98,,,,,,
29,8/14/2019 19:45,7.02,2.925,,,,,,
30,8/14/2019 20:00,6.97,2.87,,,,,,
31,8/14/2019 20:15,6.94,2.8,,,,,,
32,8/14/2019 20:30,6.92,2.71,,,,,,
33,8/14/2019 20:45,6.9,2.62,,,,,,
34,8/14/2019 21:00,6.9,2.55,,,,,,
35,8/14/2019 21:15,6.88,2.51,,,,,,
36,8/14/2019 21:30,6.86,2.51,,,,,,
37,8/14/2019 21:45,6.85,2.53,,,,,,
38,8/14/2019 22:00,6.84,2.53,,,,,,
39,8/14/2019 22:15,6.82,2.53,,,,,,
40,8/14/2019 22:30,6.8,2.51,,,,,,
41,8/14/2019 22:45,6.79,2.405,,,,,,
42,8/14/2019 23:00,6.8,2.28,,,,,,
43,8/14/2019 23:15,6.8,2.15,,,,,,
44,8/14/2019 23:30,6.82,1.99,,,,,,
45,8/14/2019 23:45,6.81,1.97,,,,,,
46,8/15/2019 0:00,6.82,1.99,,,,,,
47,8/15/2019 0:15,6.8,2.045,,,,,,
48,8/15/2019 0:30,6.76,2.1,,,,,,
49,8/15/2019 0:45,6.73,2.15,,,,,,
50,8/15/2019 1:00,6.7,2.19,,,,,,
51,8/15/2019 1:15,6.68,2.205,,,,,,
52,8/15/2019 1:30,6.65,2.225,,,,,,
53,8/15/2019 1:45,6.63,2.24,,,,,,
54,8/15/2019 2:00,6.62,2.24,,,,,,
55,8/15/2019 2:15,6.6,2.24,,,,,,
56,8/15/2019 2:30,6.57,2.26,,,,,,
57,8/15/2019 2:45,6.56,2.26,,,,,,
58,8/15/2019 3:00,6.53,2.24,,,,,,
59,8/15/2019 3:15,6.53,2.08,,,,,,
60,8/15/2019 3:30,6.55,1.9,,,,,,
61,8/15/2019 3:45,6.59,1.755,,,,,,
62,8/15/2019 4:00,6.6,1.595,,,,,,
63,8/15/2019 4:15,6.65,1.505,,,,,,
64,8/15/2019 4:30,6.65,1.47,,,,,,
65,8/15/2019 4:45,6.66,1.415,,,,,,
66,8/15/2019 5:00,6.67,1.38,,,,,,
67,8/15/2019 5:15,6.66,1.305,,,,,,
68,8/15/2019 5:30,6.64,1.27,,,,,,
69,8/15/2019 5:45,6.59,1.27,,,,,,
70,8/15/2019 6:00,6.53,1.2,,,,,,
71,8/15/2019 6:15,6.49,1.2,,,,,,
72,8/15/2019 6:30,6.44,1.27,,,,,,
73,8/15/2019 6:45,6.38,1.325,,,,,,
74,8/15/2019 7:00,6.34,1.36,,,,,,
75,8/15/2019 7:15,6.3,1.38,,,,,,
76,8/15/2019 7:30,6.28,1.38,,,,,,
77,8/15/2019 7:45,6.26,1.395,,,,,,
78,8/15/2019 8:00,6.26,1.415,,,,,,
79,8/15/2019 8:15,6.27,1.43,,,,,,
80,8/15/2019 8:30,6.29,1.43,,,,,,
81,8/15/2019 8:45,6.32,1.47,,,,,,
82,8/15/2019 9:00,6.36,1.505,,,,,,
83,8/15/2019 9:15,6.43,1.54,,,,,,
84,8/15/2019 9:30,6.49,1.61,,,,,,
85,8/15/2019 9:45,6.56,1.685,,,,,,
86,8/15/2019 10:00,6.64,1.755,,,,,,
87,8/15/2019 10:15,6.71,1.83,,,,,,
88,8/15/2019 10:30,6.8,1.92,,,,,,
89,8/15/2019 10:45,6.86,2.06,,,,,,
90,8/15/2019 11:00,6.91,2.15,,,,,,
91,8/15/2019 11:15,6.97,2.205,,,,,,
92,8/15/2019 11:30,7.04,2.295,,,,,,
93,8/15/2019 11:45,7.1,2.385,,,,,,
94,8/15/2019 12:00,7.15,2.53,,,,,,
95,8/15/2019 12:15,7.2,2.64,,,,,,
