Serial Number:,'220234,,,,,,,,,,,
Calibration:,,,,,,,,,,,,
Location,Parameter,Serial #,Blank Reading Offset 1x,Blank Reading Offset 10x,Blank Reading Offset 100x,Time of Blank,Standard Reading,Time of Standard,Standard Value,Units,Temp Coeff.,Calibr Temp
1,Turbidity,2103302,376,193.2,71.52,6/10/2019 13:14,2246,6/10/2019 13:16,100,NTU,None,24.4
2,Chlorophyll a,2103473,400,42.8,11.4,6/10/2019 13:38,3465.2,6/10/2019 13:39,40,ug/L,None,24.8
3,Phycocyanin,2103474,364,37.2,5.84,6/10/2019 13:31,751.2,6/10/2019 13:32,260,ppb,None,24.4
5,CDOM,2103476,224,55.2,37.12,6/10/2019 15:51,11996,6/10/2019 15:52,300,ppb,None,22.7
,Depth,,10,,,7/10/2019 10:55,,,,meters,,
Channel Name,Turbidity,Chlorophyll a,Phycocyanin,CDOM,Depth,Temp,,,,,,
Units,NTU,ug/L,ppb,ppb,meters,°C,,,,,,
7/11/2019 11:48,0,2.65,3.88,31.79,0,12.45,,,,,,
7/11/2019 12:03,0,3.3,72.42,32.99,0.14,12.66,,,,,,
7/11/2019 12:18,0,2.29,0,32.59,0.07,12.97,,,,,,
7/11/2019 12:33,0,2.54,0,32.17,0.07,12.68,,,,,,
7/11/2019 12:48,0,2.49,1.14,31.27,0.14,12.5,,,,,,
7/11/2019 13:03,0,2.7,0.69,29.89,0.14,13.88,,,,,,
7/11/2019 13:18,0,2.46,4.08,28.9,0.14,14.15,,,,,,
7/11/2019 13:33,25.58,5.42,15.1,15.67,0.14,14.25,,,,,,
7/11/2019 13:48,112.82,2.72,2.08,27.27,0.07,14.1,,,,,,
7/11/2019 14:03,279.07,2.65,2.02,26.86,0.07,13.88,,,,,,
7/11/2019 14:18,1643.63,2.64,1.44,24.16,0.07,13.08,,,,,,
7/11/2019 14:33,613.54,2.87,2.09,28.26,0.14,12.23,,,,,,
7/11/2019 14:48,908.46,3.33,2.17,29.34,0.21,12.08,,,,,,
7/11/2019 15:03,2796.97,2.81,2.04,29.55,0.21,10.74,,,,,,
