Serial Number:,'220234,,,,,,,,,,,
Calibration:,,,,,,,,,,,,
Location,Parameter,Serial #,Blank Reading Offset 1x,Blank Reading Offset 10x,Blank Reading Offset 100x,Time of Blank,Standard Reading,Time of Standard,Standard Value,Units,Temp Coeff.,Calibr Temp
1,Turbidity,2103302,376,193.2,71.52,6/10/2019 13:14,2246,6/10/2019 13:16,100,NTU,None,24.4
2,Chlorophyll a,2103473,400,42.8,11.4,6/10/2019 13:38,3465.2,6/10/2019 13:39,40,ug/L,None,24.8
3,Phycocyanin,2103474,364,37.2,5.84,6/10/2019 13:31,751.2,6/10/2019 13:32,260,ppb,None,24.4
5,CDOM,2103476,224,55.2,37.12,6/10/2019 15:51,11996,6/10/2019 15:52,300,ppb,None,22.7
,Depth,,10,,,7/10/2019 10:55,,,,meters,,
Channel Name,Turbidity,Chlorophyll a,Phycocyanin,CDOM,Depth,Temp,,,,,,
Units,NTU,ug/L,ppb,ppb,meters,°C,,,,,,
7/15/2019 11:19,279.22,3.17,477.36,41.52,0.76,5.52,,,,,,
7/15/2019 11:34,1004.63,3.16,538.14,41.37,0.82,5.63,,,,,,
7/15/2019 11:49,961.35,3.12,670.63,40.88,0.89,5.84,,,,,,
7/15/2019 12:04,979.34,3.11,412.01,40.81,0.89,6.09,,,,,,
7/15/2019 12:19,945.15,3.17,540.21,41.61,0.82,6.36,,,,,,
7/15/2019 12:34,892.07,3.22,897.82,41.66,0.89,6.45,,,,,,
