sample ID,DOC (mg/L),TDN (mg/L),Bottle_no,Date,site,time,notes,notes,,
13,1.171,0.06864,13,7/28/22,wetland 9,10:21,,,,
4,1.785,0.08676,4,7/1/22,Stn05,9:33,,btw stations 5&6,,
17,2.119,0.1059,17,6/6/22,Stn02,13:20,,25m,,* I think this date is wrong - should be 6/6/2022
8,2.303,0.08028,8,7/28/22,wetland 8,,,,,
6,2.485,0.09317,6,7/26/22,Stn05,10:30,,,,
11,2.507,0.1436,11,7/21/22,gavi-trib,12:00,,,,
unlabeled- likely 21?,2.584,0.09589,21,,gavi trib,13:56,,,,7/15/22
20,2.637,0.1101,20,,gavi trib,10:00,,15m,,7/15/22
12,2.724,0.08743,12,7/26/22,Stn05,10:30,,,,
18,3.108,0.103,18,7/21/22,Gavi trib,9:45,,,,
3,3.522,0.1623,3,,Gavi trib,10:06,preinjection,15m,,
15,3.964,0.2119,15,7/25/22,wetland 3,12:38,,,,
22,4.017,0.1357,22,7/27/22,wetland 5,,,,,
16,4.074,0.126,16,7/6/22,Stn02,10:20,,,,
1,4.605,0.1557,1,7/27/22,wetland 12,,,,,
2,6.991,0.2181,2,7/25/22,wetland 2,11:30,,,,
5,7.074,0.2504,5,7/25/22,wetland 01,10:00,,,,
10,7.481,0.2561,10,7/22/22,wetland 6,12:30,,,,
7,7.838,0.2459,7,7/22/22,wetland 5,12:45,,,,
14,8.867,0.5712,14,7/28/22,wetland 10,11:10,,,,
19,9.574,0.3256,19,7/22/22,wetland 4,11:00,,,,
9,11.68,0.3581,9,7/22/22,wetland 11,12:15,,,,
