code,Flouride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,nitrite_UV,Bromide_UV,DOC (mg/L),TDN (mg/L),PO4-P (mg/L),NO3-N (mg/L),station_id,Date,Time,Notes,Station
Detection Limit,0.003351596,0.058429477,0.035671156,0.003026047,0.051042846,0.032876526,0.036385045,0.051829738,0.004566576,,,,,,,,,
station1_2019-07-11_1356,0.024596477,0.159313278,BTL,BTL,BTL,BTL,0.297899671,BTL,BTL,3.763,0.1114,<0.01,<0.05,stn1,7/11/19,13:56,,Stn01
station1_2019-07-16_1437,0.063169306,0.422828711,BTL,BTL,BTL,BTL,0.32645397,BTL,BTL,4.61,0.1692,<0.01,<0.05,stn1,7/16/19,14:37,,Stn01
staion1_2019-07-19_1313,0.094830637,0.997857345,BTL,BTL,BTL,BTL,0.2552707,BTL,BTL,3.74,0.1028,<0.01,<0.05,stn1,7/19/19,13:13,,Stn01
station1_2019-07-22,0.088396015,0.566868332,BTL,BTL,0.06433214,BTL,0.303779857,BTL,BTL,5.06,0.2006,<0.01,<0.05,stn1,7/22/19,12:00,time unknown,Stn01
station1_2019-07-26,0.019967597,0.180933122,BTL,BTL,BTL,BTL,0.264203218,BTL,BTL,4.002,0.117,<0.01,<0.05,stn1,7/26/19,12:00,time unknown,Stn01
station1_2019-07-31,0.033709483,0.281506048,BTL,BTL,BTL,BTL,0.228019744,BTL,BTL,3.439,0.1178,<0.01,<0.05,stn1,7/31/19,12:00,time unknown,Stn01
station1_2019-08-02or12,0.177056024,0.58272457,BTL,BTL,BTL,BTL,0.306858399,BTL,BTL,2.945,0.124,<0.01,<0.05,stn1,8/2/19,12:00,date may be the 12,Stn01
station1_2019-08-05,0.056153519,0.398596246,BTL,BTL,BTL,BTL,0.245295457,BTL,BTL,4.225,0.1478,<0.01,<0.05,stn1,8/5/19,12:00,time unknown,Stn01
station1_2019-08-08,0.0818129,0.716304862,BTL,BTL,BTL,1.334957079,0.230644603,BTL,BTL,3.661,0.2608,<0.01,<0.05,stn1,8/8/19,12:00,time unknown,Stn01
