DateTime,Date,Time,Station,DOC,TDN
7/1/22 9:30,7/1/22,9:33,Stn05,1.785,0.08676
6/6/22 13:15,6/6/22,13:20,Stn02,2.119,0.1059
7/26/22 10:30,7/26/22,10:30,Stn05,2.485,0.09317
7/26/22 10:30,7/26/22,10:30,Stn05,2.724,0.08743
7/6/22 10:15,7/6/22,10:20,Stn02,4.074,0.126
6/28/21 11:45,6/28/21,11:41,Stn01,2.42,0.06889
6/28/21 11:30,6/28/21,11:35,Stn02,2.463,0.0862
6/28/21 13:00,6/28/21,12:54,Stn03,2.634,0.08039
6/28/21 13:15,6/28/21,13:17,Stn04,2.638,0.0962
6/28/21 10:45,6/28/21,10:47,Stn05,1.915,0.1213
6/28/21 10:30,6/28/21,10:25,Stn06,1.777,0.08071
7/2/21 10:15,7/2/21,10:15,Stn01,4.049,0.1048
7/2/21 11:00,7/2/21,10:55,Stn02,3.963,0.1148
7/2/21 12:45,7/2/21,12:40,Stn03,3.87,0.1257
7/2/21 11:30,7/2/21,11:25,Stn04,3.779,0.1178
7/6/21 13:45,7/6/21,13:50,Stn05,1.341,0.05416
7/6/21 13:45,7/6/21,13:45,Stn06,1.741,0.08796
7/9/21 10:15,7/9/21,10:15,Stn01,2.428,0.07039
7/9/21 10:45,7/9/21,10:50,Stn02,2.425,0.07143
7/9/21 11:30,7/9/21,11:35,Stn03,2.89,0.09655
7/9/21 12:00,7/9/21,12:00,Stn04,3.102,0.1271
7/19/21 11:15,7/19/21,11:20,Stn01,4.024,0.0965
7/19/21 11:30,7/19/21,11:25,Stn02,5.44,0.146
7/19/21 11:30,7/19/21,11:35,Stn03,5.527,0.1449
7/19/21 11:45,7/19/21,11:45,Stn04,5.55,0.1413
7/19/21 10:30,7/19/21,10:30,Stn05,4.595,0.1481
7/19/21 10:00,7/19/21,10:05,Stn06,4.516,0.1362
7/23/21 10:45,7/23/21,10:45,Stn01,3.536,0.0979
7/23/21 11:15,7/23/21,11:15,Stn02,4.605,0.09859
7/23/21 12:00,7/23/21,12:05,Stn03,3.775,0.08733
7/23/21 12:30,7/23/21,12:25,Stn04,3.611,0.08577
7/23/21 9:45,7/23/21,9:45,Stn05,2.968,0.0889
7/23/21 9:45,7/23/21,9:40,Stn06,2.796,0.08929
7/26/21 12:00,7/26/21,12:00,Stn01,3.29,0.09069
7/26/21 12:00,7/26/21,12:00,Stn02,3.265,0.1002
7/26/21 12:00,7/26/21,12:00,Stn03,3.159,0.09596
7/26/21 12:00,7/26/21,12:00,Stn04,3.228,0.08429
7/26/21 12:00,7/26/21,12:00,Stn05,1.778,0.07464
7/26/21 12:00,7/26/21,12:00,Stn06,1.73,0.07816
6/18/21 11:15,6/18/21,11:15,Stn01,2.393,0.1063
6/18/21 16:00,6/18/21,15:55,Stn04,2.643,0.1286
7/11/19 14:00,7/11/19,13:56,Stn01,3.763,0.1114
7/16/19 14:30,7/16/19,14:37,Stn01,4.61,0.1692
7/19/19 13:15,7/19/19,13:13,Stn01,3.74,0.1028
7/22/19 12:00,7/22/19,12:00,Stn01,5.06,0.2006
7/26/19 12:00,7/26/19,12:00,Stn01,4.002,0.117
7/31/19 12:00,7/31/19,12:00,Stn01,3.439,0.1178
8/2/19 12:00,8/2/19,12:00,Stn01,2.945,0.124
8/5/19 12:00,8/5/19,12:00,Stn01,4.225,0.1478
8/8/19 12:00,8/8/19,12:00,Stn01,3.661,0.2608
8/14/19 12:00,8/14/19,12:00,Stn01,5.165,0.1443
7/11/19 14:45,7/11/19,14:46,groundwater,3.938,0.1722
7/16/19 15:45,7/16/19,15:51,groundwater,4.218,0.1243
7/19/19 12:00,7/19/19,12:00,groundwater,4.518,0.1545
7/22/19 12:00,7/22/19,12:00,groundwater,5.455,0.1737
7/26/19 12:00,7/26/19,12:00,groundwater,4.553,0.1173
7/31/19 12:00,7/31/19,12:00,groundwater,6.875,0.2335
8/2/19 12:00,8/2/19,12:00,groundwater,4.217,0.308
8/5/19 12:00,8/5/19,12:00,groundwater,3.972,0.1235
8/8/19 12:00,8/8/19,12:00,groundwater,3.62,0.119
8/14/19 12:00,8/14/19,12:00,groundwater,5.035,0.1538
7/11/19 15:00,7/11/19,15:00,ssoutlet,3.728,0.1499
7/16/19 18:00,7/16/19,18:00,ssoutlet,4.764,0.2779
7/19/19 12:00,7/19/19,12:00,ssoutlet,3.853,0.2252
7/22/19 12:00,7/22/19,12:00,ssoutlet,3.723,0.1382
7/26/19 12:00,7/26/19,12:00,ssoutlet,5.514,0.1676
7/31/19 12:00,7/31/19,12:00,ssoutlet,5.561,0.1585
8/2/19 12:00,8/2/19,12:00,ssoutlet,3.479,0.1356
8/5/19 12:00,8/5/19,12:00,ssoutlet,3.224,0.2238
8/8/19 12:00,8/8/19,12:00,ssoutlet,4.462,0.295
8/14/19 12:00,8/14/19,12:00,ssoutlet,2.906,0.09103
8/14/19 12:00,8/14/19,12:00,ssoutlet,7.187,0.2914
