Plot Title: EC_01,,,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)",fullrange,"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)",Coupler Detached (LGR S/N: 20636125),Coupler Attached (LGR S/N: 20636125),Host Connected (LGR S/N: 20636125),Stopped (LGR S/N: 20636125),End Of File (LGR S/N: 20636125)
1,7/27/2021 13:15,8.4,,12.27222222,54.09,Logged,,,,
2,7/27/2021 13:30,8.3,,12.43888889,54.39,,,,,
3,7/27/2021 13:45,8.3,,12.61111111,54.7,,,,,
4,7/27/2021 14:00,8.3,,12.67222222,54.81,,,,,
5,7/27/2021 14:15,8.3,,12.46111111,54.43,,,,,
6,7/27/2021 14:30,8.2,,12.23888889,54.03,,,,,
7,7/27/2021 14:45,8.2,,12,53.6,,,,,
8,7/27/2021 15:00,8.2,,11.82222222,53.28,,,,,
9,7/27/2021 15:15,8.2,,11.81111111,53.26,,,,,
10,7/27/2021 15:30,8.2,,12.12222222,53.82,,,,,
11,7/27/2021 15:45,8.2,,12.23888889,54.03,,,,,
12,7/27/2021 16:00,8.2,,12.47222222,54.45,,,,,
13,7/27/2021 16:15,8.2,,12.52222222,54.54,,,,,
14,7/27/2021 16:30,8.3,,12.42222222,54.36,,,,,
15,7/27/2021 16:45,8.2,,12.47777778,54.46,,,,,
16,7/27/2021 17:00,8,,12.35,54.23,,,,,
17,7/27/2021 17:15,8.1,,12.07777778,53.74,,,,,
18,7/27/2021 17:30,8.2,,11.81111111,53.26,,,,,
19,7/27/2021 17:45,8.2,,11.57777778,52.84,,,,,
20,7/27/2021 18:00,8.2,,11.4,52.52,,,,,
21,7/27/2021 18:15,8.1,,11.22222222,52.2,,,,,
22,7/27/2021 18:30,8.2,,11.06111111,51.91,,,,,
23,7/27/2021 18:45,8.2,,10.92222222,51.66,,,,,
24,7/27/2021 19:00,8.2,,10.81111111,51.46,,,,,
25,7/27/2021 19:15,8.2,,10.68888889,51.24,,,,,
26,7/27/2021 19:30,8.3,,10.58888889,51.06,,,,,
27,7/27/2021 19:45,8.2,,10.48888889,50.88,,,,,
28,7/27/2021 20:00,8.3,,10.42777778,50.77,,,,,
29,7/27/2021 20:15,8.3,,10.35,50.63,,,,,
30,7/27/2021 20:30,8.4,,10.27777778,50.5,,,,,
31,7/27/2021 20:45,8.4,,10.12222222,50.22,,,,,
32,7/27/2021 21:00,8.4,,9.95,49.91,,,,,
33,7/27/2021 21:15,8.3,,9.811111111,49.66,,,,,
34,7/27/2021 21:30,8.3,,9.661111111,49.39,,,,,
35,7/27/2021 21:45,8.3,,9.572222222,49.23,,,,,
36,7/27/2021 22:00,8.2,,9.45,49.01,,,,,
37,7/27/2021 22:15,8.3,,9.327777778,48.79,,,,,
38,7/27/2021 22:30,8.3,,9.238888889,48.63,,,,,
39,7/27/2021 22:45,8.3,,9.1,48.38,,,,,
40,7/27/2021 23:00,8.3,,8.972222222,48.15,,,,,
41,7/27/2021 23:15,8.3,,8.872222222,47.97,,,,,
42,7/27/2021 23:30,8.3,,8.8,47.84,,,,,
43,7/27/2021 23:45,8.3,,8.772222222,47.79,,,,,
44,7/28/2021 0:00,8.2,,8.761111111,47.77,,,,,
45,7/28/2021 0:15,8.4,,8.761111111,47.77,,,,,
46,7/28/2021 0:30,8.3,,8.75,47.75,,,,,
47,7/28/2021 0:45,8.2,,8.711111111,47.68,,,,,
48,7/28/2021 1:00,8.2,,8.627777778,47.53,,,,,
49,7/28/2021 1:15,8.3,,8.527777778,47.35,,,,,
50,7/28/2021 1:30,8.3,,8.461111111,47.23,,,,,
51,7/28/2021 1:45,8.3,,8.422222222,47.16,,,,,
52,7/28/2021 2:00,8.3,,8.322222222,46.98,,,,,
53,7/28/2021 2:15,8.2,,8.261111111,46.87,,,,,
