Plot Title: EC_01,,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)",fullrange,"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)",Coupler Detached (LGR S/N: 20636125),Coupler Attached (LGR S/N: 20636125),Host Connected (LGR S/N: 20636125),Stopped (LGR S/N: 20636125),End Of File (LGR S/N: 20636125)
1,11/29/2022 14:30,18.1,,12.24,Logged,,,,
2,11/29/2022 14:45,17.8,,12.68,,,,,
3,11/29/2022 15:00,17.4,,12.48,,,,,
4,11/29/2022 15:15,17.5,,12.35,,,,,
5,11/29/2022 15:30,17.2,,11.99,,,,,
6,11/29/2022 15:45,17,,11.77,,,,,
7,11/29/2022 16:00,17,,11.55,,,,,
8,11/29/2022 16:15,16.8,,11.46,,,,,
9,11/29/2022 16:30,16.5,,11.62,,,,,
10,11/29/2022 16:45,16.8,,11.66,,,,,
11,11/29/2022 17:00,16.8,,11.45,,,,,
12,11/29/2022 17:15,16.5,,11.18,,,,,
13,11/29/2022 17:30,16.5,,11.02,,,,,
14,11/29/2022 17:45,16.4,,10.89,,,,,
15,11/29/2022 18:00,16.3,,10.76,,,,,
16,11/29/2022 18:15,16.4,,10.64,,,,,
17,11/29/2022 18:30,16.4,,10.52,,,,,
18,11/29/2022 18:45,16.3,,10.38,,,,,
19,11/29/2022 19:00,16.3,,10.27,,,,,
20,11/29/2022 19:15,16.3,,10.24,,,,,
21,11/29/2022 19:30,16.1,,10.24,,,,,
22,11/29/2022 19:45,16.1,,10.23,,,,,
23,11/29/2022 20:00,16.2,,10.19,,,,,
24,11/29/2022 20:15,16.1,,10.15,,,,,
25,11/29/2022 20:30,16.1,,10.11,,,,,
26,11/29/2022 20:45,16.1,,10.08,,,,,
27,11/29/2022 21:00,16.2,,10.03,,,,,
28,11/29/2022 21:15,16.1,,9.91,,,,,
29,11/29/2022 21:30,16.1,,9.78,,,,,
30,11/29/2022 21:45,16.2,,9.67,,,,,
31,11/29/2022 22:00,16.1,,9.59,,,,,
32,11/29/2022 22:15,16.1,,9.51,,,,,
33,11/29/2022 22:30,16.1,,9.44,,,,,
34,11/29/2022 22:45,16,,9.37,,,,,
35,11/29/2022 23:00,16.1,,9.37,,,,,
36,11/29/2022 23:15,15.9,,9.37,,,,,
37,11/29/2022 23:30,15.9,,9.38,,,,,
38,11/29/2022 23:45,15.9,,9.38,,,,,
39,11/30/2022 0:00,15.9,,9.36,,,,,
40,11/30/2022 0:15,15.7,,9.24,,,,,
41,11/30/2022 0:30,15.8,,9.17,,,,,
42,11/30/2022 0:45,15.9,,9.13,,,,,
43,11/30/2022 1:00,16,,9.14,,,,,
44,11/30/2022 1:15,15.8,,9.14,,,,,
45,11/30/2022 1:30,15.6,,9.12,,,,,
46,11/30/2022 1:45,15.6,,9.12,,,,,
47,11/30/2022 2:00,15.6,,9.13,,,,,
48,11/30/2022 2:15,15.6,,9.14,,,,,
49,11/30/2022 2:30,15.6,,9.14,,,,,
50,11/30/2022 2:45,15.6,,9.13,,,,,
51,11/30/2022 3:00,15.5,,9.12,,,,,
52,11/30/2022 3:15,15.6,,9.1,,,,,
53,11/30/2022 3:30,15.4,,9.13,,,,,
54,11/30/2022 3:45,15.4,,9.09,,,,,
55,11/30/2022 4:00,15.6,,9.1,,,,,
56,11/30/2022 4:15,15.3,,9.05,,,,,
57,11/30/2022 4:30,15.4,,9.02,,,,,
58,11/30/2022 4:45,15.4,,9.01,,,,,
59,11/30/2022 5:00,15.4,,9,,,,,
60,11/30/2022 5:15,15.6,,8.96,,,,,
61,11/30/2022 5:30,15.6,,8.88,,,,,
62,11/30/2022 5:45,15.9,,8.75,,,,,
63,11/30/2022 6:00,15.9,,8.65,,,,,
64,11/30/2022 6:15,15.9,,8.57,,,,,
65,11/30/2022 6:30,15.9,,8.52,,,,,
66,11/30/2022 6:45,15.9,,8.51,,,,,
67,11/30/2022 7:00,15.9,,8.49,,,,,
68,11/30/2022 7:15,15.7,,8.49,,,,,
69,11/30/2022 7:30,15.6,,8.52,,,,,
70,11/30/2022 7:45,15.4,,8.73,,,,,
71,11/30/2022 8:00,15.5,,8.93,,,,,
72,11/30/2022 8:15,15.8,,9.17,,,,,
73,11/30/2022 8:30,15.8,,9.42,,,,,
74,11/30/2022 8:45,15.7,,9.66,,,,,
75,11/30/2022 9:00,16,,9.98,,,,,
76,11/30/2022 9:15,16,,10.36,,,,,
77,11/30/2022 9:30,16.3,,10.31,,,,,
78,11/30/2022 9:45,16.2,,10.26,,,,,
79,11/30/2022 10:00,16.1,,10.52,,,,,
80,11/30/2022 10:15,16.3,,11,,,,,
81,11/30/2022 10:30,16.5,,11.13,,,,,
82,11/30/2022 10:45,16.5,,11.17,,,,,
83,11/30/2022 11:00,16.7,,11.32,,,,,
84,11/30/2022 11:15,16.6,,11.37,,,,,
85,11/30/2022 11:30,16.6,,11.75,,,,,
86,11/30/2022 11:45,16.7,,11.85,,,,,
87,11/30/2022 12:00,16.7,,12.06,,,,,
88,11/30/2022 12:15,16.7,,12.31,,,,,
89,11/30/2022 12:30,16.8,,12.57,,,,,
90,11/30/2022 12:45,16.9,,12.81,,,,,
91,11/30/2022 13:00,17,,12.92,,,,,
92,11/30/2022 13:15,16.9,,13,,,,,
