Plot Title: LUXabajo_04,,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801154, SEN S/N: 10801154, LBL: Blue)","Intensity, Lux (LGR S/N: 10801154, SEN S/N: 10801154)",Bad Battery (LGR S/N: 10801154),Coupler Attached (LGR S/N: 10801154),Coupler Detached (LGR S/N: 10801154),Host Connected (LGR S/N: 10801154),Stopped (LGR S/N: 10801154),End Of File (LGR S/N: 10801154)
1,7/27/2021 11:15,7.682,1550,,,,,,
2,7/27/2021 11:30,8.182,42711.4,,,,,,
3,7/27/2021 11:45,9.275,12400.1,,,,,,
4,7/27/2021 12:00,8.481,16533.4,,,,,,
5,7/27/2021 12:15,9.275,22044.6,,,,,,
6,7/27/2021 12:30,9.176,4305.6,,,,,,
7,7/27/2021 12:45,9.571,7577.8,,,,,,
8,7/27/2021 13:00,10.846,63378.2,,,,,,
9,7/27/2021 13:15,9.768,6200,,,,,,
10,7/27/2021 13:30,10.748,28933.5,,,,,,
11,7/27/2021 13:45,10.357,4477.8,,,,,,
12,7/27/2021 14:00,10.259,2755.6,,,,,,
13,7/27/2021 14:15,10.259,1636.1,,,,,,
14,7/27/2021 14:30,10.161,2411.1,,,,,,
15,7/27/2021 14:45,10.161,1722.2,,,,,,
16,7/27/2021 15:00,9.965,344.4,,,,,,
17,7/27/2021 15:15,9.965,4650,,,,,,
18,7/27/2021 15:30,9.965,5166.7,,,,,,
19,7/27/2021 15:45,9.866,4822.3,,,,,,
20,7/27/2021 16:00,9.965,592,,,,,,
21,7/27/2021 16:15,10.063,269.1,,,,,,
22,7/27/2021 16:30,10.063,893.4,,,,,,
23,7/27/2021 16:45,10.161,1980.6,,,,,,
24,7/27/2021 17:00,10.063,279.9,,,,,,
25,7/27/2021 17:15,10.063,64.6,,,,,,
26,7/27/2021 17:30,9.965,43.1,,,,,,
27,7/27/2021 17:45,9.768,0,,,,,,
28,7/27/2021 18:00,9.571,0,,,,,,
29,7/27/2021 18:15,9.472,0,,,,,,
30,7/27/2021 18:30,9.275,0,,,,,,
31,7/27/2021 18:45,9.077,0,,,,,,
32,7/27/2021 19:00,8.978,0,,,,,,
33,7/27/2021 19:15,8.879,0,,,,,,
34,7/27/2021 19:30,8.779,0,,,,,,
35,7/27/2021 19:45,8.68,0,,,,,,
36,7/27/2021 20:00,8.581,0,,,,,,
37,7/27/2021 20:15,8.481,0,,,,,,
38,7/27/2021 20:30,8.481,0,,,,,,
39,7/27/2021 20:45,8.382,0,,,,,,
40,7/27/2021 21:00,8.282,0,,,,,,
41,7/27/2021 21:15,8.182,0,,,,,,
42,7/27/2021 21:30,7.983,0,,,,,,
43,7/27/2021 21:45,7.882,0,,,,,,
44,7/27/2021 22:00,7.782,0,,,,,,
45,7/27/2021 22:15,7.682,0,,,,,,
46,7/27/2021 22:30,7.582,0,,,,,,
47,7/27/2021 22:45,7.481,0,,,,,,
48,7/27/2021 23:00,7.381,0,,,,,,
49,7/27/2021 23:15,7.28,0,,,,,,
50,7/27/2021 23:30,7.179,0,,,,,,
51,7/27/2021 23:45,7.079,0,,,,,,
52,7/28/2021 0:00,7.079,0,,,,,,
53,7/28/2021 0:15,7.079,0,,,,,,
54,7/28/2021 0:30,6.978,0,,,,,,
55,7/28/2021 0:45,6.978,0,,,,,,
56,7/28/2021 1:00,6.978,0,,,,,,
57,7/28/2021 1:15,6.877,0,,,,,,
58,7/28/2021 1:30,6.877,0,,,,,,
59,7/28/2021 1:45,6.877,0,,,,,,
60,7/28/2021 2:00,6.775,0,,,,,,
61,7/28/2021 2:15,6.674,0,,,,,,
62,7/28/2021 2:30,6.674,0,,,,,,
63,7/28/2021 2:45,6.573,0,,,,,,
64,7/28/2021 3:00,6.573,0,,,,,,
65,7/28/2021 3:15,6.471,0,,,,,,
66,7/28/2021 3:30,6.471,0,,,,,,
67,7/28/2021 3:45,6.37,0,,,,,,
68,7/28/2021 4:00,6.37,0,,,,,,
69,7/28/2021 4:15,6.268,0,,,,,,
70,7/28/2021 4:30,6.166,0,,,,,,
71,7/28/2021 4:45,6.166,0,,,,,,
72,7/28/2021 5:00,6.064,0,,,,,,
73,7/28/2021 5:15,6.064,0,,,,,,
74,7/28/2021 5:30,5.962,0,,,,,,
75,7/28/2021 5:45,5.962,0,,,,,,
76,7/28/2021 6:00,5.86,0,,,,,,
77,7/28/2021 6:15,5.86,0,,,,,,
78,7/28/2021 6:30,5.757,10.8,,,,,,
79,7/28/2021 6:45,5.757,43.1,,,,,,
80,7/28/2021 7:00,5.757,86.1,,,,,,
81,7/28/2021 7:15,5.757,107.6,,,,,,
82,7/28/2021 7:30,5.757,376.7,,,,,,
83,7/28/2021 7:45,5.86,505.9,,,,,,
84,7/28/2021 8:00,5.962,505.9,,,,,,
85,7/28/2021 8:15,5.962,1205.6,,,,,,
86,7/28/2021 8:30,6.064,1216.3,,,,,,
87,7/28/2021 8:45,6.166,656.6,,,,,,
88,7/28/2021 9:00,6.268,2755.6,,,,,,
89,7/28/2021 9:15,6.471,1173.3,,,,,,
90,7/28/2021 9:30,6.573,2066.7,,,,,,
91,7/28/2021 9:45,6.674,2497.2,,,,,,
92,7/28/2021 10:00,6.877,1550,,,,,,
93,7/28/2021 10:15,6.978,1280.9,,,,,,
94,7/28/2021 10:30,7.179,1894.5,,,,,,
95,7/28/2021 10:45,7.28,2411.1,,,,,,
96,7/28/2021 11:00,7.381,1808.3,,,,,,
97,7/28/2021 11:15,7.381,1722.2,,,,,,
98,7/28/2021 11:30,7.481,2325,,,,,,
99,7/28/2021 11:45,7.582,1636.1,,,,,,
100,7/28/2021 12:00,7.682,5166.7,,,,,,
101,7/28/2021 12:15,7.882,18600.1,,,,,,
102,7/28/2021 12:30,8.082,2238.9,,,,,,
103,7/28/2021 12:45,8.182,2152.8,,,,,,
104,7/28/2021 13:00,8.581,57867,,,,,,
105,7/28/2021 13:15,8.68,5511.1,,,,,,
106,7/28/2021 13:30,9.373,3272.2,,,,,,
107,7/28/2021 13:45,9.077,4650,,,,,,
108,7/28/2021 14:00,9.275,2755.6,,,,,,
109,7/28/2021 14:15,9.472,5338.9,,,,,,
110,7/28/2021 14:30,9.571,4305.6,,,,,,
111,7/28/2021 14:45,9.669,4822.3,,,,,,
112,7/28/2021 15:00,9.571,1980.6,,,,,,
113,7/28/2021 15:15,9.669,4477.8,,,,,,
114,7/28/2021 15:30,9.768,6544.5,,,,,,
115,7/28/2021 15:45,9.768,3444.5,,,,,,
116,7/28/2021 16:00,9.866,3100,,,,,,
117,7/28/2021 16:15,9.866,1722.2,,,,,,
118,7/28/2021 16:30,9.965,4822.3,,,,,,
119,7/28/2021 16:45,9.965,1130.2,,,,,,
120,7/28/2021 17:00,9.866,807.3,,,,,,
121,7/28/2021 17:15,9.768,549,,,,,,
122,7/28/2021 17:30,9.669,376.7,,,,,,
123,7/28/2021 17:45,9.571,656.6,,,,,,
