Plot Title: LUXarriba_04,,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10801151, SEN S/N: 10801151)","Intensity, Lux (LGR S/N: 10801151, SEN S/N: 10801151)",Bad Battery (LGR S/N: 10801151),Coupler Attached (LGR S/N: 10801151),Host Connected (LGR S/N: 10801151),Stopped (LGR S/N: 10801151),End Of File (LGR S/N: 10801151)
1,10/20/2021 12:45,30.457,30311.3,,,,,
2,10/20/2021 13:00,26.292,57867,,,,,
3,10/20/2021 13:15,26.195,104711.8,,,,,
4,10/20/2021 13:30,30.862,99200.7,,,,,
5,10/20/2021 13:45,32.188,44089.2,,,,,
6,10/20/2021 14:00,33.848,19289,,,,,
7,10/20/2021 14:15,20.234,4994.5,,,,,
8,10/20/2021 14:30,14.9,6544.5,,,,,
9,10/20/2021 14:45,12.69,3616.7,,,,,
10,10/20/2021 15:00,10.846,2497.2,,,,,
11,10/20/2021 15:15,9.472,3272.2,,,,,
12,10/20/2021 15:30,10.259,8266.7,,,,,
13,10/20/2021 15:45,9.965,4994.5,,,,,
14,10/20/2021 16:00,8.68,742.7,,,,,
15,10/20/2021 16:15,7.682,699.7,,,,,
16,10/20/2021 16:30,7.381,667.4,,,,,
17,10/20/2021 16:45,7.079,925.7,,,,,
18,10/20/2021 17:00,6.775,947.2,,,,,
19,10/20/2021 17:15,6.268,688.9,,,,,
20,10/20/2021 17:30,6.268,269.1,,,,,
21,10/20/2021 17:45,6.166,247.6,,,,,
22,10/20/2021 18:00,6.166,75.3,,,,,
23,10/20/2021 18:15,6.166,0,,,,,
24,10/20/2021 18:30,5.757,0,,,,,
25,10/20/2021 18:45,5.552,0,,,,,
26,10/20/2021 19:00,5.45,0,,,,,
27,10/20/2021 19:15,5.141,0,,,,,
28,10/20/2021 19:30,4.311,0,,,,,
29,10/20/2021 19:45,4.831,0,,,,,
30,10/20/2021 20:00,5.141,0,,,,,
31,10/20/2021 20:15,5.244,0,,,,,
32,10/20/2021 20:30,5.347,0,,,,,
33,10/20/2021 20:45,5.244,0,,,,,
