Serial_number: 2020421,,,,
Date,Time,DateTime,LEVEL,TEMPERATURE
7/12/19,12:30:00 PM,07/12/19 12:30:00,64.2334,11.169
7/12/19,12:45:00 PM,07/12/19 12:45:00,64.2901,11.537
7/12/19,1:00:00 PM,07/12/19 13:00:00,64.3246,11.942
7/12/19,1:15:00 PM,07/12/19 13:15:00,64.2857,12.033
7/12/19,1:30:00 PM,07/12/19 13:30:00,64.3013,12.125
7/12/19,1:45:00 PM,07/12/19 13:45:00,64.2971,12.197
7/12/19,2:00:00 PM,07/12/19 14:00:00,64.3183,12.486
7/12/19,2:15:00 PM,07/12/19 14:15:00,64.355,12.7
7/12/19,2:30:00 PM,07/12/19 14:30:00,64.3442,12.713
7/12/19,2:45:00 PM,07/12/19 14:45:00,64.3457,12.776
7/12/19,3:00:00 PM,07/12/19 15:00:00,64.3386,12.966
7/12/19,3:15:00 PM,07/12/19 15:15:00,64.2519,13.307
7/12/19,3:30:00 PM,07/12/19 15:30:00,64.2211,13.2
7/12/19,3:45:00 PM,07/12/19 15:45:00,64.2009,13.254
7/12/19,4:00:00 PM,07/12/19 16:00:00,64.2119,13.09
7/12/19,4:15:00 PM,07/12/19 16:15:00,64.1708,12.927
7/12/19,4:30:00 PM,07/12/19 16:30:00,64.1424,12.821
7/12/19,4:45:00 PM,07/12/19 16:45:00,64.1341,12.672
7/12/19,5:00:00 PM,07/12/19 17:00:00,64.1242,12.491
7/12/19,5:15:00 PM,07/12/19 17:15:00,64.1178,12.253
7/12/19,5:30:00 PM,07/12/19 17:30:00,64.1175,12.119
7/12/19,5:45:00 PM,07/12/19 17:45:00,64.1042,11.906
7/12/19,6:00:00 PM,07/12/19 18:00:00,64.0624,11.642
7/12/19,6:15:00 PM,07/12/19 18:15:00,64.0344,11.398
7/12/19,6:30:00 PM,07/12/19 18:30:00,64.0504,11.176
7/12/19,6:45:00 PM,07/12/19 18:45:00,64.0392,10.927
7/12/19,7:00:00 PM,07/12/19 19:00:00,64.0303,10.725
7/12/19,7:15:00 PM,07/12/19 19:15:00,64.0379,10.541
7/12/19,7:30:00 PM,07/12/19 19:30:00,64.0507,10.354
7/12/19,7:45:00 PM,07/12/19 19:45:00,64.0558,10.201
7/12/19,8:00:00 PM,07/12/19 20:00:00,64.0453,10.051
7/12/19,8:15:00 PM,07/12/19 20:15:00,64.0537,9.916
7/12/19,8:30:00 PM,07/12/19 20:30:00,64.0508,9.797
7/12/19,8:45:00 PM,07/12/19 20:45:00,64.0576,9.672
7/12/19,9:00:00 PM,07/12/19 21:00:00,64.0516,9.569
7/12/19,9:15:00 PM,07/12/19 21:15:00,64.0675,9.455
7/12/19,9:30:00 PM,07/12/19 21:30:00,64.0614,9.338
7/12/19,9:45:00 PM,07/12/19 21:45:00,64.0418,9.218
7/12/19,10:00:00 PM,07/12/19 22:00:00,64.0711,9.126
7/12/19,10:15:00 PM,07/12/19 22:15:00,64.0604,9.053
