Date,Time,ms,LEVEL,TEMPERATURE,Level mH20,
7/10/2019,11:59:31 AM,0,-0.0095,6.974,-0.000968753,7/10/19 11:59:31
7/10/2019,12:14:31 PM,0,-0.005,7.866,-0.00050987,7/10/19 12:14:31
7/10/2019,12:29:31 PM,0,-0.0103,6.894,-0.001050332,7/10/19 12:29:31
7/10/2019,12:44:31 PM,0,-0.0101,7.404,-0.001029937,7/10/19 12:44:31
7/10/2019,12:59:31 PM,0,-0.0083,7.681,-0.000846384,7/10/19 12:59:31
7/10/2019,1:14:31 PM,0,-0.0111,7.531,-0.001131911,7/10/19 13:14:31
7/10/2019,1:29:31 PM,0,-0.0124,6.761,-0.001264478,7/10/19 13:29:31
7/10/2019,1:44:31 PM,0,-0.0037,9.565,-0.000377304,7/10/19 13:44:31
7/10/2019,1:59:31 PM,0,-0.0003,9.623,-3.06E-05,7/10/19 13:59:31
7/10/2019,2:14:31 PM,0,-0.0041,9.909,-0.000418093,7/10/19 14:14:31
7/10/2019,2:29:31 PM,0,-0.0031,9.852,-0.000316119,7/10/19 14:29:31
7/10/2019,2:44:31 PM,0,-0.0025,9.842,-0.000254935,7/10/19 14:44:31
7/10/2019,2:59:31 PM,0,0.0031,9.707,0.000316119,7/10/19 14:59:31
7/10/2019,3:14:31 PM,0,0.0003,9.248,3.06E-05,7/10/19 15:14:31
7/10/2019,3:29:31 PM,0,0.0004,8.957,4.08E-05,7/10/19 15:29:31
7/10/2019,3:44:31 PM,0,-0.0042,8.804,-0.000428291,7/10/19 15:44:31
7/10/2019,3:59:31 PM,0,-0.0033,8.871,-0.000336514,7/10/19 15:59:31
7/10/2019,4:14:31 PM,0,-0.0024,8.724,-0.000244738,7/10/19 16:14:31
7/10/2019,4:29:31 PM,0,-0.0039,8.561,-0.000397699,7/10/19 16:29:31
7/10/2019,4:44:31 PM,0,0.0009,8.043,9.18E-05,7/10/19 16:44:31
7/10/2019,4:59:31 PM,0,-0.0044,7.769,-0.000448686,7/10/19 16:59:31
7/10/2019,5:14:31 PM,0,-0.0028,7.544,-0.000285527,7/10/19 17:14:31
7/10/2019,5:29:31 PM,0,-0.0052,7.306,-0.000530265,7/10/19 17:29:31
7/10/2019,5:44:31 PM,0,-0.0022,6.915,-0.000224343,7/10/19 17:44:31
7/10/2019,5:59:31 PM,0,-0.0047,6.521,-0.000479278,7/10/19 17:59:31
7/10/2019,6:14:31 PM,0,-0.0041,6.179,-0.000418093,7/10/19 18:14:31
7/10/2019,6:29:31 PM,0,-0.0052,5.872,-0.000530265,7/10/19 18:29:31
7/10/2019,6:44:31 PM,0,-0.0049,5.633,-0.000499673,7/10/19 18:44:31
7/10/2019,6:59:31 PM,0,-0.0067,5.409,-0.000683226,7/10/19 18:59:31
7/10/2019,7:14:31 PM,0,-0.0024,5.162,-0.000244738,7/10/19 19:14:31
7/10/2019,7:29:31 PM,0,-0.0015,5.006,-0.000152961,7/10/19 19:29:31
7/10/2019,7:44:31 PM,0,-0.0074,4.795,-0.000754608,7/10/19 19:44:31
7/10/2019,7:59:31 PM,0,-0.0078,4.621,-0.000795397,7/10/19 19:59:31
7/10/2019,8:14:31 PM,0,-0.0088,4.376,-0.000897371,7/10/19 20:14:31
7/10/2019,8:29:31 PM,0,-0.0053,4.236,-0.000540462,7/10/19 20:29:31
7/10/2019,8:44:31 PM,0,-0.0059,4.086,-0.000601647,7/10/19 20:44:31
7/10/2019,8:59:31 PM,0,-0.0093,3.852,-0.000948358,7/10/19 20:59:31
7/10/2019,9:14:31 PM,0,-0.0094,3.642,-0.000958556,7/10/19 21:14:31
7/10/2019,9:29:31 PM,0,-0.0097,3.475,-0.000989148,7/10/19 21:29:31
7/10/2019,9:44:31 PM,0,-0.0078,3.347,-0.000795397,7/10/19 21:44:31
7/10/2019,9:59:31 PM,0,-0.0108,3.251,-0.001101319,7/10/19 21:59:31
7/10/2019,10:14:31 PM,0,-0.0119,3.108,-0.001213491,7/10/19 22:14:31
7/10/2019,10:29:31 PM,0,-0.0104,2.981,-0.00106053,7/10/19 22:29:31
7/10/2019,10:44:31 PM,0,-0.0131,2.87,-0.001335859,7/10/19 22:44:31
7/10/2019,10:59:31 PM,0,-0.0117,2.756,-0.001193096,7/10/19 22:59:31
7/10/2019,11:14:31 PM,0,-0.0114,2.739,-0.001162504,7/10/19 23:14:31
7/10/2019,11:29:31 PM,0,-0.0092,2.705,-0.000938161,7/10/19 23:29:31
