Serial_number:,,,,,
2020436,,,,,
Project ID:,,,,,
,,,,,
Location:,,,,,
,,,,,
LEVEL,,,,,
UNIT: m,,,,,
Offset: 0.000000 m,,,,,
TEMPERATURE,,,,,
UNIT: °C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,Level mH2O
7/12/2019,11:45:00 AM,0,-0.0041,9.38,-0.000418093
7/12/2019,12:00:00 PM,0,-0.0052,8.766,-0.000530265
7/12/2019,12:15:00 PM,0,-0.0053,8.624,-0.000540462
7/12/2019,12:30:00 PM,0,-0.0036,9.033,-0.000367106
7/12/2019,12:45:00 PM,0,0.1678,11.336,0.017111237
7/12/2019,1:00:00 PM,0,0.1674,12.025,0.017070448
7/12/2019,1:15:00 PM,0,0.1691,12.121,0.017243803
7/12/2019,1:30:00 PM,0,0.1699,12.122,0.017325383
7/12/2019,1:45:00 PM,0,0.171,12.436,0.017437554
7/12/2019,2:00:00 PM,0,0.1699,12.687,0.017325383
7/12/2019,2:15:00 PM,0,0.1697,12.729,0.017304988
7/12/2019,2:30:00 PM,0,0.1699,12.804,0.017325383
7/12/2019,2:45:00 PM,0,0.1712,12.959,0.017457949
7/12/2019,3:00:00 PM,0,0.1689,13.331,0.017223409
7/12/2019,3:15:00 PM,0,0.1685,13.271,0.017182619
7/12/2019,3:30:00 PM,0,0.1698,13.323,0.017315185
7/12/2019,3:45:00 PM,0,0.168,13.188,0.017131632
7/12/2019,4:00:00 PM,0,0.1658,13.014,0.016907289
7/12/2019,4:15:00 PM,0,0.1656,12.919,0.016886894
7/12/2019,4:30:00 PM,0,0.1646,12.739,0.01678492
7/12/2019,4:45:00 PM,0,0.1626,12.601,0.016580972
7/12/2019,5:00:00 PM,0,0.1605,12.334,0.016366827
7/12/2019,5:15:00 PM,0,0.1583,12.177,0.016142484
7/12/2019,5:30:00 PM,0,0.1548,11.996,0.015785575
7/12/2019,5:45:00 PM,0,0.1525,11.704,0.015551035
7/12/2019,6:00:00 PM,0,0.1524,11.456,0.015540838
7/12/2019,6:15:00 PM,0,0.1522,11.231,0.015520443
7/12/2019,6:30:00 PM,0,0.1517,10.977,0.015469456
7/12/2019,6:45:00 PM,0,0.1539,10.752,0.015693799
7/12/2019,7:00:00 PM,0,0.1537,10.573,0.015673404
7/12/2019,7:15:00 PM,0,0.1529,10.375,0.015591825
7/12/2019,7:30:00 PM,0,0.1525,10.223,0.015551035
7/12/2019,7:45:00 PM,0,0.1524,10.066,0.015540838
7/12/2019,8:00:00 PM,0,0.1519,9.926,0.015489851
