Serial_number:
2020432
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/12/2019,11:15:00 am,0,0.0038,16.994
7/12/2019,11:30:00 am,0,0.0031,14.263
7/12/2019,11:45:00 am,0,-0.0023,11.733
7/12/2019,12:00:00 pm,0,-0.0026,11.671
7/12/2019,12:15:00 pm,0,-0.0015,12.471
7/12/2019,12:30:00 pm,0,0.0008,13.555
7/12/2019,12:45:00 pm,0,0.0318,14.440
7/12/2019,01:00:00 pm,0,0.6558,14.926
7/12/2019,01:15:00 pm,0,0.4562,15.388
7/12/2019,01:30:00 pm,0,0.0013,16.152
7/12/2019,01:45:00 pm,0,0.0030,19.897
7/12/2019,02:00:00 pm,0,0.8401,6.954
7/12/2019,02:15:00 pm,0,0.8431,6.877
7/12/2019,02:30:00 pm,0,0.8430,6.860
7/12/2019,02:45:00 pm,0,0.8435,6.853
7/12/2019,03:00:00 pm,0,0.8426,6.837
7/12/2019,03:15:00 pm,0,0.8429,6.829
7/12/2019,03:30:00 pm,0,0.8427,6.826
7/12/2019,03:45:00 pm,0,0.8428,6.823
7/12/2019,04:00:00 pm,0,0.8421,6.824
7/12/2019,04:15:00 pm,0,0.8418,6.820
7/12/2019,04:30:00 pm,0,0.8419,6.818
7/12/2019,04:45:00 pm,0,0.8421,6.818
7/12/2019,05:00:00 pm,0,0.8426,6.817
7/12/2019,05:15:00 pm,0,0.8428,6.819
7/12/2019,05:30:00 pm,0,0.8423,6.819
7/12/2019,05:45:00 pm,0,0.8421,6.821
7/12/2019,06:00:00 pm,0,0.8419,6.822
7/12/2019,06:15:00 pm,0,0.8425,6.821
7/12/2019,06:30:00 pm,0,0.8431,6.822
7/12/2019,06:45:00 pm,0,0.8436,6.821
7/12/2019,07:00:00 pm,0,0.8430,6.821
7/12/2019,07:15:00 pm,0,0.8429,6.822
7/12/2019,07:30:00 pm,0,0.8422,6.824
7/12/2019,07:45:00 pm,0,0.8417,6.823
7/12/2019,08:00:00 pm,0,0.8406,6.824
7/12/2019,08:15:00 pm,0,0.8402,6.824
7/12/2019,08:30:00 pm,0,0.8395,6.824
7/12/2019,08:45:00 pm,0,0.8387,6.825
7/12/2019,09:00:00 pm,0,0.8384,6.826
7/12/2019,09:15:00 pm,0,0.8376,6.827
7/12/2019,09:30:00 pm,0,0.8370,6.828
7/12/2019,09:45:00 pm,0,0.8368,6.829
7/12/2019,10:00:00 pm,0,0.8366,6.829
7/12/2019,10:15:00 pm,0,0.8371,6.830
7/12/2019,10:30:00 pm,0,0.8357,6.830
7/12/2019,10:45:00 pm,0,0.8364,6.832
7/12/2019,11:00:00 pm,0,0.8361,6.832
7/12/2019,11:15:00 pm,0,0.8358,6.833
7/12/2019,11:30:00 pm,0,0.8361,6.834
7/12/2019,11:45:00 pm,0,0.8365,6.835
7/13/2019,12:00:00 am,0,0.8369,6.834
7/13/2019,12:15:00 am,0,0.8383,6.836
7/13/2019,12:30:00 am,0,0.8418,6.837
7/13/2019,12:45:00 am,0,0.8430,6.838
7/13/2019,01:00:00 am,0,0.8439,6.839
7/13/2019,01:15:00 am,0,0.8429,6.839
7/13/2019,01:30:00 am,0,0.8436,6.840
7/13/2019,01:45:00 am,0,0.8438,6.842
7/13/2019,02:00:00 am,0,0.8433,6.843
7/13/2019,02:15:00 am,0,0.8431,6.843
7/13/2019,02:30:00 am,0,0.8415,6.844
7/13/2019,02:45:00 am,0,0.8415,6.845
7/13/2019,03:00:00 am,0,0.8424,6.845
7/13/2019,03:15:00 am,0,0.8441,6.846
7/13/2019,03:30:00 am,0,0.8460,6.847
7/13/2019,03:45:00 am,0,0.8465,6.848
7/13/2019,04:00:00 am,0,0.8461,6.849
7/13/2019,04:15:00 am,0,0.8448,6.850
7/13/2019,04:30:00 am,0,0.8439,6.850
7/13/2019,04:45:00 am,0,0.8428,6.852
7/13/2019,05:00:00 am,0,0.8435,6.852
7/13/2019,05:15:00 am,0,0.8429,6.853
7/13/2019,05:30:00 am,0,0.8433,6.854
7/13/2019,05:45:00 am,0,0.8436,6.854
7/13/2019,06:00:00 am,0,0.8447,6.855
7/13/2019,06:15:00 am,0,0.8451,6.856
7/13/2019,06:30:00 am,0,0.8438,6.858
7/13/2019,06:45:00 am,0,0.8421,6.858
7/13/2019,07:00:00 am,0,0.8423,6.859
7/13/2019,07:15:00 am,0,0.8431,6.859
7/13/2019,07:30:00 am,0,0.8465,6.861
7/13/2019,07:45:00 am,0,0.8485,6.862
7/13/2019,08:00:00 am,0,0.8481,6.862
7/13/2019,08:15:00 am,0,0.8475,6.863
7/13/2019,08:30:00 am,0,0.8473,6.863
7/13/2019,08:45:00 am,0,0.8456,6.864
7/13/2019,09:00:00 am,0,0.8448,6.865
7/13/2019,09:15:00 am,0,0.8442,6.866
7/13/2019,09:30:00 am,0,0.8433,6.866
7/13/2019,09:45:00 am,0,0.8422,6.868
7/13/2019,10:00:00 am,0,0.8430,6.868
7/13/2019,10:15:00 am,0,0.8444,6.869
7/13/2019,10:30:00 am,0,0.8448,6.868
7/13/2019,10:45:00 am,0,0.8458,6.870
