Serial_number:
2020442
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
7/17/2019,01:00:00 pm,0,0.0166,23.066
7/17/2019,01:15:00 pm,0,-0.0005,22.475
7/17/2019,01:30:00 pm,0,0.0002,19.952
7/17/2019,01:45:00 pm,0,0.0100,17.814
7/17/2019,02:00:00 pm,0,-0.0031,14.897
7/17/2019,02:15:00 pm,0,0.3441,9.956
7/17/2019,02:30:00 pm,0,0.3405,7.869
7/17/2019,02:45:00 pm,0,0.3398,7.699
7/17/2019,03:00:00 pm,0,0.3402,7.624
7/17/2019,03:15:00 pm,0,0.3400,7.579
7/17/2019,03:30:00 pm,0,0.3399,7.547
7/17/2019,03:45:00 pm,0,0.3392,7.523
7/17/2019,04:00:00 pm,0,0.3380,7.505
7/17/2019,04:15:00 pm,0,0.3389,7.492
7/17/2019,04:30:00 pm,0,0.3386,7.482
7/17/2019,04:45:00 pm,0,0.3387,7.473
7/17/2019,05:00:00 pm,0,0.3381,7.468
7/17/2019,05:15:00 pm,0,0.3389,7.464
7/17/2019,05:30:00 pm,0,0.3383,7.462
7/17/2019,05:45:00 pm,0,0.3375,7.460
7/17/2019,06:00:00 pm,0,0.3381,7.462
7/17/2019,06:15:00 pm,0,0.3383,7.464
7/17/2019,06:30:00 pm,0,0.3375,7.466
7/17/2019,06:45:00 pm,0,0.3376,7.469
7/17/2019,07:00:00 pm,0,0.3373,7.473
7/17/2019,07:15:00 pm,0,0.3372,7.477
7/17/2019,07:30:00 pm,0,0.3370,7.483
7/17/2019,07:45:00 pm,0,0.3370,7.488
7/17/2019,08:00:00 pm,0,0.3373,7.492
7/17/2019,08:15:00 pm,0,0.3362,7.498
7/17/2019,08:30:00 pm,0,0.3367,7.504
7/17/2019,08:45:00 pm,0,0.3364,7.508
7/17/2019,09:00:00 pm,0,0.3375,7.513
7/17/2019,09:15:00 pm,0,0.3370,7.516
7/17/2019,09:30:00 pm,0,0.3366,7.520
7/17/2019,09:45:00 pm,0,0.3369,7.523
7/17/2019,10:00:00 pm,0,0.3360,7.524
7/17/2019,10:15:00 pm,0,0.3371,7.526
7/17/2019,10:30:00 pm,0,0.3370,7.526
7/17/2019,10:45:00 pm,0,0.3360,7.526
7/17/2019,11:00:00 pm,0,0.3379,7.525
7/17/2019,11:15:00 pm,0,0.3372,7.524
7/17/2019,11:30:00 pm,0,0.3367,7.522
7/17/2019,11:45:00 pm,0,0.3368,7.520
7/18/2019,12:00:00 am,0,0.3367,7.517
7/18/2019,12:15:00 am,0,0.3382,7.514
7/18/2019,12:30:00 am,0,0.3374,7.509
7/18/2019,12:45:00 am,0,0.3377,7.505
7/18/2019,01:00:00 am,0,0.3376,7.499
7/18/2019,01:15:00 am,0,0.3381,7.494
7/18/2019,01:30:00 am,0,0.3380,7.488
7/18/2019,01:45:00 am,0,0.3386,7.482
7/18/2019,02:00:00 am,0,0.3382,7.474
7/18/2019,02:15:00 am,0,0.3383,7.467
7/18/2019,02:30:00 am,0,0.3378,7.459
7/18/2019,02:45:00 am,0,0.3390,7.450
7/18/2019,03:00:00 am,0,0.3387,7.442
7/18/2019,03:15:00 am,0,0.3388,7.433
7/18/2019,03:30:00 am,0,0.3392,7.424
7/18/2019,03:45:00 am,0,0.3388,7.414
7/18/2019,04:00:00 am,0,0.3383,7.404
7/18/2019,04:15:00 am,0,0.3396,7.393
7/18/2019,04:30:00 am,0,0.3379,7.383
7/18/2019,04:45:00 am,0,0.3375,7.372
7/18/2019,05:00:00 am,0,0.3376,7.361
7/18/2019,05:15:00 am,0,0.3377,7.350
7/18/2019,05:30:00 am,0,0.3368,7.339
7/18/2019,05:45:00 am,0,0.3371,7.327
7/18/2019,06:00:00 am,0,0.3366,7.316
7/18/2019,06:15:00 am,0,0.3366,7.304
7/18/2019,06:30:00 am,0,0.3350,7.292
7/18/2019,06:45:00 am,0,0.3364,7.279
7/18/2019,07:00:00 am,0,0.3356,7.268
7/18/2019,07:15:00 am,0,0.3349,7.256
7/18/2019,07:30:00 am,0,0.3347,7.244
7/18/2019,07:45:00 am,0,0.3353,7.231
7/18/2019,08:00:00 am,0,0.3349,7.219
7/18/2019,08:15:00 am,0,0.3350,7.206
7/18/2019,08:30:00 am,0,0.3335,7.194
7/18/2019,08:45:00 am,0,0.3355,7.181
7/18/2019,09:00:00 am,0,0.3360,7.168
