Serial_number:
2020432
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
6/26/2019,11:00:00 am,0,0.1559,19.973
6/26/2019,11:05:00 am,0,0.1561,19.974
6/26/2019,11:10:00 am,0,0.1565,19.981
6/26/2019,11:15:00 am,0,0.1569,19.989
6/26/2019,11:20:00 am,0,0.1572,19.998
6/26/2019,11:25:00 am,0,0.1582,20.031
6/26/2019,11:30:00 am,0,0.1593,20.059
6/26/2019,11:35:00 am,0,0.1606,20.094
6/26/2019,11:40:00 am,0,0.1619,20.117
6/26/2019,11:45:00 am,0,0.1627,20.150
6/26/2019,11:50:00 am,0,0.1638,20.178
6/26/2019,11:55:00 am,0,0.1652,20.214
6/26/2019,12:00:00 pm,0,0.1652,20.237
6/26/2019,12:05:00 pm,0,0.1654,20.255
6/26/2019,12:10:00 pm,0,0.1662,20.282
6/26/2019,12:15:00 pm,0,0.1672,20.316
6/26/2019,12:20:00 pm,0,0.1670,20.346
6/26/2019,12:25:00 pm,0,0.1660,20.381
6/26/2019,12:30:00 pm,0,0.1656,20.394
6/26/2019,12:35:00 pm,0,0.1651,20.411
6/26/2019,12:40:00 pm,0,0.1648,20.449
6/26/2019,12:45:00 pm,0,0.1645,20.467
6/26/2019,12:50:00 pm,0,0.1647,20.497
6/26/2019,12:55:00 pm,0,0.1657,20.517
6/26/2019,01:00:00 pm,0,0.1651,20.547
6/26/2019,01:05:00 pm,0,-0.0149,21.938
6/26/2019,01:10:00 pm,0,-0.0106,23.267
6/26/2019,01:15:00 pm,0,-0.0142,23.834
6/26/2019,01:20:00 pm,0,-0.0162,24.633
6/26/2019,01:25:00 pm,0,-0.0163,25.595
6/26/2019,01:30:00 pm,0,-0.0163,26.216
6/26/2019,01:35:00 pm,0,-0.0166,26.622
6/26/2019,01:40:00 pm,0,-0.0177,27.015
6/26/2019,01:45:00 pm,0,-0.0180,27.417
6/26/2019,01:50:00 pm,0,-0.0182,27.789
6/26/2019,01:55:00 pm,0,-0.0186,28.215
6/26/2019,02:00:00 pm,0,-0.0169,27.619
6/26/2019,02:05:00 pm,0,-0.0158,26.812
6/26/2019,02:10:00 pm,0,-0.0149,26.181
6/26/2019,02:15:00 pm,0,-0.0147,25.671
6/26/2019,02:20:00 pm,0,-0.0143,25.247
6/26/2019,02:25:00 pm,0,-0.0146,24.878
6/26/2019,02:30:00 pm,0,-0.0138,24.569
6/26/2019,02:35:00 pm,0,-0.0134,24.315
6/26/2019,02:40:00 pm,0,-0.0136,23.820
6/26/2019,02:45:00 pm,0,-0.0128,23.287
