Date,Time,ms,LEVEL,TEMPERATURE,
7/10/2019,11:59:31 AM,0,-0.0095,6.974,7/10/19 11:59:31
7/10/2019,12:14:31 PM,0,-0.005,7.866,7/10/19 12:14:31
7/10/2019,12:29:31 PM,0,-0.0103,6.894,7/10/19 12:29:31
7/10/2019,12:44:31 PM,0,-0.0101,7.404,7/10/19 12:44:31
7/10/2019,12:59:31 PM,0,-0.0083,7.681,7/10/19 12:59:31
7/10/2019,1:14:31 PM,0,-0.0111,7.531,7/10/19 13:14:31
7/10/2019,1:29:31 PM,0,-0.0124,6.761,7/10/19 13:29:31
7/10/2019,1:44:31 PM,0,-0.0037,9.565,7/10/19 13:44:31
7/10/2019,1:59:31 PM,0,-0.0003,9.623,7/10/19 13:59:31
7/10/2019,2:14:31 PM,0,-0.0041,9.909,7/10/19 14:14:31
7/10/2019,2:29:31 PM,0,-0.0031,9.852,7/10/19 14:29:31
7/10/2019,2:44:31 PM,0,-0.0025,9.842,7/10/19 14:44:31
7/10/2019,2:59:31 PM,0,0.0031,9.707,7/10/19 14:59:31
7/10/2019,3:14:31 PM,0,0.0003,9.248,7/10/19 15:14:31
7/10/2019,3:29:31 PM,0,0.0004,8.957,7/10/19 15:29:31
7/10/2019,3:44:31 PM,0,-0.0042,8.804,7/10/19 15:44:31
7/10/2019,3:59:31 PM,0,-0.0033,8.871,7/10/19 15:59:31
7/10/2019,4:14:31 PM,0,-0.0024,8.724,7/10/19 16:14:31
7/10/2019,4:29:31 PM,0,-0.0039,8.561,7/10/19 16:29:31
7/10/2019,4:44:31 PM,0,0.0009,8.043,7/10/19 16:44:31
7/10/2019,4:59:31 PM,0,-0.0044,7.769,7/10/19 16:59:31
7/10/2019,5:14:31 PM,0,-0.0028,7.544,7/10/19 17:14:31
7/10/2019,5:29:31 PM,0,-0.0052,7.306,7/10/19 17:29:31
7/10/2019,5:44:31 PM,0,-0.0022,6.915,7/10/19 17:44:31
7/10/2019,5:59:31 PM,0,-0.0047,6.521,7/10/19 17:59:31
7/10/2019,6:14:31 PM,0,-0.0041,6.179,7/10/19 18:14:31
7/10/2019,6:29:31 PM,0,-0.0052,5.872,7/10/19 18:29:31
7/10/2019,6:44:31 PM,0,-0.0049,5.633,7/10/19 18:44:31
7/10/2019,6:59:31 PM,0,-0.0067,5.409,7/10/19 18:59:31
7/10/2019,7:14:31 PM,0,-0.0024,5.162,7/10/19 19:14:31
7/10/2019,7:29:31 PM,0,-0.0015,5.006,7/10/19 19:29:31
7/10/2019,7:44:31 PM,0,-0.0074,4.795,7/10/19 19:44:31
7/10/2019,7:59:31 PM,0,-0.0078,4.621,7/10/19 19:59:31
7/10/2019,8:14:31 PM,0,-0.0088,4.376,7/10/19 20:14:31
7/10/2019,8:29:31 PM,0,-0.0053,4.236,7/10/19 20:29:31
7/10/2019,8:44:31 PM,0,-0.0059,4.086,7/10/19 20:44:31
7/10/2019,8:59:31 PM,0,-0.0093,3.852,7/10/19 20:59:31
7/10/2019,9:14:31 PM,0,-0.0094,3.642,7/10/19 21:14:31
7/10/2019,9:29:31 PM,0,-0.0097,3.475,7/10/19 21:29:31
7/10/2019,9:44:31 PM,0,-0.0078,3.347,7/10/19 21:44:31
7/10/2019,9:59:31 PM,0,-0.0108,3.251,7/10/19 21:59:31
7/10/2019,10:14:31 PM,0,-0.0119,3.108,7/10/19 22:14:31
7/10/2019,10:29:31 PM,0,-0.0104,2.981,7/10/19 22:29:31
7/10/2019,10:44:31 PM,0,-0.0131,2.87,7/10/19 22:44:31
7/10/2019,10:59:31 PM,0,-0.0117,2.756,7/10/19 22:59:31
7/10/2019,11:14:31 PM,0,-0.0114,2.739,7/10/19 23:14:31
7/10/2019,11:29:31 PM,0,-0.0092,2.705,7/10/19 23:29:31
7/10/2019,11:44:31 PM,0,-0.0119,2.635,7/10/19 23:44:31
7/10/2019,11:59:31 PM,0,-0.016,2.515,7/10/19 23:59:31
7/11/2019,12:14:31 AM,0,-0.0136,2.398,7/11/19 00:14:31
7/11/2019,12:29:31 AM,0,-0.0156,2.33,7/11/19 00:29:31
7/11/2019,12:44:31 AM,0,-0.0128,2.313,7/11/19 00:44:31
7/11/2019,12:59:31 AM,0,-0.013,2.42,7/11/19 00:59:31
7/11/2019,1:14:31 AM,0,-0.0146,2.51,7/11/19 01:14:31
7/11/2019,1:29:31 AM,0,-0.0132,2.521,7/11/19 01:29:31
7/11/2019,1:44:31 AM,0,-0.0141,2.503,7/11/19 01:44:31
7/11/2019,1:59:31 AM,0,-0.0145,2.516,7/11/19 01:59:31
7/11/2019,2:14:31 AM,0,-0.0135,2.492,7/11/19 02:14:31
7/11/2019,2:29:31 AM,0,-0.0123,2.508,7/11/19 02:29:31
7/11/2019,2:44:31 AM,0,-0.011,2.551,7/11/19 02:44:31
7/11/2019,2:59:31 AM,0,-0.0115,2.512,7/11/19 02:59:31
7/11/2019,3:14:31 AM,0,-0.0119,2.507,7/11/19 03:14:31
7/11/2019,3:29:31 AM,0,-0.0122,2.473,7/11/19 03:29:31
7/11/2019,3:44:31 AM,0,-0.0123,2.272,7/11/19 03:44:31
7/11/2019,3:59:31 AM,0,-0.0119,2.247,7/11/19 03:59:31
7/11/2019,4:14:31 AM,0,-0.0095,2.335,7/11/19 04:14:31
7/11/2019,4:29:31 AM,0,-0.0121,2.412,7/11/19 04:29:31
