Date,Time,ms,LEVEL,TEMPERATURE,
7/12/2019,11:45:00 AM,0,-0.0041,9.38,7/12/19 11:45:00
7/12/2019,12:00:00 PM,0,-0.0052,8.766,7/12/19 12:00:00
7/12/2019,12:15:00 PM,0,-0.0053,8.624,7/12/19 12:15:00
7/12/2019,12:30:00 PM,0,-0.0036,9.033,7/12/19 12:30:00
7/12/2019,12:45:00 PM,0,0.1678,11.336,7/12/19 12:45:00
7/12/2019,1:00:00 PM,0,0.1674,12.025,7/12/19 13:00:00
7/12/2019,1:15:00 PM,0,0.1691,12.121,7/12/19 13:15:00
7/12/2019,1:30:00 PM,0,0.1699,12.122,7/12/19 13:30:00
7/12/2019,1:45:00 PM,0,0.171,12.436,7/12/19 13:45:00
7/12/2019,2:00:00 PM,0,0.1699,12.687,7/12/19 14:00:00
7/12/2019,2:15:00 PM,0,0.1697,12.729,7/12/19 14:15:00
7/12/2019,2:30:00 PM,0,0.1699,12.804,7/12/19 14:30:00
7/12/2019,2:45:00 PM,0,0.1712,12.959,7/12/19 14:45:00
7/12/2019,3:00:00 PM,0,0.1689,13.331,7/12/19 15:00:00
7/12/2019,3:15:00 PM,0,0.1685,13.271,7/12/19 15:15:00
7/12/2019,3:30:00 PM,0,0.1698,13.323,7/12/19 15:30:00
7/12/2019,3:45:00 PM,0,0.168,13.188,7/12/19 15:45:00
7/12/2019,4:00:00 PM,0,0.1658,13.014,7/12/19 16:00:00
7/12/2019,4:15:00 PM,0,0.1656,12.919,7/12/19 16:15:00
7/12/2019,4:30:00 PM,0,0.1646,12.739,7/12/19 16:30:00
7/12/2019,4:45:00 PM,0,0.1626,12.601,7/12/19 16:45:00
7/12/2019,5:00:00 PM,0,0.1605,12.334,7/12/19 17:00:00
7/12/2019,5:15:00 PM,0,0.1583,12.177,7/12/19 17:15:00
7/12/2019,5:30:00 PM,0,0.1548,11.996,7/12/19 17:30:00
7/12/2019,5:45:00 PM,0,0.1525,11.704,7/12/19 17:45:00
7/12/2019,6:00:00 PM,0,0.1524,11.456,7/12/19 18:00:00
7/12/2019,6:15:00 PM,0,0.1522,11.231,7/12/19 18:15:00
7/12/2019,6:30:00 PM,0,0.1517,10.977,7/12/19 18:30:00
7/12/2019,6:45:00 PM,0,0.1539,10.752,7/12/19 18:45:00
7/12/2019,7:00:00 PM,0,0.1537,10.573,7/12/19 19:00:00
7/12/2019,7:15:00 PM,0,0.1529,10.375,7/12/19 19:15:00
7/12/2019,7:30:00 PM,0,0.1525,10.223,7/12/19 19:30:00
7/12/2019,7:45:00 PM,0,0.1524,10.066,7/12/19 19:45:00
7/12/2019,8:00:00 PM,0,0.1519,9.926,7/12/19 20:00:00
7/12/2019,8:15:00 PM,0,0.1522,9.8,7/12/19 20:15:00
7/12/2019,8:30:00 PM,0,0.1509,9.676,7/12/19 20:30:00
7/12/2019,8:45:00 PM,0,0.1508,9.567,7/12/19 20:45:00
7/12/2019,9:00:00 PM,0,0.1511,9.469,7/12/19 21:00:00
7/12/2019,9:15:00 PM,0,0.15,9.337,7/12/19 21:15:00
7/12/2019,9:30:00 PM,0,0.1498,9.214,7/12/19 21:30:00
7/12/2019,9:45:00 PM,0,0.1498,9.122,7/12/19 21:45:00
7/12/2019,10:00:00 PM,0,0.1497,9.046,7/12/19 22:00:00
7/12/2019,10:15:00 PM,0,0.1495,8.96,7/12/19 22:15:00
7/12/2019,10:30:00 PM,0,0.1486,8.856,7/12/19 22:30:00
7/12/2019,10:45:00 PM,0,0.1487,8.793,7/12/19 22:45:00
7/12/2019,11:00:00 PM,0,0.1488,8.727,7/12/19 23:00:00
7/12/2019,11:15:00 PM,0,0.1484,8.669,7/12/19 23:15:00
7/12/2019,11:30:00 PM,0,0.1487,8.607,7/12/19 23:30:00
7/12/2019,11:45:00 PM,0,0.149,8.54,7/12/19 23:45:00
7/13/2019,12:00:00 AM,0,0.1496,8.491,7/13/19 00:00:00
7/13/2019,12:15:00 AM,0,0.1508,8.438,7/13/19 00:15:00
7/13/2019,12:30:00 AM,0,0.1513,8.38,7/13/19 00:30:00
7/13/2019,12:45:00 AM,0,0.1514,8.323,7/13/19 00:45:00
7/13/2019,1:00:00 AM,0,0.1513,8.277,7/13/19 01:00:00
7/13/2019,1:15:00 AM,0,0.1506,8.233,7/13/19 01:15:00
7/13/2019,1:30:00 AM,0,0.1511,8.173,7/13/19 01:30:00
7/13/2019,1:45:00 AM,0,0.1512,8.121,7/13/19 01:45:00
7/13/2019,2:00:00 AM,0,0.1507,8.066,7/13/19 02:00:00
7/13/2019,2:15:00 AM,0,0.1506,8.03,7/13/19 02:15:00
7/13/2019,2:30:00 AM,0,0.1497,7.978,7/13/19 02:30:00
7/13/2019,2:45:00 AM,0,0.1495,7.921,7/13/19 02:45:00
7/13/2019,3:00:00 AM,0,0.1497,7.863,7/13/19 03:00:00
7/13/2019,3:15:00 AM,0,0.1491,7.72,7/13/19 03:15:00
7/13/2019,3:30:00 AM,0,0.1493,7.678,7/13/19 03:30:00
7/13/2019,3:45:00 AM,0,0.1496,7.615,7/13/19 03:45:00
7/13/2019,4:00:00 AM,0,0.1499,7.563,7/13/19 04:00:00
7/13/2019,4:15:00 AM,0,0.1484,7.496,7/13/19 04:15:00
7/13/2019,4:30:00 AM,0,0.1488,7.46,7/13/19 04:30:00
7/13/2019,4:45:00 AM,0,0.1483,7.408,7/13/19 04:45:00
7/13/2019,5:00:00 AM,0,0.1489,7.347,7/13/19 05:00:00
7/13/2019,5:15:00 AM,0,0.1494,7.26,7/13/19 05:15:00
7/13/2019,5:30:00 AM,0,0.1492,7.167,7/13/19 05:30:00
7/13/2019,5:45:00 AM,0,0.1493,7.074,7/13/19 05:45:00
7/13/2019,6:00:00 AM,0,0.1499,6.992,7/13/19 06:00:00
7/13/2019,6:15:00 AM,0,0.151,6.983,7/13/19 06:15:00
7/13/2019,6:30:00 AM,0,0.1509,6.972,7/13/19 06:30:00
7/13/2019,6:45:00 AM,0,0.1501,6.94,7/13/19 06:45:00
7/13/2019,7:00:00 AM,0,0.151,6.898,7/13/19 07:00:00
7/13/2019,7:15:00 AM,0,0.1517,6.884,7/13/19 07:15:00
7/13/2019,7:30:00 AM,0,0.1523,6.869,7/13/19 07:30:00
7/13/2019,7:45:00 AM,0,0.1537,6.892,7/13/19 07:45:00
7/13/2019,8:00:00 AM,0,0.154,6.92,7/13/19 08:00:00
7/13/2019,8:15:00 AM,0,0.1547,6.967,7/13/19 08:15:00
7/13/2019,8:30:00 AM,0,0.1553,7.016,7/13/19 08:30:00
7/13/2019,8:45:00 AM,0,0.1565,7.095,7/13/19 08:45:00
7/13/2019,9:00:00 AM,0,0.1582,7.202,7/13/19 09:00:00
7/13/2019,9:15:00 AM,0,0.159,7.312,7/13/19 09:15:00
7/13/2019,9:30:00 AM,0,0.16,7.409,7/13/19 09:30:00
7/13/2019,9:45:00 AM,0,0.1618,7.56,7/13/19 09:45:00
7/13/2019,10:00:00 AM,0,0.1634,7.727,7/13/19 10:00:00
7/13/2019,10:15:00 AM,0,0.164,7.781,7/13/19 10:15:00
7/13/2019,10:30:00 AM,0,0.1658,7.879,7/13/19 10:30:00
7/13/2019,10:45:00 AM,0,0.1683,8.001,7/13/19 10:45:00
7/13/2019,11:00:00 AM,0,0.1723,8.289,7/13/19 11:00:00
7/13/2019,11:15:00 AM,0,0.1764,8.629,7/13/19 11:15:00
7/13/2019,11:30:00 AM,0,0.177,8.737,7/13/19 11:30:00
7/13/2019,11:45:00 AM,0,0.178,8.79,7/13/19 11:45:00
7/13/2019,12:00:00 PM,0,0.1781,9.058,7/13/19 12:00:00
7/13/2019,12:15:00 PM,0,0.1792,9.303,7/13/19 12:15:00
7/13/2019,12:30:00 PM,0,0.1761,9.51,7/13/19 12:30:00
7/13/2019,12:45:00 PM,0,0.1802,9.744,7/13/19 12:45:00
7/13/2019,1:00:00 PM,0,0.1812,9.794,7/13/19 13:00:00
7/13/2019,1:15:00 PM,0,0.1817,10.028,7/13/19 13:15:00
7/13/2019,1:30:00 PM,0,0.1825,10.112,7/13/19 13:30:00
7/13/2019,1:45:00 PM,0,0.1784,10.317,7/13/19 13:45:00
7/13/2019,2:00:00 PM,0,0.1823,10.539,7/13/19 14:00:00
7/13/2019,2:15:00 PM,0,0.1849,10.777,7/13/19 14:15:00
7/13/2019,2:30:00 PM,0,0.1851,10.734,7/13/19 14:30:00
7/13/2019,2:45:00 PM,0,0.1863,10.693,7/13/19 14:45:00
7/13/2019,3:00:00 PM,0,0.1869,10.845,7/13/19 15:00:00
7/13/2019,3:15:00 PM,0,0.1873,11.214,7/13/19 15:15:00
7/13/2019,3:30:00 PM,0,0.1838,11.391,7/13/19 15:30:00
7/13/2019,3:45:00 PM,0,0.1861,11.62,7/13/19 15:45:00
7/13/2019,4:00:00 PM,0,0.1869,11.641,7/13/19 16:00:00
7/13/2019,4:15:00 PM,0,0.1852,11.577,7/13/19 16:15:00
7/13/2019,4:30:00 PM,0,0.1833,11.435,7/13/19 16:30:00
7/13/2019,4:45:00 PM,0,0.1797,11.256,7/13/19 16:45:00
7/13/2019,5:00:00 PM,0,0.1756,10.997,7/13/19 17:00:00
7/13/2019,5:15:00 PM,0,0.1732,10.815,7/13/19 17:15:00
7/13/2019,5:30:00 PM,0,0.17,10.63,7/13/19 17:30:00
7/13/2019,5:45:00 PM,0,0.1666,10.4,7/13/19 17:45:00
7/13/2019,6:00:00 PM,0,0.1653,10.13,7/13/19 18:00:00
7/13/2019,6:15:00 PM,0,0.1655,9.918,7/13/19 18:15:00
7/13/2019,6:30:00 PM,0,0.1654,9.711,7/13/19 18:30:00
7/13/2019,6:45:00 PM,0,0.1652,9.528,7/13/19 18:45:00
7/13/2019,7:00:00 PM,0,0.164,9.403,7/13/19 19:00:00
7/13/2019,7:15:00 PM,0,0.1636,9.266,7/13/19 19:15:00
7/13/2019,7:30:00 PM,0,0.1632,9.134,7/13/19 19:30:00
7/13/2019,7:45:00 PM,0,0.1628,9.008,7/13/19 19:45:00
7/13/2019,8:00:00 PM,0,0.1618,8.881,7/13/19 20:00:00
