Date,Time,ms,LEVEL (Kpa),TEMPERATURE ©,Combine
7/12/2019,11:45:00 AM,0,-0.0179,9.38,7/12/19 11:45:00
7/12/2019,12:00:00 PM,0,-0.033,8.766,7/12/19 12:00:00
7/12/2019,12:15:00 PM,0,-0.035,8.624,7/12/19 12:15:00
7/12/2019,12:30:00 PM,0,-0.0153,9.033,7/12/19 12:30:00
7/12/2019,12:45:00 PM,0,1.6853,11.336,7/12/19 12:45:00
7/12/2019,1:00:00 PM,0,1.6891,12.025,7/12/19 13:00:00
7/12/2019,1:15:00 PM,0,1.7066,12.121,7/12/19 13:15:00
7/12/2019,1:30:00 PM,0,1.7149,12.122,7/12/19 13:30:00
7/12/2019,1:45:00 PM,0,1.729,12.436,7/12/19 13:45:00
7/12/2019,2:00:00 PM,0,1.722,12.687,7/12/19 14:00:00
7/12/2019,2:15:00 PM,0,1.7197,12.729,7/12/19 14:15:00
7/12/2019,2:30:00 PM,0,1.7229,12.804,7/12/19 14:30:00
7/12/2019,2:45:00 PM,0,1.7371,12.959,7/12/19 14:45:00
7/12/2019,3:00:00 PM,0,1.7196,13.331,7/12/19 15:00:00
7/12/2019,3:15:00 PM,0,1.7153,13.271,7/12/19 15:15:00
7/12/2019,3:30:00 PM,0,1.7286,13.323,7/12/19 15:30:00
7/12/2019,3:45:00 PM,0,1.7091,13.188,7/12/19 15:45:00
7/12/2019,4:00:00 PM,0,1.6851,13.014,7/12/19 16:00:00
7/12/2019,4:15:00 PM,0,1.6818,12.919,7/12/19 16:15:00
7/12/2019,4:30:00 PM,0,1.6702,12.739,7/12/19 16:30:00
7/12/2019,4:45:00 PM,0,1.6494,12.601,7/12/19 16:45:00
7/12/2019,5:00:00 PM,0,1.6249,12.334,7/12/19 17:00:00
7/12/2019,5:15:00 PM,0,1.6014,12.177,7/12/19 17:15:00
7/12/2019,5:30:00 PM,0,1.5657,11.996,7/12/19 17:30:00
7/12/2019,5:45:00 PM,0,1.54,11.704,7/12/19 17:45:00
7/12/2019,6:00:00 PM,0,1.5361,11.456,7/12/19 18:00:00
7/12/2019,6:15:00 PM,0,1.5315,11.231,7/12/19 18:15:00
7/12/2019,6:30:00 PM,0,1.5237,10.977,7/12/19 18:30:00
7/12/2019,6:45:00 PM,0,1.5435,10.752,7/12/19 18:45:00
7/12/2019,7:00:00 PM,0,1.5398,10.573,7/12/19 19:00:00
7/12/2019,7:15:00 PM,0,1.5304,10.375,7/12/19 19:15:00
7/12/2019,7:30:00 PM,0,1.5242,10.223,7/12/19 19:30:00
7/12/2019,7:45:00 PM,0,1.5225,10.066,7/12/19 19:45:00
7/12/2019,8:00:00 PM,0,1.5157,9.926,7/12/19 20:00:00
7/12/2019,8:15:00 PM,0,1.5178,9.8,7/12/19 20:15:00
7/12/2019,8:30:00 PM,0,1.5038,9.676,7/12/19 20:30:00
7/12/2019,8:45:00 PM,0,1.5021,9.567,7/12/19 20:45:00
7/12/2019,9:00:00 PM,0,1.5041,9.469,7/12/19 21:00:00
7/12/2019,9:15:00 PM,0,1.4923,9.337,7/12/19 21:15:00
7/12/2019,9:30:00 PM,0,1.4897,9.214,7/12/19 21:30:00
7/12/2019,9:45:00 PM,0,1.4891,9.122,7/12/19 21:45:00
7/12/2019,10:00:00 PM,0,1.4877,9.046,7/12/19 22:00:00
7/12/2019,10:15:00 PM,0,1.4846,8.96,7/12/19 22:15:00
7/12/2019,10:30:00 PM,0,1.475,8.856,7/12/19 22:30:00
7/12/2019,10:45:00 PM,0,1.476,8.793,7/12/19 22:45:00
7/12/2019,11:00:00 PM,0,1.476,8.727,7/12/19 23:00:00
7/12/2019,11:15:00 PM,0,1.4721,8.669,7/12/19 23:15:00
7/12/2019,11:30:00 PM,0,1.4744,8.607,7/12/19 23:30:00
7/12/2019,11:45:00 PM,0,1.4772,8.54,7/12/19 23:45:00
7/13/2019,12:00:00 AM,0,1.4828,8.491,7/13/19 00:00:00
7/13/2019,12:15:00 AM,0,1.4935,8.438,7/13/19 00:15:00
7/13/2019,12:30:00 AM,0,1.4987,8.38,7/13/19 00:30:00
7/13/2019,12:45:00 AM,0,1.4987,8.323,7/13/19 00:45:00
7/13/2019,1:00:00 AM,0,1.4974,8.277,7/13/19 01:00:00
7/13/2019,1:15:00 AM,0,1.4906,8.233,7/13/19 01:15:00
7/13/2019,1:30:00 AM,0,1.4952,8.173,7/13/19 01:30:00
7/13/2019,1:45:00 AM,0,1.4961,8.121,7/13/19 01:45:00
7/13/2019,2:00:00 AM,0,1.4904,8.066,7/13/19 02:00:00
7/13/2019,2:15:00 AM,0,1.4891,8.03,7/13/19 02:15:00
7/13/2019,2:30:00 AM,0,1.4799,7.978,7/13/19 02:30:00
7/13/2019,2:45:00 AM,0,1.4776,7.921,7/13/19 02:45:00
7/13/2019,3:00:00 AM,0,1.4795,7.863,7/13/19 03:00:00
7/13/2019,3:15:00 AM,0,1.4725,7.72,7/13/19 03:15:00
7/13/2019,3:30:00 AM,0,1.4746,7.678,7/13/19 03:30:00
7/13/2019,3:45:00 AM,0,1.4774,7.615,7/13/19 03:45:00
7/13/2019,4:00:00 AM,0,1.4803,7.563,7/13/19 04:00:00
7/13/2019,4:15:00 AM,0,1.4647,7.496,7/13/19 04:15:00
7/13/2019,4:30:00 AM,0,1.4686,7.46,7/13/19 04:30:00
7/13/2019,4:45:00 AM,0,1.4637,7.408,7/13/19 04:45:00
7/13/2019,5:00:00 AM,0,1.4687,7.347,7/13/19 05:00:00
7/13/2019,5:15:00 AM,0,1.4731,7.26,7/13/19 05:15:00
7/13/2019,5:30:00 AM,0,1.4705,7.167,7/13/19 05:30:00
7/13/2019,5:45:00 AM,0,1.4716,7.074,7/13/19 05:45:00
7/13/2019,6:00:00 AM,0,1.4772,6.992,7/13/19 06:00:00
7/13/2019,6:15:00 AM,0,1.4878,6.983,7/13/19 06:15:00
7/13/2019,6:30:00 AM,0,1.4865,6.972,7/13/19 06:30:00
7/13/2019,6:45:00 AM,0,1.4782,6.94,7/13/19 06:45:00
7/13/2019,7:00:00 AM,0,1.4878,6.898,7/13/19 07:00:00
7/13/2019,7:15:00 AM,0,1.4937,6.884,7/13/19 07:15:00
7/13/2019,7:30:00 AM,0,1.4996,6.869,7/13/19 07:30:00
7/13/2019,7:45:00 AM,0,1.5136,6.892,7/13/19 07:45:00
7/13/2019,8:00:00 AM,0,1.5167,6.92,7/13/19 08:00:00
7/13/2019,8:15:00 AM,0,1.5241,6.967,7/13/19 08:15:00
7/13/2019,8:30:00 AM,0,1.5304,7.016,7/13/19 08:30:00
7/13/2019,8:45:00 AM,0,1.5423,7.095,7/13/19 08:45:00
7/13/2019,9:00:00 AM,0,1.5593,7.202,7/13/19 09:00:00
7/13/2019,9:15:00 AM,0,1.5682,7.312,7/13/19 09:15:00
7/13/2019,9:30:00 AM,0,1.5781,7.409,7/13/19 09:30:00
7/13/2019,9:45:00 AM,0,1.597,7.56,7/13/19 09:45:00
7/13/2019,10:00:00 AM,0,1.6132,7.727,7/13/19 10:00:00
7/13/2019,10:15:00 AM,0,1.6189,7.781,7/13/19 10:15:00
7/13/2019,10:30:00 AM,0,1.6371,7.879,7/13/19 10:30:00
7/13/2019,10:45:00 AM,0,1.6627,8.001,7/13/19 10:45:00
7/13/2019,11:00:00 AM,0,1.7042,8.289,7/13/19 11:00:00
7/13/2019,11:15:00 AM,0,1.7461,8.629,7/13/19 11:15:00
7/13/2019,11:30:00 AM,0,1.7532,8.737,7/13/19 11:30:00
7/13/2019,11:45:00 AM,0,1.7626,8.79,7/13/19 11:45:00
7/13/2019,12:00:00 PM,0,1.7664,9.058,7/13/19 12:00:00
7/13/2019,12:15:00 PM,0,1.7786,9.303,7/13/19 12:15:00
7/13/2019,12:30:00 PM,0,1.7503,9.51,7/13/19 12:30:00
7/13/2019,12:45:00 PM,0,1.7922,9.744,7/13/19 12:45:00
7/13/2019,1:00:00 PM,0,1.8021,9.794,7/13/19 13:00:00
7/13/2019,1:15:00 PM,0,1.8095,10.028,7/13/19 13:15:00
7/13/2019,1:30:00 PM,0,1.8174,10.112,7/13/19 13:30:00
7/13/2019,1:45:00 PM,0,1.7796,10.317,7/13/19 13:45:00
7/13/2019,2:00:00 PM,0,1.8193,10.539,7/13/19 14:00:00
7/13/2019,2:15:00 PM,0,1.8476,10.777,7/13/19 14:15:00
7/13/2019,2:30:00 PM,0,1.8495,10.734,7/13/19 14:30:00
7/13/2019,2:45:00 PM,0,1.8604,10.693,7/13/19 14:45:00
7/13/2019,3:00:00 PM,0,1.8679,10.845,7/13/19 15:00:00
7/13/2019,3:15:00 PM,0,1.8753,11.214,7/13/19 15:15:00
7/13/2019,3:30:00 PM,0,1.843,11.391,7/13/19 15:30:00
7/13/2019,3:45:00 PM,0,1.8676,11.62,7/13/19 15:45:00
7/13/2019,4:00:00 PM,0,1.8757,11.641,7/13/19 16:00:00
7/13/2019,4:15:00 PM,0,1.8585,11.577,7/13/19 16:15:00
7/13/2019,4:30:00 PM,0,1.8385,11.435,7/13/19 16:30:00
7/13/2019,4:45:00 PM,0,1.8015,11.256,7/13/19 16:45:00
7/13/2019,5:00:00 PM,0,1.7588,10.997,7/13/19 17:00:00
7/13/2019,5:15:00 PM,0,1.7327,10.815,7/13/19 17:15:00
7/13/2019,5:30:00 PM,0,1.7001,10.63,7/13/19 17:30:00
7/13/2019,5:45:00 PM,0,1.6644,10.4,7/13/19 17:45:00
7/13/2019,6:00:00 PM,0,1.6492,10.13,7/13/19 18:00:00
7/13/2019,6:15:00 PM,0,1.6498,9.918,7/13/19 18:15:00
7/13/2019,6:30:00 PM,0,1.6466,9.711,7/13/19 18:30:00
7/13/2019,6:45:00 PM,0,1.6432,9.528,7/13/19 18:45:00
7/13/2019,7:00:00 PM,0,1.6305,9.403,7/13/19 19:00:00
7/13/2019,7:15:00 PM,0,1.6252,9.266,7/13/19 19:15:00
7/13/2019,7:30:00 PM,0,1.6208,9.134,7/13/19 19:30:00
7/13/2019,7:45:00 PM,0,1.6159,9.008,7/13/19 19:45:00
7/13/2019,8:00:00 PM,0,1.6053,8.881,7/13/19 20:00:00
7/13/2019,8:15:00 PM,0,1.6001,8.776,7/13/19 20:15:00
7/13/2019,8:30:00 PM,0,1.5935,8.688,7/13/19 20:30:00
7/13/2019,8:45:00 PM,0,1.5896,8.581,7/13/19 20:45:00
7/13/2019,9:00:00 PM,0,1.5901,8.496,7/13/19 21:00:00
7/13/2019,9:15:00 PM,0,1.5884,8.416,7/13/19 21:15:00
7/13/2019,9:30:00 PM,0,1.5859,8.337,7/13/19 21:30:00
7/13/2019,9:45:00 PM,0,1.5764,8.255,7/13/19 21:45:00
7/13/2019,10:00:00 PM,0,1.579,8.198,7/13/19 22:00:00
7/13/2019,10:15:00 PM,0,1.5713,8.128,7/13/19 22:15:00
7/13/2019,10:30:00 PM,0,1.5691,8.064,7/13/19 22:30:00
7/13/2019,10:45:00 PM,0,1.5606,7.99,7/13/19 22:45:00
7/13/2019,11:00:00 PM,0,1.5607,7.926,7/13/19 23:00:00
7/13/2019,11:15:00 PM,0,1.5584,7.879,7/13/19 23:15:00
7/13/2019,11:30:00 PM,0,1.5517,7.817,7/13/19 23:30:00
7/13/2019,11:45:00 PM,0,1.5563,7.713,7/13/19 23:45:00
7/14/2019,12:00:00 AM,0,1.5495,7.651,7/14/19 00:00:00
7/14/2019,12:15:00 AM,0,1.554,7.558,7/14/19 00:15:00
7/14/2019,12:30:00 AM,0,1.5573,7.483,7/14/19 00:30:00
7/14/2019,12:45:00 AM,0,1.5594,7.394,7/14/19 00:45:00
7/14/2019,1:00:00 AM,0,1.5612,7.287,7/14/19 01:00:00
7/14/2019,1:15:00 AM,0,1.5646,7.217,7/14/19 01:15:00
7/14/2019,1:30:00 AM,0,1.5651,7.142,7/14/19 01:30:00
7/14/2019,1:45:00 AM,0,1.5648,7.1,7/14/19 01:45:00
7/14/2019,2:00:00 AM,0,1.5629,7.052,7/14/19 02:00:00
7/14/2019,2:15:00 AM,0,1.5642,7.028,7/14/19 02:15:00
7/14/2019,2:30:00 AM,0,1.5666,6.991,7/14/19 02:30:00
7/14/2019,2:45:00 AM,0,1.5619,6.962,7/14/19 02:45:00
7/14/2019,3:00:00 AM,0,1.5624,6.925,7/14/19 03:00:00
7/14/2019,3:15:00 AM,0,1.5668,6.899,7/14/19 03:15:00
7/14/2019,3:30:00 AM,0,1.5635,6.853,7/14/19 03:30:00
7/14/2019,3:45:00 AM,0,1.575,6.799,7/14/19 03:45:00
7/14/2019,4:00:00 AM,0,1.5787,6.761,7/14/19 04:00:00
7/14/2019,4:15:00 AM,0,1.5921,6.703,7/14/19 04:15:00
7/14/2019,4:30:00 AM,0,1.6011,6.642,7/14/19 04:30:00
7/14/2019,4:45:00 AM,0,1.6108,6.591,7/14/19 04:45:00
7/14/2019,5:00:00 AM,0,1.6262,6.514,7/14/19 05:00:00
7/14/2019,5:15:00 AM,0,1.6304,6.46,7/14/19 05:15:00
7/14/2019,5:30:00 AM,0,1.6394,6.408,7/14/19 05:30:00
7/14/2019,5:45:00 AM,0,1.6479,6.357,7/14/19 05:45:00
7/14/2019,6:00:00 AM,0,1.6588,6.296,7/14/19 06:00:00
7/14/2019,6:15:00 AM,0,1.662,6.245,7/14/19 06:15:00
7/14/2019,6:30:00 AM,0,1.6726,6.18,7/14/19 06:30:00
7/14/2019,6:45:00 AM,0,1.6817,6.146,7/14/19 06:45:00
7/14/2019,7:00:00 AM,0,1.6911,6.117,7/14/19 07:00:00
7/14/2019,7:15:00 AM,0,1.6984,6.122,7/14/19 07:15:00
7/14/2019,7:30:00 AM,0,1.7016,6.144,7/14/19 07:30:00
7/14/2019,7:45:00 AM,0,1.7229,6.129,7/14/19 07:45:00
7/14/2019,8:00:00 AM,0,1.7529,6.059,7/14/19 08:00:00
7/14/2019,8:15:00 AM,0,1.7844,5.972,7/14/19 08:15:00
7/14/2019,8:30:00 AM,0,1.8018,6.005,7/14/19 08:30:00
7/14/2019,8:45:00 AM,0,1.8262,5.928,7/14/19 08:45:00
7/14/2019,9:00:00 AM,0,1.871,5.804,7/14/19 09:00:00
7/14/2019,9:15:00 AM,0,1.9058,5.638,7/14/19 09:15:00
7/14/2019,9:30:00 AM,0,1.9536,5.592,7/14/19 09:30:00
7/14/2019,9:45:00 AM,0,1.9974,5.763,7/14/19 09:45:00
7/14/2019,10:00:00 AM,0,2.0406,5.847,7/14/19 10:00:00
7/14/2019,10:15:00 AM,0,2.1521,5.778,7/14/19 10:15:00
7/14/2019,10:30:00 AM,0,2.2604,5.875,7/14/19 10:30:00
7/14/2019,10:45:00 AM,0,2.3606,6.081,7/14/19 10:45:00
7/14/2019,11:00:00 AM,0,2.5387,6.173,7/14/19 11:00:00
7/14/2019,11:15:00 AM,0,2.7726,6.265,7/14/19 11:15:00
7/14/2019,11:30:00 AM,0,3.0057,6.296,7/14/19 11:30:00
7/14/2019,11:45:00 AM,0,3.3044,6.233,7/14/19 11:45:00
7/14/2019,12:00:00 PM,0,3.5685,6.462,7/14/19 12:00:00
7/14/2019,12:15:00 PM,0,3.8883,6.603,7/14/19 12:15:00
7/14/2019,12:30:00 PM,0,4.2369,6.662,7/14/19 12:30:00
7/14/2019,12:45:00 PM,0,4.6507,6.744,7/14/19 12:45:00
7/14/2019,1:00:00 PM,0,4.9704,6.739,7/14/19 13:00:00
7/14/2019,1:15:00 PM,0,5.1958,6.67,7/14/19 13:15:00
7/14/2019,1:30:00 PM,0,5.3079,6.664,7/14/19 13:30:00
7/14/2019,1:45:00 PM,0,5.4347,6.641,7/14/19 13:45:00
7/14/2019,2:00:00 PM,0,5.5122,6.59,7/14/19 14:00:00
7/14/2019,2:15:00 PM,0,5.5619,6.527,7/14/19 14:15:00
7/14/2019,2:30:00 PM,0,5.5635,6.505,7/14/19 14:30:00
7/14/2019,2:45:00 PM,0,5.5316,6.495,7/14/19 14:45:00
7/14/2019,3:00:00 PM,0,5.475,6.557,7/14/19 15:00:00
7/14/2019,3:15:00 PM,0,5.383,6.588,7/14/19 15:15:00
7/14/2019,3:30:00 PM,0,5.2181,6.545,7/14/19 15:30:00
7/14/2019,3:45:00 PM,0,5.011,6.495,7/14/19 15:45:00
7/14/2019,4:00:00 PM,0,4.8005,6.455,7/14/19 16:00:00
7/14/2019,4:15:00 PM,0,4.5941,6.395,7/14/19 16:15:00
7/14/2019,4:30:00 PM,0,4.3764,6.347,7/14/19 16:30:00
7/14/2019,4:45:00 PM,0,4.1724,6.311,7/14/19 16:45:00
7/14/2019,5:00:00 PM,0,3.9959,6.265,7/14/19 17:00:00
7/14/2019,5:15:00 PM,0,3.8467,6.195,7/14/19 17:15:00
7/14/2019,5:30:00 PM,0,3.6688,6.126,7/14/19 17:30:00
7/14/2019,5:45:00 PM,0,3.58,6.047,7/14/19 17:45:00
7/14/2019,6:00:00 PM,0,3.5246,5.896,7/14/19 18:00:00
7/14/2019,6:15:00 PM,0,3.4389,5.808,7/14/19 18:15:00
7/14/2019,6:30:00 PM,0,3.3274,5.755,7/14/19 18:30:00
7/14/2019,6:45:00 PM,0,3.2562,5.665,7/14/19 18:45:00
7/14/2019,7:00:00 PM,0,3.1793,5.602,7/14/19 19:00:00
7/14/2019,7:15:00 PM,0,3.1332,5.539,7/14/19 19:15:00
7/14/2019,7:30:00 PM,0,3.0967,5.458,7/14/19 19:30:00
7/14/2019,7:45:00 PM,0,3.0547,5.402,7/14/19 19:45:00
7/14/2019,8:00:00 PM,0,3.0092,5.361,7/14/19 20:00:00
7/14/2019,8:15:00 PM,0,3.0168,5.309,7/14/19 20:15:00
7/14/2019,8:30:00 PM,0,2.985,5.275,7/14/19 20:30:00
7/14/2019,8:45:00 PM,0,2.9366,5.243,7/14/19 20:45:00
7/14/2019,9:00:00 PM,0,2.922,5.19,7/14/19 21:00:00
7/14/2019,9:15:00 PM,0,2.89,5.141,7/14/19 21:15:00
7/14/2019,9:30:00 PM,0,2.8822,5.095,7/14/19 21:30:00
7/14/2019,9:45:00 PM,0,2.8743,5.06,7/14/19 21:45:00
7/14/2019,10:00:00 PM,0,2.8683,5.008,7/14/19 22:00:00
7/14/2019,10:15:00 PM,0,2.8433,4.976,7/14/19 22:15:00
7/14/2019,10:30:00 PM,0,2.816,4.943,7/14/19 22:30:00
7/14/2019,10:45:00 PM,0,2.8152,4.879,7/14/19 22:45:00
7/14/2019,11:00:00 PM,0,2.8128,4.834,7/14/19 23:00:00
7/14/2019,11:15:00 PM,0,2.789,4.815,7/14/19 23:15:00
7/14/2019,11:30:00 PM,0,2.7738,4.784,7/14/19 23:30:00
7/14/2019,11:45:00 PM,0,2.7781,4.759,7/14/19 23:45:00
7/15/2019,12:00:00 AM,0,2.779,4.718,7/15/19 00:00:00
7/15/2019,12:15:00 AM,0,2.7662,4.687,7/15/19 00:15:00
7/15/2019,12:30:00 AM,0,2.7627,4.667,7/15/19 00:30:00
7/15/2019,12:45:00 AM,0,2.7732,4.613,7/15/19 00:45:00
7/15/2019,1:00:00 AM,0,2.771,4.529,7/15/19 01:00:00
7/15/2019,1:15:00 AM,0,2.7952,4.441,7/15/19 01:15:00
7/15/2019,1:30:00 AM,0,2.7829,4.434,7/15/19 01:30:00
7/15/2019,1:45:00 AM,0,2.7848,4.424,7/15/19 01:45:00
7/15/2019,2:00:00 AM,0,2.7757,4.411,7/15/19 02:00:00
7/15/2019,2:15:00 AM,0,2.7929,4.339,7/15/19 02:15:00
7/15/2019,2:30:00 AM,0,2.7944,4.332,7/15/19 02:30:00
7/15/2019,2:45:00 AM,0,2.8176,4.317,7/15/19 02:45:00
7/15/2019,3:00:00 AM,0,2.844,4.295,7/15/19 03:00:00
7/15/2019,3:15:00 AM,0,2.9194,4.198,7/15/19 03:15:00
7/15/2019,3:30:00 AM,0,2.9441,4.071,7/15/19 03:30:00
7/15/2019,3:45:00 AM,0,2.9365,4.086,7/15/19 03:45:00
7/15/2019,4:00:00 AM,0,2.9208,4.078,7/15/19 04:00:00
7/15/2019,4:15:00 AM,0,2.9531,4.064,7/15/19 04:15:00
7/15/2019,4:30:00 AM,0,2.9668,4.058,7/15/19 04:30:00
7/15/2019,4:45:00 AM,0,2.9893,4.058,7/15/19 04:45:00
7/15/2019,5:00:00 AM,0,3.037,4.012,7/15/19 05:00:00
7/15/2019,5:15:00 AM,0,3.0716,3.985,7/15/19 05:15:00
7/15/2019,5:30:00 AM,0,3.1313,3.926,7/15/19 05:30:00
7/15/2019,5:45:00 AM,0,3.1509,3.872,7/15/19 05:45:00
7/15/2019,6:00:00 AM,0,3.1663,3.823,7/15/19 06:00:00
7/15/2019,6:15:00 AM,0,3.1903,3.801,7/15/19 06:15:00
7/15/2019,6:30:00 AM,0,3.1954,3.795,7/15/19 06:30:00
7/15/2019,6:45:00 AM,0,3.2083,3.78,7/15/19 06:45:00
7/15/2019,7:00:00 AM,0,3.2193,3.819,7/15/19 07:00:00
7/15/2019,7:15:00 AM,0,3.2545,3.813,7/15/19 07:15:00
7/15/2019,7:30:00 AM,0,3.2727,3.846,7/15/19 07:30:00
7/15/2019,7:45:00 AM,0,3.2846,3.899,7/15/19 07:45:00
7/15/2019,8:00:00 AM,0,3.2642,3.926,7/15/19 08:00:00
7/15/2019,8:15:00 AM,0,3.2998,3.944,7/15/19 08:15:00
7/15/2019,8:30:00 AM,0,3.3081,4.026,7/15/19 08:30:00
7/15/2019,8:45:00 AM,0,3.3344,4.096,7/15/19 08:45:00
7/15/2019,9:00:00 AM,0,3.3221,4.261,7/15/19 09:00:00
7/15/2019,9:15:00 AM,0,3.3145,4.361,7/15/19 09:15:00
7/15/2019,9:30:00 AM,0,3.3105,4.443,7/15/19 09:30:00
7/15/2019,9:45:00 AM,0,3.343,4.442,7/15/19 09:45:00
7/15/2019,10:00:00 AM,0,3.3987,4.488,7/15/19 10:00:00
7/15/2019,10:15:00 AM,0,3.5313,4.466,7/15/19 10:15:00
7/15/2019,10:30:00 AM,0,3.5972,4.532,7/15/19 10:30:00
7/15/2019,10:45:00 AM,0,3.6691,4.531,7/15/19 10:45:00
7/15/2019,11:00:00 AM,0,3.722,4.693,7/15/19 11:00:00
7/15/2019,11:15:00 AM,0,3.8192,4.82,7/15/19 11:15:00
7/15/2019,11:30:00 AM,0,4.0263,4.934,7/15/19 11:30:00
7/15/2019,11:45:00 AM,0,4.11,5.015,7/15/19 11:45:00
7/15/2019,12:00:00 PM,0,4.2145,5.307,7/15/19 12:00:00
7/15/2019,12:15:00 PM,0,4.2794,5.628,7/15/19 12:15:00
7/15/2019,12:30:00 PM,0,4.2969,5.779,7/15/19 12:30:00
7/15/2019,12:45:00 PM,0,4.3051,5.733,7/15/19 12:45:00
7/15/2019,1:00:00 PM,0,4.3074,5.561,7/15/19 13:00:00
7/15/2019,1:15:00 PM,0,4.345,5.654,7/15/19 13:15:00
7/15/2019,1:30:00 PM,0,4.3368,5.783,7/15/19 13:30:00
7/15/2019,1:45:00 PM,0,4.2853,6.022,7/15/19 13:45:00
7/15/2019,2:00:00 PM,0,4.248,6.296,7/15/19 14:00:00
7/15/2019,2:15:00 PM,0,4.211,6.21,7/15/19 14:15:00
7/15/2019,2:30:00 PM,0,4.1237,6.395,7/15/19 14:30:00
7/15/2019,2:45:00 PM,0,4.0275,6.53,7/15/19 14:45:00
7/15/2019,3:00:00 PM,0,3.9654,6.666,7/15/19 15:00:00
7/15/2019,3:15:00 PM,0,3.8976,6.686,7/15/19 15:15:00
7/15/2019,3:30:00 PM,0,3.8713,6.687,7/15/19 15:30:00
7/15/2019,3:45:00 PM,0,3.715,6.852,7/15/19 15:45:00
7/15/2019,4:00:00 PM,0,3.6645,6.944,7/15/19 16:00:00
7/15/2019,4:15:00 PM,0,3.5887,6.97,7/15/19 16:15:00
7/15/2019,4:30:00 PM,0,3.5212,6.949,7/15/19 16:30:00
7/15/2019,4:45:00 PM,0,3.4482,7.018,7/15/19 16:45:00
7/15/2019,5:00:00 PM,0,3.338,7.134,7/15/19 17:00:00
7/15/2019,5:15:00 PM,0,3.2864,7.095,7/15/19 17:15:00
7/15/2019,5:30:00 PM,0,3.2133,6.975,7/15/19 17:30:00
7/15/2019,5:45:00 PM,0,3.15,6.83,7/15/19 17:45:00
7/15/2019,6:00:00 PM,0,3.1029,6.743,7/15/19 18:00:00
7/15/2019,6:15:00 PM,0,3.0456,6.604,7/15/19 18:15:00
7/15/2019,6:30:00 PM,0,2.9826,6.462,7/15/19 18:30:00
7/15/2019,6:45:00 PM,0,2.9358,6.293,7/15/19 18:45:00
7/15/2019,7:00:00 PM,0,2.8869,6.167,7/15/19 19:00:00
7/15/2019,7:15:00 PM,0,2.8595,6.088,7/15/19 19:15:00
7/15/2019,7:30:00 PM,0,2.824,5.984,7/15/19 19:30:00
7/15/2019,7:45:00 PM,0,2.7773,5.85,7/15/19 19:45:00
7/15/2019,8:00:00 PM,0,2.7475,5.771,7/15/19 20:00:00
7/15/2019,8:15:00 PM,0,2.7047,5.623,7/15/19 20:15:00
7/15/2019,8:30:00 PM,0,2.6877,5.448,7/15/19 20:30:00
7/15/2019,8:45:00 PM,0,2.6432,5.286,7/15/19 20:45:00
7/15/2019,9:00:00 PM,0,2.6275,5.144,7/15/19 21:00:00
7/15/2019,9:15:00 PM,0,2.6015,5.089,7/15/19 21:15:00
7/15/2019,9:30:00 PM,0,2.5753,4.984,7/15/19 21:30:00
7/15/2019,9:45:00 PM,0,2.543,4.829,7/15/19 21:45:00
7/15/2019,10:00:00 PM,0,2.5199,4.686,7/15/19 22:00:00
7/15/2019,10:15:00 PM,0,2.4945,4.539,7/15/19 22:15:00
7/15/2019,10:30:00 PM,0,2.4796,4.405,7/15/19 22:30:00
7/15/2019,10:45:00 PM,0,2.4591,4.322,7/15/19 22:45:00
7/15/2019,11:00:00 PM,0,2.4561,4.27,7/15/19 23:00:00
7/15/2019,11:15:00 PM,0,2.4384,4.238,7/15/19 23:15:00
