Date,Time,ms,LEVEL (kPa),TEMPERATURE,
7/12/2019,12:30:00 PM,0,1.8022,11.169,7/12/19 12:30:00
7/12/2019,12:45:00 PM,0,1.8629,11.537,7/12/19 12:45:00
7/12/2019,1:00:00 PM,0,1.9152,11.942,7/12/19 13:00:00
7/12/2019,1:15:00 PM,0,1.8805,12.033,7/12/19 13:15:00
7/12/2019,1:30:00 PM,0,1.9161,12.125,7/12/19 13:30:00
7/12/2019,1:45:00 PM,0,1.9337,12.197,7/12/19 13:45:00
7/12/2019,2:00:00 PM,0,1.9691,12.486,7/12/19 14:00:00
7/12/2019,2:15:00 PM,0,2.0009,12.7,7/12/19 14:15:00
7/12/2019,2:30:00 PM,0,1.9949,12.713,7/12/19 14:30:00
7/12/2019,2:45:00 PM,0,2.0158,12.776,7/12/19 14:45:00
7/12/2019,3:00:00 PM,0,2.012,12.966,7/12/19 15:00:00
7/12/2019,3:15:00 PM,0,1.9358,13.307,7/12/19 15:15:00
7/12/2019,3:30:00 PM,0,1.9164,13.2,7/12/19 15:30:00
7/12/2019,3:45:00 PM,0,1.9036,13.254,7/12/19 15:45:00
7/12/2019,4:00:00 PM,0,1.9143,13.09,7/12/19 16:00:00
7/12/2019,4:15:00 PM,0,1.8735,12.927,7/12/19 16:15:00
7/12/2019,4:30:00 PM,0,1.8493,12.821,7/12/19 16:30:00
7/12/2019,4:45:00 PM,0,1.8402,12.672,7/12/19 16:45:00
7/12/2019,5:00:00 PM,0,1.823,12.491,7/12/19 17:00:00
7/12/2019,5:15:00 PM,0,1.8113,12.253,7/12/19 17:15:00
7/12/2019,5:30:00 PM,0,1.7959,12.119,7/12/19 17:30:00
7/12/2019,5:45:00 PM,0,1.782,11.906,7/12/19 17:45:00
7/12/2019,6:00:00 PM,0,1.7312,11.642,7/12/19 18:00:00
7/12/2019,6:15:00 PM,0,1.6931,11.398,7/12/19 18:15:00
7/12/2019,6:30:00 PM,0,1.703,11.176,7/12/19 18:30:00
7/12/2019,6:45:00 PM,0,1.6892,10.927,7/12/19 18:45:00
7/12/2019,7:00:00 PM,0,1.679,10.725,7/12/19 19:00:00
7/12/2019,7:15:00 PM,0,1.6758,10.541,7/12/19 19:15:00
7/12/2019,7:30:00 PM,0,1.6785,10.354,7/12/19 19:30:00
7/12/2019,7:45:00 PM,0,1.6819,10.201,7/12/19 19:45:00
7/12/2019,8:00:00 PM,0,1.6614,10.051,7/12/19 20:00:00
7/12/2019,8:15:00 PM,0,1.6685,9.916,7/12/19 20:15:00
7/12/2019,8:30:00 PM,0,1.655,9.797,7/12/19 20:30:00
7/12/2019,8:45:00 PM,0,1.6545,9.672,7/12/19 20:45:00
7/12/2019,9:00:00 PM,0,1.6418,9.569,7/12/19 21:00:00
7/12/2019,9:15:00 PM,0,1.6405,9.455,7/12/19 21:15:00
7/12/2019,9:30:00 PM,0,1.6302,9.338,7/12/19 21:30:00
7/12/2019,9:45:00 PM,0,1.6041,9.218,7/12/19 21:45:00
7/12/2019,10:00:00 PM,0,1.6259,9.126,7/12/19 22:00:00
7/12/2019,10:15:00 PM,0,1.6189,9.053,7/12/19 22:15:00
7/12/2019,10:30:00 PM,0,1.6009,8.962,7/12/19 22:30:00
7/12/2019,10:45:00 PM,0,1.6155,8.872,7/12/19 22:45:00
7/12/2019,11:00:00 PM,0,1.6035,8.815,7/12/19 23:00:00
7/12/2019,11:15:00 PM,0,1.5913,8.752,7/12/19 23:15:00
7/12/2019,11:30:00 PM,0,1.6155,8.688,7/12/19 23:30:00
7/12/2019,11:45:00 PM,0,1.6064,8.625,7/12/19 23:45:00
7/13/2019,12:00:00 AM,0,1.6189,8.564,7/13/19 00:00:00
7/13/2019,12:15:00 AM,0,1.6194,8.524,7/13/19 00:15:00
7/13/2019,12:30:00 AM,0,1.6396,8.463,7/13/19 00:30:00
7/13/2019,12:45:00 AM,0,1.6278,8.41,7/13/19 00:45:00
7/13/2019,1:00:00 AM,0,1.6479,8.357,7/13/19 01:00:00
7/13/2019,1:15:00 AM,0,1.6372,8.307,7/13/19 01:15:00
7/13/2019,1:30:00 AM,0,1.6409,8.255,7/13/19 01:30:00
7/13/2019,1:45:00 AM,0,1.6456,8.196,7/13/19 01:45:00
7/13/2019,2:00:00 AM,0,1.638,8.148,7/13/19 02:00:00
7/13/2019,2:15:00 AM,0,1.6262,8.096,7/13/19 02:15:00
7/13/2019,2:30:00 AM,0,1.6084,8.057,7/13/19 02:30:00
7/13/2019,2:45:00 AM,0,1.6183,8.004,7/13/19 02:45:00
7/13/2019,3:00:00 AM,0,1.6291,7.951,7/13/19 03:00:00
7/13/2019,3:15:00 AM,0,1.6669,7.87,7/13/19 03:15:00
7/13/2019,3:30:00 AM,0,1.6518,7.752,7/13/19 03:30:00
7/13/2019,3:45:00 AM,0,1.6532,7.704,7/13/19 03:45:00
7/13/2019,4:00:00 AM,0,1.6446,7.649,7/13/19 04:00:00
7/13/2019,4:15:00 AM,0,1.6571,7.591,7/13/19 04:15:00
7/13/2019,4:30:00 AM,0,1.6435,7.54,7/13/19 04:30:00
7/13/2019,4:45:00 AM,0,1.6457,7.493,7/13/19 04:45:00
7/13/2019,5:00:00 AM,0,1.6968,7.438,7/13/19 05:00:00
7/13/2019,5:15:00 AM,0,1.7083,7.376,7/13/19 05:15:00
7/13/2019,5:30:00 AM,0,1.6938,7.28,7/13/19 05:30:00
7/13/2019,5:45:00 AM,0,1.7068,7.183,7/13/19 05:45:00
7/13/2019,6:00:00 AM,0,1.7189,7.079,7/13/19 06:00:00
7/13/2019,6:15:00 AM,0,1.7227,7.048,7/13/19 06:15:00
7/13/2019,6:30:00 AM,0,1.746,7.038,7/13/19 06:30:00
7/13/2019,6:45:00 AM,0,1.7128,7.018,7/13/19 06:45:00
7/13/2019,7:00:00 AM,0,1.7531,6.987,7/13/19 07:00:00
7/13/2019,7:15:00 AM,0,1.783,6.953,7/13/19 07:15:00
7/13/2019,7:30:00 AM,0,1.7745,6.94,7/13/19 07:30:00
7/13/2019,7:45:00 AM,0,1.7666,6.933,7/13/19 07:45:00
7/13/2019,8:00:00 AM,0,1.7568,6.969,7/13/19 08:00:00
7/13/2019,8:15:00 AM,0,1.7884,6.993,7/13/19 08:15:00
7/13/2019,8:30:00 AM,0,1.8197,7.045,7/13/19 08:30:00
7/13/2019,8:45:00 AM,0,1.814,7.096,7/13/19 08:45:00
7/13/2019,9:00:00 AM,0,1.7972,7.193,7/13/19 09:00:00
7/13/2019,9:15:00 AM,0,1.8239,7.307,7/13/19 09:15:00
7/13/2019,9:30:00 AM,0,1.783,7.396,7/13/19 09:30:00
7/13/2019,9:45:00 AM,0,1.8459,7.524,7/13/19 09:45:00
7/13/2019,10:00:00 AM,0,1.809,7.685,7/13/19 10:00:00
7/13/2019,10:15:00 AM,0,1.8678,7.811,7/13/19 10:15:00
7/13/2019,10:30:00 AM,0,1.8631,7.88,7/13/19 10:30:00
7/13/2019,10:45:00 AM,0,1.8759,7.981,7/13/19 10:45:00
7/13/2019,11:00:00 AM,0,1.8576,8.159,7/13/19 11:00:00
7/13/2019,11:15:00 AM,0,1.8191,8.536,7/13/19 11:15:00
