Date,Time,ms,LEVEL_m,TEMP_c
7/17/2019,13:00:00,0,0.0265,23.492
7/17/2019,13:15:00,0,0.0115,22.943
7/17/2019,13:30:00,0,0.015,20.663
7/17/2019,13:45:00,0,0.0284,18.766
7/17/2019,14:00:00,0,0.0155,17.037
7/17/2019,14:15:00,0,0.0149,16.085
7/17/2019,14:30:00,0,0.0013,15.462
7/17/2019,14:45:00,0,-0.0901,14.662
7/17/2019,15:00:00,0,-0.0765,12.012
7/17/2019,15:15:00,0,-0.0818,10.79
7/17/2019,15:30:00,0,0.0999,6.672
7/17/2019,15:45:00,0,0.1682,6.287
7/17/2019,16:00:00,0,0.1669,6.319
7/17/2019,16:15:00,0,0.1686,6.362
7/17/2019,16:30:00,0,0.1678,6.305
7/17/2019,16:45:00,0,0.1652,6.212
7/17/2019,17:00:00,0,0.1628,6.132
7/17/2019,17:15:00,0,0.1616,6.01
7/17/2019,17:30:00,0,0.1604,5.885
7/17/2019,17:45:00,0,0.1581,5.769
7/17/2019,18:00:00,0,0.1581,5.641
7/17/2019,18:15:00,0,0.1566,5.526
7/17/2019,18:30:00,0,0.1557,5.399
7/17/2019,18:45:00,0,0.1556,5.273
7/17/2019,19:00:00,0,0.153,5.146
7/17/2019,19:15:00,0,0.1522,5.02
7/17/2019,19:30:00,0,0.1513,4.905
7/17/2019,19:45:00,0,0.1504,4.825
7/17/2019,20:00:00,0,0.1499,4.758
7/17/2019,20:15:00,0,0.1487,4.696
7/17/2019,20:30:00,0,0.1486,4.639
7/17/2019,20:45:00,0,0.1481,4.588
7/17/2019,21:00:00,0,0.1476,4.545
7/17/2019,21:15:00,0,0.1478,4.516
7/17/2019,21:30:00,0,0.1475,4.483
7/17/2019,21:45:00,0,0.1458,4.445
7/17/2019,22:00:00,0,0.1457,4.416
7/17/2019,22:15:00,0,0.1446,4.4
7/17/2019,22:30:00,0,0.1455,4.391
7/17/2019,22:45:00,0,0.1446,4.381
7/17/2019,23:00:00,0,0.1457,4.362
7/17/2019,23:15:00,0,0.1467,4.347
7/17/2019,23:30:00,0,0.1471,4.336
7/17/2019,23:45:00,0,0.1479,4.315
7/18/2019,0:00:00,0,0.1476,4.294
7/18/2019,0:15:00,0,0.1479,4.272
7/18/2019,0:30:00,0,0.1483,4.249
7/18/2019,0:45:00,0,0.1482,4.228
7/18/2019,1:00:00,0,0.1477,4.195
7/18/2019,1:15:00,0,0.1478,4.164
7/18/2019,1:30:00,0,0.147,4.135
7/18/2019,1:45:00,0,0.1484,4.111
7/18/2019,2:00:00,0,0.1476,4.09
7/18/2019,2:15:00,0,0.1478,4.065
7/18/2019,2:30:00,0,0.1459,4.047
7/18/2019,2:45:00,0,0.1464,4.034
7/18/2019,3:00:00,0,0.1469,4.023
7/18/2019,3:15:00,0,0.1468,4.013
7/18/2019,3:30:00,0,0.1465,4.004
7/18/2019,3:45:00,0,0.1449,4.005
7/18/2019,4:00:00,0,0.1448,3.996
7/18/2019,4:15:00,0,0.1429,3.992
7/18/2019,4:30:00,0,0.142,3.98
7/18/2019,4:45:00,0,0.1417,3.972
7/18/2019,5:00:00,0,0.1418,3.981
7/18/2019,5:15:00,0,0.1411,3.992
7/18/2019,5:30:00,0,0.1399,3.996
7/18/2019,5:45:00,0,0.1393,3.994
7/18/2019,6:00:00,0,0.1392,3.996
7/18/2019,6:15:00,0,0.139,3.993
7/18/2019,6:30:00,0,0.1374,3.985
7/18/2019,6:45:00,0,0.1391,3.981
7/18/2019,7:00:00,0,0.1381,3.978
7/18/2019,7:15:00,0,0.1381,3.984
7/18/2019,7:30:00,0,0.1394,3.995
7/18/2019,7:45:00,0,0.138,3.997
7/18/2019,8:00:00,0,0.1375,4.012
7/18/2019,8:15:00,0,0.1397,4.038
7/18/2019,8:30:00,0,0.1411,4.061
7/18/2019,8:45:00,0,0.1406,4.103
7/18/2019,9:00:00,0,0.1415,4.229
7/18/2019,9:15:00,0,0.1397,4.359
7/18/2019,9:30:00,0,0.1422,4.465
7/18/2019,9:45:00,0,0.144,4.665
7/18/2019,10:00:00,0,0.1439,4.848
7/18/2019,10:15:00,0,0.1444,5.047
7/18/2019,10:30:00,0,0.146,5.224
7/18/2019,10:45:00,0,0.1461,5.391
7/18/2019,11:00:00,0,0.1459,5.596
7/18/2019,11:15:00,0,0.1455,5.77
7/18/2019,11:30:00,0,0.1471,5.922
7/18/2019,11:45:00,0,0.1471,6.024
7/18/2019,12:00:00,0,0.1464,6.087
7/18/2019,12:15:00,0,0.1486,6.194
7/18/2019,12:30:00,0,0.1482,6.358
7/18/2019,12:45:00,0,0.1489,6.509
7/18/2019,13:00:00,0,0.1497,6.645
7/18/2019,13:15:00,0,0.1506,6.738
7/18/2019,13:30:00,0,0.1492,6.856
7/18/2019,13:45:00,0,0.1501,6.949
7/18/2019,14:00:00,0,0.1489,6.878
7/18/2019,14:15:00,0,0.1479,6.776
7/18/2019,14:30:00,0,0.1488,6.841
7/18/2019,14:45:00,0,0.1472,6.806
7/18/2019,15:00:00,0,0.1469,6.748
7/18/2019,15:15:00,0,0.1473,6.779
7/18/2019,15:30:00,0,0.1472,6.759
7/18/2019,15:45:00,0,0.148,6.75
7/18/2019,16:00:00,0,0.1466,6.721
7/18/2019,16:15:00,0,0.1448,6.66
7/18/2019,16:30:00,0,0.1429,6.56
7/18/2019,16:45:00,0,0.1403,6.441
7/18/2019,17:00:00,0,0.1372,6.312
7/18/2019,17:15:00,0,0.135,6.144
7/18/2019,17:30:00,0,0.1345,5.962
7/18/2019,17:45:00,0,0.1371,5.794
7/18/2019,18:00:00,0,0.1354,5.621
7/18/2019,18:15:00,0,0.1345,5.473
7/18/2019,18:30:00,0,0.1334,5.353
7/18/2019,18:45:00,0,0.1331,5.25
7/18/2019,19:00:00,0,0.1324,5.159
7/18/2019,19:15:00,0,0.1309,5.063
7/18/2019,19:30:00,0,0.131,4.995
7/18/2019,19:45:00,0,0.1303,4.943
7/18/2019,20:00:00,0,0.1311,4.895
7/18/2019,20:15:00,0,0.1303,4.85
7/18/2019,20:30:00,0,0.1304,4.816
7/18/2019,20:45:00,0,0.1303,4.782
7/18/2019,21:00:00,0,0.13,4.763
7/18/2019,21:15:00,0,0.1307,4.732
7/18/2019,21:30:00,0,0.1303,4.699
7/18/2019,21:45:00,0,0.1297,4.662
7/18/2019,22:00:00,0,0.131,4.614
7/18/2019,22:15:00,0,0.1313,4.581
7/18/2019,22:30:00,0,0.133,4.555
7/18/2019,22:45:00,0,0.1315,4.523
7/18/2019,23:00:00,0,0.1314,4.49
7/18/2019,23:15:00,0,0.1303,4.448
7/18/2019,23:30:00,0,0.1315,4.396
7/18/2019,23:45:00,0,0.1315,4.356
7/19/2019,0:00:00,0,0.1322,4.329
7/19/2019,0:15:00,0,0.1325,4.314
7/19/2019,0:30:00,0,0.1303,4.305
7/19/2019,0:45:00,0,0.131,4.295
7/19/2019,1:00:00,0,0.1318,4.286
7/19/2019,1:15:00,0,0.1309,4.285
7/19/2019,1:30:00,0,0.1311,4.299
7/19/2019,1:45:00,0,0.1312,4.295
7/19/2019,2:00:00,0,0.1299,4.277
7/19/2019,2:15:00,0,0.1306,4.252
7/19/2019,2:30:00,0,0.1292,4.226
7/19/2019,2:45:00,0,0.1288,4.207
7/19/2019,3:00:00,0,0.1284,4.197
7/19/2019,3:15:00,0,0.1273,4.196
7/19/2019,3:30:00,0,0.1277,4.175
7/19/2019,3:45:00,0,0.1277,4.157
7/19/2019,4:00:00,0,0.1279,4.133
7/19/2019,4:15:00,0,0.1267,4.077
7/19/2019,4:30:00,0,0.1258,3.996
7/19/2019,4:45:00,0,0.1245,3.893
7/19/2019,5:00:00,0,0.1241,3.782
7/19/2019,5:15:00,0,0.1249,3.685
7/19/2019,5:30:00,0,0.1266,3.593
7/19/2019,5:45:00,0,0.1259,3.483
7/19/2019,6:00:00,0,0.1251,3.438
7/19/2019,6:15:00,0,0.1246,3.416
7/19/2019,6:30:00,0,0.1249,3.399
7/19/2019,6:45:00,0,0.1242,3.417
7/19/2019,7:00:00,0,0.1225,3.465
7/19/2019,7:15:00,0,0.124,3.527
7/19/2019,7:30:00,0,0.1218,3.565
7/19/2019,7:45:00,0,0.1228,3.582
7/19/2019,8:00:00,0,0.1235,3.637
7/19/2019,8:15:00,0,0.1242,3.716
7/19/2019,8:30:00,0,0.1253,3.772
7/19/2019,8:45:00,0,0.1255,3.832
7/19/2019,9:00:00,0,0.1246,3.909
7/19/2019,9:15:00,0,0.1242,4.021
7/19/2019,9:30:00,0,0.1255,4.147
7/19/2019,9:45:00,0,0.126,4.32
7/19/2019,10:00:00,0,0.1267,4.533
7/19/2019,10:15:00,0,0.1269,4.689
7/19/2019,10:30:00,0,0.128,4.848
7/19/2019,10:45:00,0,0.1278,5.008
7/19/2019,11:00:00,0,0.1258,5.168
7/19/2019,11:15:00,0,0.1272,5.359
7/19/2019,11:30:00,0,0.1271,5.454
7/19/2019,11:45:00,0,0.1256,5.482
7/19/2019,12:00:00,0,0.1262,5.506
7/19/2019,12:15:00,0,0.1278,5.659
7/19/2019,12:30:00,0,0.1274,5.76
7/19/2019,12:45:00,0,0.1288,5.794
7/19/2019,13:00:00,0,0.1293,5.985
7/19/2019,13:15:00,0,0.13,6.183
7/19/2019,13:30:00,0,0.1313,6.341
7/19/2019,13:45:00,0,0.133,6.476
7/19/2019,14:00:00,0,0.1339,6.51
7/19/2019,14:15:00,0,0.1365,6.633
7/19/2019,14:30:00,0,0.1374,6.725
7/19/2019,14:45:00,0,0.1369,6.635
7/19/2019,15:00:00,0,0.136,6.55
7/19/2019,15:15:00,0,0.1364,6.491
7/19/2019,15:30:00,0,0.1357,6.421
7/19/2019,15:45:00,0,0.182,6.046
7/19/2019,16:00:00,0,0.1852,5.948
7/19/2019,16:15:00,0,0.1834,5.867
7/19/2019,16:30:00,0,0.1822,5.796
7/19/2019,16:45:00,0,0.1802,5.73
7/19/2019,17:00:00,0,0.1799,5.66
7/19/2019,17:15:00,0,0.1807,5.591
7/19/2019,17:30:00,0,0.1813,5.523
7/19/2019,17:45:00,0,0.1808,5.455
7/19/2019,18:00:00,0,0.1788,5.389
7/19/2019,18:15:00,0,0.179,5.326
7/19/2019,18:30:00,0,0.1785,5.262
7/19/2019,18:45:00,0,0.178,5.201
7/19/2019,19:00:00,0,0.1777,5.144
7/19/2019,19:15:00,0,0.1762,5.092
7/19/2019,19:30:00,0,0.1771,5.043
7/19/2019,19:45:00,0,0.1765,5.001
7/19/2019,20:00:00,0,0.1755,4.963
7/19/2019,20:15:00,0,0.1774,4.93
7/19/2019,20:30:00,0,0.1768,4.902
7/19/2019,20:45:00,0,0.1769,4.875
7/19/2019,21:00:00,0,0.1783,4.848
7/19/2019,21:15:00,0,0.1771,4.823
7/19/2019,21:30:00,0,0.1752,4.8
7/19/2019,21:45:00,0,0.1764,4.779
7/19/2019,22:00:00,0,0.175,4.76
7/19/2019,22:15:00,0,0.1756,4.742
7/19/2019,22:30:00,0,0.175,4.728
7/19/2019,22:45:00,0,0.1756,4.716
7/19/2019,23:00:00,0,0.1767,4.705
7/19/2019,23:15:00,0,0.1782,4.695
7/19/2019,23:30:00,0,0.1815,4.682
7/19/2019,23:45:00,0,0.1851,4.669
7/20/2019,0:00:00,0,0.1858,4.653
7/20/2019,0:15:00,0,0.1875,4.636
7/20/2019,0:30:00,0,0.1898,4.62
7/20/2019,0:45:00,0,0.1909,4.604
7/20/2019,1:00:00,0,0.1915,4.588
7/20/2019,1:15:00,0,0.1919,4.576
7/20/2019,1:30:00,0,0.1933,4.565
7/20/2019,1:45:00,0,0.1971,4.556
7/20/2019,2:00:00,0,0.1953,4.549
7/20/2019,2:15:00,0,0.197,4.54
7/20/2019,2:30:00,0,0.1985,4.531
7/20/2019,2:45:00,0,0.1997,4.522
7/20/2019,3:00:00,0,0.1998,4.513
7/20/2019,3:15:00,0,0.2024,4.501
7/20/2019,3:30:00,0,0.2021,4.49
7/20/2019,3:45:00,0,0.2054,4.478
7/20/2019,4:00:00,0,0.206,4.466
7/20/2019,4:15:00,0,0.2075,4.451
7/20/2019,4:30:00,0,0.2082,4.436
7/20/2019,4:45:00,0,0.2099,4.422
7/20/2019,5:00:00,0,0.2108,4.406
7/20/2019,5:15:00,0,0.2123,4.391
7/20/2019,5:30:00,0,0.2175,4.375
7/20/2019,5:45:00,0,0.2209,4.358
7/20/2019,6:00:00,0,0.2288,4.336
7/20/2019,6:15:00,0,0.2346,4.316
7/20/2019,6:30:00,0,0.2453,4.293
7/20/2019,6:45:00,0,0.2529,4.267
7/20/2019,7:00:00,0,0.2571,4.248
7/20/2019,7:15:00,0,0.2605,4.233
7/20/2019,7:30:00,0,0.261,4.224
7/20/2019,7:45:00,0,0.2614,4.218
7/20/2019,8:00:00,0,0.2589,4.22
7/20/2019,8:15:00,0,0.2579,4.224
7/20/2019,8:30:00,0,0.2575,4.235
7/20/2019,8:45:00,0,0.2557,4.253
7/20/2019,9:00:00,0,0.2551,4.279
7/20/2019,9:15:00,0,0.2531,4.307
7/20/2019,9:30:00,0,0.2527,4.339
7/20/2019,9:45:00,0,0.2525,4.375
7/20/2019,10:00:00,0,0.2523,4.412
7/20/2019,10:15:00,0,0.2533,4.448
7/20/2019,10:30:00,0,0.2534,4.487
7/20/2019,10:45:00,0,0.2526,4.528
7/20/2019,11:00:00,0,0.2546,4.57
7/20/2019,11:15:00,0,0.2586,4.617
7/20/2019,11:30:00,0,0.2558,4.672
7/20/2019,11:45:00,0,0.2562,4.731
7/20/2019,12:00:00,0,0.2598,4.791
7/20/2019,12:15:00,0,0.2641,4.855
7/20/2019,12:30:00,0,0.2726,4.915
7/20/2019,12:45:00,0,0.2731,4.97
7/20/2019,13:00:00,0,0.2784,5.021
7/20/2019,13:15:00,0,0.2799,5.064
7/20/2019,13:30:00,0,0.2798,5.105
7/20/2019,13:45:00,0,0.2795,5.147
7/20/2019,14:00:00,0,0.2798,5.186
7/20/2019,14:15:00,0,0.2794,5.223
7/20/2019,14:30:00,0,0.2795,5.263
7/20/2019,14:45:00,0,0.2781,5.299
7/20/2019,15:00:00,0,0.2777,5.328
7/20/2019,15:15:00,0,0.278,5.348
7/20/2019,15:30:00,0,0.2766,5.369
7/20/2019,15:45:00,0,0.2759,5.381
7/20/2019,16:00:00,0,0.2751,5.385
7/20/2019,16:15:00,0,0.2748,5.381
7/20/2019,16:30:00,0,0.2731,5.367
7/20/2019,16:45:00,0,0.2736,5.348
7/20/2019,17:00:00,0,0.2724,5.327
7/20/2019,17:15:00,0,0.2709,5.302
7/20/2019,17:30:00,0,0.272,5.277
7/20/2019,17:45:00,0,0.2705,5.252
7/20/2019,18:00:00,0,0.2688,5.226
7/20/2019,18:15:00,0,0.2694,5.198
7/20/2019,18:30:00,0,0.2688,5.166
7/20/2019,18:45:00,0,0.2677,5.128
7/20/2019,19:00:00,0,0.2671,5.087
