Site,Location,Rep,Date_collected,Time_collected,Watertemp_c,AirPress_Field_kPa,CH4_umol_L-1,CH4_%sat,CH4_Gcoutput
Colmillo,0m,A,7/26/22,10:30,7.054,64.56,1.144079522,46937.71136,48.2659
Colmillo,0m,A,7/26/22,10:30,7.054,64.56,0.854059288,35039.16255,36.0415
Colmillo,50m,A,7/26/22,10:30,7.054,64.56,0.878386829,36037.23924,36.7555
Colmillo,50m ,A,7/26/22,10:30,7.054,64.56,0.897893042,36837.51316,37.8343
Gavi-main,0m,C,6/6/22,12:30,11.87649,64.43,3.592822348,162680.2971,153.7015
Gavi-main,0m ,C,6/6/22,12:30,11.87649,64.43,3.699918732,167529.5409,158.2831
Gavi-main,100m,C,6/6/22,12:30,11.87649,64.43,0.193271853,8751.204329,8.2682
Gavi-main,100m,C,6/6/22,12:30,11.87649,64.43,0.248729362,11262.27867,4.285
Gavi-main,50m ,C,6/6/22,12:30,11.87649,64.43,0.958582296,43403.88628,41.0083
Gavi-main,50m ,C,6/6/22,12:30,11.87649,64.43,0.971990381,44010.99433,41.5819
Gavi-main,0m,C,7/1/22,9:30,8.125815,64.48,1.017942604,42734.3565,43.6447
Gavi-main,0m,B,7/1/22,9:30,8.125815,64.48,1.028384683,43172.72652,43.6075
Gavi-main,50m,C,7/1/22,9:30,8.125815,64.48,1.117488829,46913.41711,47.6923
Gavi-main,50m,A,7/1/22,9:30,8.125815,64.48,1.033053418,43368.72518,43.7263
Gavi-main,0m,A,7/6/22,9:30,6.396,62.77,0.818633033,34082.32261,34.7539
Gavi-main,0m,B,7/6/22,9:30,6.396,62.77,0.859325537,35776.48223,36.4327
Gavi-main,50m,B,7/6/22,9:30,6.396,62.77,0.51424841,21409.81306,21.4807
Gavi-main,50m,B,7/6/22,9:30,6.396,62.77,0.555907506,23144.21502,23.3335
Gavi-trib,0m,B,6/20/22,11:30,7.005,63.1,0.516458219,21657.15052,21.7651
Gavi-trib,0m,B,6/20/22,11:30,7.005,63.1,0.587303088,24627.95813,24.8215
Gavi-trib,15m,A,6/20/22,11:30,7.005,63.1,0.540898938,22682.04725,22.9939
Gavi-trib,15m,B,6/20/22,11:30,7.005,63.1,0.604415486,25345.54913,25.5907
Gavi-trib,30m,A,6/20/22,11:30,7.005,63.1,0.393505303,16501.24495,16.6783
Gavi-trib,30m,A,6/20/22,11:30,7.005,63.1,0.425234671,17831.78374,17.9827
Gavi-trib,0m,B,7/15/22,10:00,7.33,63.28,0.882378722,37141.38047,37.0159
Gavi-trib,0m,B,7/15/22,10:00,7.33,63.28,0.89668931,37743.74655,37.4275
Gavi-trib,50m,B,7/15/22,10:00,7.33,63.28,0.631944676,26600.02678,26.5987
Gavi-trib,50m ,B,7/15/22,10:00,7.33,63.28,0.575359325,24218.21728,24.0667
Gavi-trib,0m,A,7/21/22,9:30,4.836,62.4,0.694061296,28148.54653,29.0599
