"","DateTime","Site","Watertemp_c","pCH4_ppm","CH4_umol.L","Site2","DO_mgL","DOTemp_c","Station.x","AirPres_kpa","AirTemp_c","WLPres_kpa","WLTemp_c","Station.y","Total_kpa","WL_m","Q_m3s"
"1",2022-07-06 12:30:00,"Gavilan Center",6.0454,147.838992195268,0.301822592,"Center",6.89,6.76,"inj_0m",62.3439,5.396,64.864,6.775,"Stn02",64.864,0.256979637,0.067777814
"2",2022-07-06 12:30:00,"Gavilan Center",6.0454,147.838992195268,0.301822592,"Center",6.92,6.78,"inj_0m",62.3439,5.396,64.864,6.775,"Stn02",64.864,0.256979637,0.067777814
"3",2022-07-06 12:30:00,"Gavilan Center",6.0454,147.838992195268,0.301822592,"Center",6.93,6.82,"inj_0m",62.3439,5.396,64.864,6.775,"Stn02",64.864,0.256979637,0.067777814
"4",2022-07-22 09:30:00,"Gavilan Center",6.1658,163.770401533088,0.333522659,"Center",5.83,5.58,"Stn02",62.4654,5.821,63.934,5.757,"Stn02",63.934,0.149756079,0.017530999
"5",2022-07-27 09:30:00,"Gavilan Center",7.2852,219.740208982349,0.437390335,"Center",5.42,6.68,"Stn02",62.5439,6.451,64.405,6.775,"Stn02",64.405,0.189780089,0.032055402
"6",2022-10-16 12:45:00,"Gavilan Center",7.589333,119.779189543325,0.23695,"Center",NA,NA,NA,62.4354,6.824,63.181,9.472,"Stn02",63.181,0.090316593,0.005262313
"7",2022-11-29 12:30:00,"Gavilan Edges",7.304,417.092340915825,0.8299,"waypt11",NA,NA,NA,62.2956,6.737,63.015,10.063,"Stn02",63.015,0.087644927,0.004971938
"8",2022-11-29 12:30:00,"Gavilan Edges",7.304,429.355328165308,0.8543,"waypt11",NA,NA,NA,62.2956,6.737,63.015,10.063,"Stn02",63.015,0.087644927,0.004971938
"9",2022-11-30 09:45:00,"Gavilan Edges",7.538,4883.83902755158,9.6714,"waypt12",NA,NA,NA,62.3872,6.724,62.995,8.282,"Stn02",62.995,0.076264852,0.003986659
"10",2022-11-30 09:45:00,"Gavilan Edges",7.538,4140.91618521915,8.2002,"waypt12",NA,NA,NA,62.3872,6.724,62.995,8.282,"Stn02",62.995,0.076264852,0.003986659
"11",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,1978.74453460161,3.592822348,"0m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"12",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,2037.72779733754,3.699918732,"0m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"13",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,106.444345356782,0.193271853,"100m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"14",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,136.987531801126,0.248729362,"100m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"15",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,527.93856624493,0.958582296,"50m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"16",2022-06-06 12:30:00,"Gavilan Outlet",11.87649,535.323060200774,0.971990381,"50m",4.89,11.8,"Stn02",62.4269,7.268,63.751,12.013,"Stn02",63.751,0.135021125,0.013453248
"17",2022-07-01 09:30:00,"Gavilan Outlet",8.125815,520.198190905682,1.017942604,"0m",6.66,13.26,"inj_n10",62.4571,6.542,63.703,7.782,"Stn02",63.703,0.127046915,0.011531371
"18",2022-07-01 09:30:00,"Gavilan Outlet",8.125815,525.534396094216,1.028384683,"0m",6.66,13.26,"inj_n10",62.4571,6.542,63.703,7.782,"Stn02",63.703,0.127046915,0.011531371
"19",2022-07-01 09:30:00,"Gavilan Outlet",8.125815,571.069198713987,1.117488829,"50m",6.66,13.26,"inj_n10",62.4571,6.542,63.703,7.782,"Stn02",63.703,0.127046915,0.011531371
"20",2022-07-01 09:30:00,"Gavilan Outlet",8.125815,527.920255072192,1.033053418,"50m",6.66,13.26,"inj_n10",62.4571,6.542,63.703,7.782,"Stn02",63.703,0.127046915,0.011531371
"21",2022-07-06 09:30:00,"Gavilan Outlet",6.396,403.875911911918,0.818633033,"0m",7.13,7.88,"inj_0m",62.3903,5.296,64.827,5.037,"Stn02",64.827,0.248475172,0.062471605
"22",2022-07-06 09:30:00,"Gavilan Outlet",6.396,423.951723048872,0.859325537,"0m",7.13,7.88,"inj_0m",62.3903,5.296,64.827,5.037,"Stn02",64.827,0.248475172,0.062471605
"23",2022-07-06 09:30:00,"Gavilan Outlet",6.396,253.706529257541,0.51424841,"50m",7.13,7.88,"inj_0m",62.3903,5.296,64.827,5.037,"Stn02",64.827,0.248475172,0.062471605
"24",2022-07-06 09:30:00,"Gavilan Outlet",6.396,274.259212460133,0.555907506,"50m",7.13,7.88,"inj_0m",62.3903,5.296,64.827,5.037,"Stn02",64.827,0.248475172,0.062471605
