"","DateTime","Depth_m","CDOM_ppb","Q_m3s","pCO2_ppm","DOC","time_elapsed","storm","calibrate_DOC"
"1",2019-07-11 15:30:00,0.35,33.96,NA,NA,3.763,NA,NA,"calibrate"
"2",2019-07-19 13:00:00,0.35,32.96,0.0168809834750036,NA,3.74,NA,NA,"calibrate"
"3",2019-07-14 00:30:00,0.41,31.73,0.011908723879511,4732.502484,NA,15,"storm",NA
"4",2019-07-14 00:45:00,0.41,31.48,0.0106334275733111,4729.401154,NA,30,"storm",NA
"5",2019-07-14 01:00:00,0.41,31.5,0.0117716348740773,4701.740621,NA,45,"storm",NA
"6",2019-07-14 01:15:00,0.48,31.41,0.0113746386855879,4672.41871,NA,60,"storm",NA
"7",2019-07-14 01:30:00,0.48,31.35,0.0113660596806877,4665.082465,NA,75,"storm",NA
"8",2019-07-14 01:45:00,0.48,31.37,0.0106239145251473,4682.793654,NA,90,"storm",NA
"9",2019-07-14 02:00:00,0.41,31.31,0.0112787343637337,4717.89251,NA,105,"storm",NA
"10",2019-07-14 02:15:00,0.48,31.28,0.0115418448806786,4709.509088,NA,120,"storm",NA
"11",2019-07-14 02:30:00,0.41,31.19,0.0106258158134073,4750.318784,NA,135,"storm",NA
"12",2019-07-14 02:45:00,0.41,31.19,0.010608728003782,4809.795442,NA,150,"storm",NA
"13",2019-07-14 03:00:00,0.41,31.15,0.0108310991219322,4764.11798,NA,165,"storm",NA
"14",2019-07-14 03:15:00,0.48,31.11,0.0112449574642957,4799.858427,NA,180,"storm",NA
"15",2019-07-14 03:30:00,0.41,30.82,0.0117467598878156,4819.390707,NA,195,"storm",NA
"16",2019-07-14 03:45:00,0.41,30.79,0.012453809362643,4771.847373,NA,210,"storm",NA
"17",2019-07-14 04:00:00,0.41,30.75,0.0108212491236675,4769.063957,NA,225,"storm",NA
"18",2019-07-14 04:15:00,0.41,30.59,0.0114220121688692,4742.812828,NA,240,"storm",NA
"19",2019-07-14 04:30:00,0.41,30.39,0.0120669667265319,4656.726458,NA,255,"storm",NA
"20",2019-07-14 04:45:00,0.41,30.32,0.0112365396668952,4688.327227,NA,270,"storm",NA
"21",2019-07-14 05:00:00,0.41,30.25,0.0117242156360207,4610.197735,NA,285,"storm",NA
"22",2019-07-14 05:15:00,0.41,29.97,0.0110991721955362,4626.168327,NA,300,"storm",NA
"23",2019-07-14 05:30:00,0.41,30.04,0.0115374523111389,4601.026634,NA,315,"storm",NA
"24",2019-07-14 05:45:00,0.41,29.94,0.011419851891512,4615.14425,NA,330,"storm",NA
"25",2019-07-14 06:00:00,0.41,29.21,0.0114436512801961,4607.238604,NA,345,"storm",NA
"26",2019-07-14 06:15:00,0.48,29.18,0.0120716671759682,4649.15281,NA,360,"storm",NA
"27",2019-07-14 06:30:00,0.41,29.33,0.0123585303671123,4601.265797,NA,375,"storm",NA
"28",2019-07-14 06:45:00,0.48,29.21,0.0127634246049011,4591.449852,NA,390,"storm",NA
"29",2019-07-14 07:00:00,0.48,29.04,0.0130335419050929,4604.094717,NA,405,"storm",NA
"30",2019-07-14 07:15:00,0.48,29.56,0.0130963057449393,4588.296075,NA,420,"storm",NA
"31",2019-07-14 07:30:00,0.41,29.92,0.0131911650460999,4528.020229,NA,435,"storm",NA
"32",2019-07-14 07:45:00,0.41,29.61,0.0143377504814671,4433.86058,NA,450,"storm",NA
"33",2019-07-14 08:00:00,0.41,29.74,0.0154251177180592,4153.066197,NA,465,"storm",NA
"34",2019-07-14 08:15:00,0.48,29.75,0.0166481174122578,3895.66799,NA,480,"storm",NA
"35",2019-07-14 08:30:00,0.48,29.83,0.0179448036451202,3766.03434,NA,495,"storm",NA
"36",2019-07-14 08:45:00,0.48,29.91,0.0180984835191843,3668.596251,NA,510,"storm",NA
"37",2019-07-14 09:00:00,0.48,29.72,0.0194049596904841,3531.360194,NA,525,"storm",NA
"38",2019-07-14 09:15:00,0.55,29.98,0.0193776698862152,3425.340354,NA,540,"storm",NA
"39",2019-07-14 09:30:00,0.48,29.93,0.0208727820605522,3310.972193,NA,555,"storm",NA
"40",2019-07-14 09:45:00,0.48,29.99,0.0220324926717754,3251.298694,NA,570,"storm",NA
"41",2019-07-14 10:00:00,0.48,30.03,0.0257168976878076,3137.478101,NA,585,"storm",NA
"42",2019-07-14 10:15:00,0.48,29.49,0.0289901586889389,3007.704845,NA,600,"storm",NA
"43",2019-07-14 10:30:00,0.55,29.79,0.0334665523556294,2842.077218,NA,615,"storm",NA
"44",2019-07-14 10:45:00,0.55,30.18,0.0434560501695078,2800.471646,NA,630,"storm",NA
"45",2019-07-14 11:00:00,0.48,30.57,0.0441795140101453,2756.546964,NA,645,"storm",NA
"46",2019-07-14 11:15:00,0.55,30.93,0.0485412306147795,2599.739665,NA,660,"storm",NA
"47",2019-07-14 11:30:00,0.55,31.26,0.0775954865274738,2439.68061,NA,675,"storm",NA
"48",2019-07-14 11:45:00,0.55,31.66,0.0783460853174657,2291.898038,NA,690,"storm",NA
"49",2019-07-14 12:00:00,0.55,32.21,0.0948655793647178,2251.878922,NA,705,"storm",NA
