"Date","Time","Station","DOC","TDN","SampleType","DateTime","Distance_from_peatland","WS"
"7/1/22","9:33","Stn05",1.785,0.08676,"Station",2022-07-01 09:30:00,1,"Colmillo"
"6/6/22","13:20","Stn02",2.119,0.1059,"Station",2022-06-06 13:15:00,56,"Gavilan"
"7/26/22","10:30","Stn05",2.485,0.09317,"Station",2022-07-26 10:30:00,1,"Colmillo"
"7/26/22","10:30","Stn05",2.724,0.08743,"Station",2022-07-26 10:30:00,1,"Colmillo"
"7/6/22","10:20","Stn02",4.074,0.126,"Station",2022-07-06 10:15:00,56,"Gavilan"
"6/28/21","11:41","Stn01",2.42,0.06889,"Station",2021-06-28 11:45:00,5,"Gavilan"
"6/28/21","11:35","Stn02",2.463,0.0862,"Station",2021-06-28 11:30:00,56,"Gavilan"
"6/28/21","12:54","Stn03",2.634,0.08039,"Station",2021-06-28 13:00:00,288,"Gavilan"
"6/28/21","13:17","Stn04",2.638,0.0962,"Station",2021-06-28 13:15:00,454,"Gavilan"
"6/28/21","10:47","Stn05",1.915,0.1213,"Station",2021-06-28 10:45:00,1,"Colmillo"
"6/28/21","10:25","Stn06",1.777,0.08071,"Station",2021-06-28 10:30:00,53,"Colmillo"
"7/2/21","10:15","Stn01",4.049,0.1048,"Station",2021-07-02 10:15:00,5,"Gavilan"
"7/2/21","10:55","Stn02",3.963,0.1148,"Station",2021-07-02 11:00:00,56,"Gavilan"
"7/2/21","12:40","Stn03",3.87,0.1257,"Station",2021-07-02 12:45:00,288,"Gavilan"
"7/2/21","11:25","Stn04",3.779,0.1178,"Station",2021-07-02 11:30:00,454,"Gavilan"
"7/6/21","13:50","Stn05",1.341,0.05416,"Station",2021-07-06 13:45:00,1,"Colmillo"
"7/6/21","13:45","Stn06",1.741,0.08796,"Station",2021-07-06 13:45:00,53,"Colmillo"
"7/9/21","10:15","Stn01",2.428,0.07039,"Station",2021-07-09 10:15:00,5,"Gavilan"
"7/9/21","10:50","Stn02",2.425,0.07143,"Station",2021-07-09 10:45:00,56,"Gavilan"
"7/9/21","11:35","Stn03",2.89,0.09655,"Station",2021-07-09 11:30:00,288,"Gavilan"
"7/9/21","12:00","Stn04",3.102,0.1271,"Station",2021-07-09 12:00:00,454,"Gavilan"
"7/19/21","11:20","Stn01",4.024,0.0965,"Station",2021-07-19 11:15:00,5,"Gavilan"
"7/19/21","11:25","Stn02",5.44,0.146,"Station",2021-07-19 11:30:00,56,"Gavilan"
"7/19/21","11:35","Stn03",5.527,0.1449,"Station",2021-07-19 11:30:00,288,"Gavilan"
"7/19/21","11:45","Stn04",5.55,0.1413,"Station",2021-07-19 11:45:00,454,"Gavilan"
