"Site","Site2","DateTime","Watertemp_c","DO_mgL","Q_m3s","pCH4_uatm","pCH4_ppm","CH4_umol.L"
"Waterbody Center","Center",2022-07-06 12:30:00,6.0454,6.91333333333333,0.067777814,240.217405542172,240.217405542172,0.301822592
"Waterbody Center","Center",2022-07-22 09:30:00,6.1658,5.83,0.017530999,265.586095267169,265.586095267169,0.333522659
"Waterbody Center","Center",2022-07-27 09:30:00,7.2852,5.42,0.032055402,355.904943086567,355.904943086567,0.437390335
"Waterbody Center","Center",2022-10-16 12:45:00,7.589333,NA,0.005262313,194.338979180702,194.338979180702,0.23695
"Outlet","0m",2022-06-06 12:30:00,11.87649,4.89,0.013453248,3258.76062422959,3258.76062422959,3.64637054
"Outlet","0m",2022-07-01 09:30:00,8.125815,6.66,0.011531371,848.043785759263,848.043785759263,1.0231636435
"Outlet","0m",2022-07-06 09:30:00,6.396,7.13,0.062471605,672.051099462,672.051099462,0.838979285
"Outlet","100m",2022-06-06 12:30:00,11.87649,4.89,0.013453248,197.50819883813,197.50819883813,0.2210006075
"Outlet","50m",2022-06-06 12:30:00,11.87649,4.89,0.013453248,862.676208164668,862.676208164668,0.9652863385
"Outlet","50m",2022-07-01 09:30:00,8.125815,6.66,0.011531371,891.232795539178,891.232795539178,1.0752711235
"Outlet","50m",2022-07-06 09:30:00,6.396,7.13,0.062471605,428.61574344089,428.61574344089,0.535077958
