x,w,d,notes,x_new
0,105,58,Stream with intermittent waterfalls 20 cm high,1350
10,93,62,,1340
20,145,35,,1330
30,250,120,,1320
40,125,25,,1310
45,NA,NA,"Less turbulence, slower",1305
48,NA,NA,Station 6,1302
50,90,52,,1300
60,93,51,,1290
70,80,43,,1280
80,40,78,,1270
83,100,25,syn 1,1267
90,102,54,,1260
100,170,30,Station 5,1250
110,78,44,,1240
120,98,100,,1230
130,80,70,,1220
134,NA,NA,Tribs come in (small),1216
140,91,17,syn 2,1210
150,181,31,,1200
160,142,43,,1190
170,105,65,,1180
180,87,48,,1170
190,122,33,,1160
194,58,31,syn 3,1156
200,83,13,,1150
202,NA,NA,small wf streams change -> more shallow,1148
210,60,10,,1140
220,60,7,,1130
230,121,19,,1120
240,104,22,,1110
241,88,18,syn4 ,1109
245,NA,NA,Tribs come in (small),1105
246,NA,NA,very turbulent,1104
250,138,11,,1100
258,140,18,syn 5,1092
260,50,48,,1090
261,NA,NA,wetland outlet,1089
270,600,50,,1080
280,400,11,,1070
290,600,100,,1060
300,1000,,,1050
305,1000,,,1045
310,800,,,1040
320,380,22,,1030
329,250,85,syn 6,1021
330,NA,85,top of wetland culvert,1020
340,NA,NA,underground in culvert,1010
349,NA,NA,entrance to culvert,1001
350,100,22,syn 7,1000
360,121,24,"turbulent, rock substrate",990
370,112,25,,980
380,161,10,,970
384,143,23,syn 8,966
388,NA,NA,waterfall,962
390,143,20,,960
400,165,28,,950
410,150,22,,940
420,164,19,,930
429,142,16,syn 9,921
430,102,27,,920
435,NA,NA,downstream of big waterfall from culvert,915
440,163,35,in waterfall,910
448,NA,NA,"Waterfall, upsteam, where exsits culvert",902
450,182,11,,900
460,157,8,,890
467,NA,NA,entrance to culvert,883
470,92,42,,880
480,164,38,,870
490,75,20,,860
500,136,20,,850
510,124,35,,840
520,130,24,,830
530,120,24,,820
540,115,29,,810
550,85,24,,800
560,135,9,,790
570,109,54,,780
579,NA,NA,syn ?,771
580,130,57,estimate x,770
590,92,22,estimate x,760
600,112,38,estimate x,750
600,43,10,,750
605,NA,NA,syn 15,745
610,65,55,,740
620,144,45,,730
630,40,20,,720
640,80,62,syn 14,710
650,90,35,,700
660,60,60,,690
670,140,45,,680
676,NA,NA,"above ground, turbulent",674
680,60,70,mostly underground but turbulent when apears,670
690,40,38,"syn 13, mostly underground but turbulent when apears",660
700,20,13,underground,650
710,71,13,,640
720,130,45,slower moving wetland,630
725,NA,NA,syn 12,625
730,120,16,,620
740,95,26,,610
750,80,116,,600
760,100,100,syn 11,590
770,40,50,,580
780,67,96,,570
790,41,55,,560
800,72,37,,550
810,73,56,,540
820,90,82,,530
830,31,40,,520
840,80,90,,510
850,75,14,syn 10,500
860,40,16,,490
870,23,32,Wetland drains and becomes turbulent,480
880,54,23,,470
890,50,25,,460
900,130,85,,450
905,NA,NA,syn 9,445
910,90,69,,440
920,170,80,,430
930,140,22,,420
940,170,55,,410
943,NA,NA,channel spreads into wetland,407
950,140,71,,400
954,NA,NA,outflow of small lake,396
960,70,30,,390
970,400,70,,380
980,,,no channel,370
989,NA,NA,inflow of small lake,361
990,30,80,,360
1000,50,107,syn 8,350
1010,80,42,,340
1012,NA,NA,"lots of wetland planTs in river, then water spreads out wide, lots of sixta, but still a channel runs through",338
1020,30,51,,330
1030,64,96,,320
1040,62,72,,310
1049,NA,NA,little trib come in,301
1050,46,29,syn 7,300
1060,40,100,,290
1064,NA,NA,Lots ground water bubbling up,286
1070,60,35,,280
1080,15,17,weland-y,270
1087,NA,NA,syn 6,263
1090,44,53,,260
1100,60,38,,250
1110,77,20,,240
1120,30,27,,230
1130,48,27,,220
1134,NA,NA,syn 5,216
1140,32,42,,210
1150,44,35,,200
1156,NA,NA,waterfall downstream,194
1160,60,30,,190
1168,NA,NA,syn 4,182
1170,65,24,,180
1180,100,25,,170
1190,96,31,,160
1200,80,22,,150
1201,NA,NA,waterfall upstream,149
1210,58,47,,140
1211,NA,NA,syn 3,139
1220,75,18,,130
1230,60,26,,120
1240,30,31,,110
1250,70,24,,100
1257,NA,NA,synop 2,93
1260,40,24,,90
1270,95,25,,80
1280,55,25,,70
1290,50,24,,60
1300,57,30,,50
1308,NA,NA,synop 1,42
1310,84,14,,40
1320,60,27,,30
1330,84,20,,20
1340,60,25,,10
1350,35,53,synop 0,0
