Station,DateTime,Total_hPa,WLTemp_01_c,CO2_ppm,CO2_ppm_adjusted,max_detect_ppm
Stn01,2019-07-12 12:45:00,640.554048,11.336,4061.450046,4061.450046,10000
Stn01,2019-07-12 13:00:00,640.308888,12.025,3958.247798,3958.247798,10000
Stn01,2019-07-12 13:15:00,640.4265648,12.121,7045.991513,7045.991513,10000
Stn01,2019-07-12 13:30:00,640.308888,12.122,6756.427215,6756.427215,10000
Stn01,2019-07-12 13:45:00,640.1814048,12.436,6460.744818,6460.744818,10000
Stn01,2019-07-12 14:00:00,639.9264384,12.687,6205.304452,6205.304452,10000
Stn01,2019-07-12 14:15:00,639.9460512,12.729,6015.285969,6015.285969,10000
Stn01,2019-07-12 14:30:00,639.916632,12.804,6085.387072,6085.387072,10000
Stn01,2019-07-12 14:45:00,639.8381808,12.959,5811.312521,5811.312521,10000
Stn01,2019-07-12 15:00:00,639.5636016,13.331,5616.863768,5616.863768,10000
Stn01,2019-07-12 15:15:00,639.426312,13.271,6091.568236,6091.568236,10000
Stn01,2019-07-12 15:30:00,639.4361184,13.323,5915.774171,5915.774171,10000
Stn01,2019-07-12 15:45:00,639.1909584,13.188,6056.957726,6056.957726,10000
Stn01,2019-07-12 16:00:00,638.985024,13.014,6366.949077,6366.949077,10000
Stn01,2019-07-12 16:15:00,638.9654112,12.919,4019.93225,4019.93225,10000
Stn01,2019-07-12 17:00:00,638.5339296,12.334,3993.760443,3993.760443,10000
Stn01,2019-07-12 17:15:00,638.3770272,12.177,3990.834512,3990.834512,10000
Stn01,2019-07-12 17:30:00,638.200512,11.996,4011.947836,4011.947836,10000
Stn01,2019-07-12 17:45:00,637.9945776,11.704,4162.838783,4162.838783,10000
Stn01,2019-07-12 18:00:00,638.0828352,11.456,4230.5825,4230.5825,10000
Stn01,2019-07-12 18:15:00,638.1710928,11.231,4328.24016,4328.24016,10000
Stn01,2019-07-12 18:30:00,638.1907056,10.977,4445.993771,4445.993771,10000
Stn01,2019-07-12 18:45:00,638.445672,10.752,4481.054215,4481.054215,10000
Stn01,2019-07-12 19:00:00,638.445672,10.573,4547.161861,4547.161861,10000
Stn01,2019-07-12 19:15:00,638.4848976,10.375,4642.773446,4642.773446,10000
Stn01,2019-07-12 19:30:00,638.543736,10.223,4737.793596,4737.793596,10000
Stn01,2019-07-12 19:45:00,638.5633488,10.066,4833.813421,4833.813421,10000
Stn01,2019-07-12 20:00:00,638.6123808,9.926,4885.322246,4885.322246,10000
Stn01,2019-07-12 20:15:00,638.6614128,9.8,4981.207187,4981.207187,10000
Stn01,2019-07-12 20:30:00,638.6418,9.676,5032.554666,5032.554666,10000
Stn01,2019-07-12 20:45:00,638.7104448,9.567,5098.170088,5098.170088,10000
Stn01,2019-07-12 21:00:00,638.8085088,9.469,5165.158394,5165.158394,10000
Stn01,2019-07-12 21:15:00,638.8771536,9.337,5139.003985,5139.003985,10000
Stn01,2019-07-12 21:30:00,638.9065728,9.214,5190.489815,5190.489815,10000
Stn01,2019-07-12 21:45:00,638.9752176,9.122,5258.180297,5258.180297,10000
Stn01,2019-07-12 22:00:00,639.0438624,9.046,5269.194288,5269.194288,10000
Stn01,2019-07-12 22:15:00,638.985024,8.96,5306.626687,5306.626687,10000
Stn01,2019-07-12 22:30:00,638.9752176,8.856,5358.85349,5358.85349,10000
Stn01,2019-07-12 22:45:00,638.9752176,8.793,5431.799073,5431.799073,10000
Stn01,2019-07-12 23:00:00,638.9556048,8.727,5439.530644,5439.530644,10000
Stn01,2019-07-12 23:15:00,638.935992,8.669,5499.848116,5499.848116,10000
Stn01,2019-07-12 23:30:00,638.985024,8.607,5519.032922,5519.032922,10000
Stn01,2019-07-12 23:45:00,638.8771536,8.54,5519.832258,5519.832258,10000
Stn01,2019-07-13 0:15:00,638.7692832,8.438,5564.596266,5564.596266,10000
Stn01,2019-07-13 0:30:00,638.5535424,8.38,5518.595095,5518.595095,10000
Stn01,2019-07-13 0:45:00,638.5535424,8.323,5518.63003,5518.63003,10000
Stn01,2019-07-13 1:00:00,638.3868336,8.277,5509.647026,5509.647026,10000
Stn01,2019-07-13 1:15:00,638.3181888,8.233,5539.908481,5539.908481,10000
Stn01,2019-07-13 1:30:00,638.2397376,8.173,5547.26781,5547.26781,10000
Stn01,2019-07-13 1:45:00,638.102448,8.121,5562.152537,5562.152537,10000
Stn01,2019-07-13 2:00:00,638.004384,8.066,5562.268731,5562.268731,10000
Stn01,2019-07-13 2:15:00,637.9455456,8.03,5615.689327,5615.689327,10000
Stn01,2019-07-13 2:30:00,637.8867072,7.978,5616.244656,5616.244656,10000
Stn01,2019-07-13 2:45:00,637.759224,7.921,5668.248859,5668.248859,10000
Stn01,2019-07-13 3:00:00,637.612128,7.863,5667.745569,5667.745569,10000
Stn01,2019-07-13 3:15:00,637.5729024,7.72,5586.938933,5586.938933,10000
Stn01,2019-07-13 3:30:00,637.4846448,7.678,5602.04775,5602.04775,10000
Stn01,2019-07-13 3:45:00,637.3571616,7.615,5609.94644,5609.94644,10000
Stn01,2019-07-13 4:00:00,637.3767744,7.563,5624.847868,5624.847868,10000
Stn01,2019-07-13 4:15:00,637.3473552,7.496,5583.714799,5583.714799,10000
Stn01,2019-07-13 4:30:00,637.465032,7.46,5613.45108,5613.45108,10000
Stn01,2019-07-13 4:45:00,637.5434832,7.408,5611.212587,5611.212587,10000
Stn01,2019-07-13 5:00:00,637.563096,7.347,5620.975271,5620.975271,10000
Stn01,2019-07-13 5:15:00,637.7003856,7.26,5587.772857,5587.772857,10000
Stn01,2019-07-13 5:30:00,637.7984496,7.167,5518.250908,5518.250908,10000
Stn01,2019-07-13 5:45:00,637.9651584,7.074,5498.832708,5498.832708,10000
Stn01,2019-07-13 6:00:00,637.9945776,6.992,5428.258802,5428.258802,10000
Stn01,2019-07-13 6:15:00,637.9945776,6.983,5420.72158,5420.72158,10000
Stn01,2019-07-13 6:30:00,638.0730288,6.972,5425.276244,5425.276244,10000
Stn01,2019-07-13 6:45:00,638.249544,6.94,5455.632048,5455.632048,10000
Stn01,2019-07-13 7:00:00,638.4064464,6.898,5383.378182,5383.378182,10000
Stn01,2019-07-13 7:15:00,638.6123808,6.884,5333.867779,5333.867779,10000
Stn01,2019-07-13 7:30:00,638.88696,6.869,5182.321779,5182.321779,10000
Stn01,2019-07-13 7:45:00,639.0242496,6.892,5130.267069,5130.267069,10000
Stn01,2019-07-13 8:00:00,639.1223136,6.92,5048.522232,5048.522232,10000
Stn01,2019-07-13 8:15:00,639.37728,6.967,4872.302419,4872.302419,10000
Stn01,2019-07-13 8:30:00,639.4949568,7.016,4802.817279,4802.817279,10000
Stn01,2019-07-13 8:45:00,639.7303104,7.095,4750.672189,4750.672189,10000
Stn01,2019-07-13 9:00:00,639.8872128,7.202,4663.505256,4663.505256,10000
Stn01,2019-07-13 9:15:00,640.014696,7.312,4588.010962,4588.010962,10000
Stn01,2019-07-13 9:30:00,640.2402432,7.409,4501.281778,4501.281778,10000
