"Station","DateTime","Total_hpa","WLTemp_03_c","CO2_ppm","CO2_ppm_adjusted","max_detect_ppm"
"Stn03",2021-06-11 10:45:00,651.06,7.782,437.27,938.7399814,10000
"Stn03",2021-06-11 11:00:00,650.71,7.882,448.79,963.9425773,10000
"Stn03",2021-06-11 12:00:00,650.81,8.282,476.34,1022.9734938,10000
"Stn03",2021-06-11 12:15:00,650.81,8.282,468.57,1006.2868749,10000
"Stn03",2021-06-11 12:30:00,650.71,8.382,467.32,1003.7426084,10000
"Stn03",2021-06-11 12:45:00,650.73,8.481,471.33,1012.3272873,10000
"Stn03",2021-06-11 13:00:00,650.6,8.481,470.83,1011.437006,10000
"Stn03",2021-06-11 13:15:00,650.63,8.581,467.57,1004.3917927,10000
"Stn03",2021-06-11 13:30:00,650.5,8.581,471.33,1012.652505,10000
"Stn03",2021-06-11 13:45:00,650.4,8.68,477.09,1025.170992,10000
"Stn03",2021-06-11 14:00:00,650.15,8.68,475.08,1021.208214,10000
"Stn03",2021-06-11 14:15:00,650.02,8.68,482.85,1038.098529,10000
"Stn03",2021-06-11 14:30:00,650.05,8.779,480.09,1032.1214865,10000
"Stn03",2021-06-11 14:45:00,649.82,8.879,480.09,1032.4527486,10000
"Stn03",2021-06-11 15:00:00,649.69,8.879,485.85,1045.0293405,10000
"Stn03",2021-06-11 15:15:00,649.59,8.978,494.12,1062.9657676,10000
"Stn03",2021-06-11 15:30:00,649.34,8.978,491.11,1056.8588978,10000
"Stn03",2021-06-11 15:45:00,649.34,8.978,486.35,1046.615473,10000
"Stn03",2021-06-11 16:00:00,649.34,8.978,496.62,1068.7163076,10000
"Stn03",2021-06-11 16:15:00,649.46,8.978,503.63,1083.6203806,10000
"Stn03",2021-06-11 16:30:00,649.44,8.879,510.39,1098.1959552,10000
"Stn03",2021-06-11 16:45:00,649.67,8.779,521.41,1121.5476959,10000
"Stn03",2021-06-11 17:00:00,649.79,8.779,522.92,1124.6074396,10000
"Stn03",2021-06-11 17:15:00,649.77,8.68,523.67,1126.2518323,10000
"Stn03",2021-06-11 17:30:00,649.74,8.581,528.93,1137.6120654,10000
"Stn03",2021-06-11 17:45:00,649.84,8.481,535.44,1151.4530112,10000
"Stn03",2021-06-11 18:00:00,649.82,8.382,548.96,1180.5604384,10000
"Stn03",2021-06-11 18:15:00,649.79,8.282,557.73,1199.4708699,10000
"Stn03",2021-06-11 18:30:00,649.64,8.182,560.48,1205.6373184,10000
"Stn03",2021-06-11 18:45:00,650.15,8.182,566.49,1217.6985795,10000
"Stn03",2021-06-11 19:00:00,650.38,8.082,563.99,1211.9355514,10000
"Stn03",2021-06-11 19:15:00,650.63,8.082,552.97,1187.8403867,10000
"Stn03",2021-06-11 19:30:00,650.61,7.983,548.71,1178.7223607,10000
