"DateTime","DO_mgL","DOTemp_c","Station"
2019-07-12 17:00:00,5.3,12.555,"Stn01"
2019-07-12 17:15:00,5.28,12.395,"Stn01"
2019-07-12 17:30:00,5.2,12.23,"Stn01"
2019-07-12 17:45:00,5.04,12,"Stn01"
2019-07-12 18:00:00,4.92,11.765,"Stn01"
2019-07-12 18:15:00,4.8,11.55,"Stn01"
2019-07-12 18:30:00,4.67,11.33,"Stn01"
2019-07-12 18:45:00,4.54,11.115,"Stn01"
2019-07-12 19:00:00,4.43,10.935,"Stn01"
2019-07-12 19:15:00,4.34,10.755,"Stn01"
2019-07-12 19:30:00,4.24,10.61,"Stn01"
2019-07-12 19:45:00,4.15,10.47,"Stn01"
2019-07-12 20:00:00,4.08,10.34,"Stn01"
2019-07-12 20:15:00,4.01,10.235,"Stn01"
2019-07-12 20:30:00,3.95,10.11,"Stn01"
2019-07-12 20:45:00,3.88,10,"Stn01"
2019-07-12 21:00:00,3.83,9.93,"Stn01"
2019-07-12 21:15:00,3.79,9.8,"Stn01"
2019-07-12 21:30:00,3.74,9.695,"Stn01"
2019-07-12 21:45:00,3.71,9.605,"Stn01"
2019-07-12 22:00:00,3.67,9.53,"Stn01"
2019-07-12 22:15:00,3.62,9.46,"Stn01"
2019-07-12 22:30:00,3.59,9.37,"Stn01"
2019-07-12 22:45:00,3.56,9.3,"Stn01"
2019-07-12 23:00:00,3.53,9.245,"Stn01"
2019-07-12 23:15:00,3.5,9.19,"Stn01"
2019-07-12 23:30:00,3.47,9.135,"Stn01"
2019-07-12 23:45:00,3.46,9.065,"Stn01"
2019-07-13,3.45,9.03,"Stn01"
2019-07-13 00:15:00,3.45,8.975,"Stn01"
2019-07-13 00:30:00,3.44,8.92,"Stn01"
2019-07-13 00:45:00,3.44,8.865,"Stn01"
2019-07-13 01:00:00,3.43,8.83,"Stn01"
2019-07-13 01:15:00,3.43,8.795,"Stn01"
2019-07-13 01:30:00,3.42,8.74,"Stn01"
2019-07-13 01:45:00,3.41,8.685,"Stn01"
2019-07-13 02:00:00,3.39,8.63,"Stn01"
2019-07-13 02:15:00,3.37,8.595,"Stn01"
2019-07-13 02:30:00,3.36,8.56,"Stn01"
2019-07-13 02:45:00,3.36,8.505,"Stn01"
2019-07-13 03:00:00,3.35,8.45,"Stn01"
2019-07-13 03:15:00,3.4,8.345,"Stn01"
2019-07-13 03:30:00,3.39,8.29,"Stn01"
2019-07-13 03:45:00,3.39,8.235,"Stn01"
2019-07-13 04:00:00,3.39,8.18,"Stn01"
2019-07-13 04:15:00,3.4,8.13,"Stn01"
2019-07-13 04:30:00,3.39,8.09,"Stn01"
2019-07-13 04:45:00,3.39,8.04,"Stn01"
2019-07-13 05:00:00,3.41,7.985,"Stn01"
2019-07-13 05:15:00,3.41,7.91,"Stn01"
2019-07-13 05:30:00,3.44,7.82,"Stn01"
2019-07-13 05:45:00,3.48,7.75,"Stn01"
2019-07-13 06:00:00,3.52,7.66,"Stn01"
2019-07-13 06:15:00,3.52,7.64,"Stn01"
2019-07-13 06:30:00,3.52,7.64,"Stn01"
2019-07-13 06:45:00,3.52,7.625,"Stn01"
2019-07-13 07:00:00,3.58,7.57,"Stn01"
2019-07-13 07:15:00,3.66,7.57,"Stn01"
2019-07-13 07:30:00,3.81,7.55,"Stn01"
2019-07-13 07:45:00,3.94,7.57,"Stn01"
2019-07-13 08:00:00,4.08,7.59,"Stn01"
2019-07-13 08:15:00,4.24,7.625,"Stn01"
2019-07-13 08:30:00,4.38,7.68,"Stn01"
2019-07-13 08:45:00,4.52,7.73,"Stn01"
2019-07-13 09:00:00,4.66,7.82,"Stn01"
2019-07-13 09:15:00,4.79,7.93,"Stn01"
2019-07-13 09:30:00,4.91,8.02,"Stn01"
2019-07-13 09:45:00,5.05,8.145,"Stn01"
2019-07-13 10:00:00,5.2,8.29,"Stn01"
2019-07-13 10:15:00,5.28,8.36,"Stn01"
2019-07-13 10:30:00,5.38,8.45,"Stn01"
2019-07-13 10:45:00,5.46,8.54,"Stn01"
2019-07-13 11:00:00,5.58,8.775,"Stn01"
2019-07-13 11:15:00,5.66,9.1,"Stn01"
2019-07-13 11:30:00,5.72,9.225,"Stn01"
2019-07-13 11:45:00,5.76,9.28,"Stn01"
2019-07-13 12:00:00,5.86,9.48,"Stn01"
2019-07-13 12:15:00,5.91,9.71,"Stn01"
2019-07-13 12:30:00,5.97,9.89,"Stn01"
2019-07-13 12:45:00,6.02,10.11,"Stn01"
2019-07-13 13:00:00,6.03,10.2,"Stn01"
2019-07-13 13:15:00,6.08,10.36,"Stn01"
2019-07-13 13:30:00,6.1,10.47,"Stn01"
2019-07-13 13:45:00,6.16,10.61,"Stn01"
2019-07-13 14:00:00,6.14,10.845,"Stn01"
2019-07-13 14:15:00,6.18,11.06,"Stn01"
2019-07-13 14:30:00,6.16,11.08,"Stn01"
2019-07-13 14:45:00,6.18,11.025,"Stn01"
2019-07-13 15:00:00,6.2,11.135,"Stn01"
2019-07-13 15:15:00,6.21,11.44,"Stn01"
2019-07-13 15:30:00,6.21,11.6,"Stn01"
2019-07-13 15:45:00,6.2,11.82,"Stn01"
2019-07-13 16:00:00,6.18,11.87,"Stn01"
2019-07-13 16:15:00,6.14,11.835,"Stn01"
2019-07-13 16:30:00,6.06,11.745,"Stn01"
2019-07-13 16:45:00,6.01,11.585,"Stn01"
2019-07-13 17:00:00,5.92,11.37,"Stn01"
2019-07-13 17:15:00,5.86,11.19,"Stn01"
2019-07-13 17:30:00,5.78,11.025,"Stn01"
2019-07-13 17:45:00,5.68,10.83,"Stn01"
2019-07-13 18:00:00,5.53,10.575,"Stn01"
2019-07-13 18:15:00,5.41,10.38,"Stn01"
2019-07-13 18:30:00,5.31,10.18,"Stn01"
2019-07-13 18:45:00,5.19,10.02,"Stn01"
2019-07-13 19:00:00,5.07,9.89,"Stn01"
2019-07-13 19:15:00,4.96,9.765,"Stn01"
2019-07-13 19:30:00,4.87,9.64,"Stn01"
2019-07-13 19:45:00,4.79,9.53,"Stn01"
2019-07-13 20:00:00,4.7,9.425,"Stn01"
2019-07-13 20:15:00,4.63,9.315,"Stn01"
2019-07-13 20:30:00,4.56,9.225,"Stn01"
2019-07-13 20:45:00,4.51,9.135,"Stn01"
2019-07-13 21:00:00,4.45,9.065,"Stn01"
2019-07-13 21:15:00,4.4,8.975,"Stn01"
2019-07-13 21:30:00,4.36,8.9,"Stn01"
2019-07-13 21:45:00,4.3,8.83,"Stn01"
2019-07-13 22:00:00,4.26,8.775,"Stn01"
2019-07-13 22:15:00,4.22,8.705,"Stn01"
2019-07-13 22:30:00,4.17,8.65,"Stn01"
2019-07-13 22:45:00,4.14,8.595,"Stn01"
2019-07-13 23:00:00,4.1,8.525,"Stn01"
2019-07-13 23:15:00,4.06,8.49,"Stn01"
2019-07-13 23:30:00,4.04,8.435,"Stn01"
2019-07-13 23:45:00,4.04,8.345,"Stn01"
2019-07-14,4.01,8.29,"Stn01"
2019-07-14 00:15:00,4.02,8.2,"Stn01"
2019-07-14 00:30:00,4,8.13,"Stn01"
2019-07-14 00:45:00,4.01,8.055,"Stn01"
2019-07-14 01:00:00,4.02,7.95,"Stn01"
2019-07-14 01:15:00,4.02,7.895,"Stn01"
2019-07-14 01:30:00,4.03,7.82,"Stn01"
2019-07-14 01:45:00,4.01,7.77,"Stn01"
2019-07-14 02:00:00,4,7.73,"Stn01"
2019-07-14 02:15:00,3.97,7.695,"Stn01"
2019-07-14 02:30:00,3.95,7.68,"Stn01"
2019-07-14 02:45:00,3.93,7.64,"Stn01"
2019-07-14 03:00:00,3.9,7.625,"Stn01"
2019-07-14 03:15:00,3.88,7.59,"Stn01"
2019-07-14 03:30:00,3.9,7.55,"Stn01"
2019-07-14 03:45:00,3.93,7.5,"Stn01"
2019-07-14 04:00:00,3.96,7.46,"Stn01"
2019-07-14 04:15:00,4.01,7.425,"Stn01"
2019-07-14 04:30:00,4.03,7.37,"Stn01"
2019-07-14 04:45:00,4.04,7.32,"Stn01"
2019-07-14 05:00:00,4.08,7.265,"Stn01"
2019-07-14 05:15:00,4.07,7.21,"Stn01"
2019-07-14 05:30:00,4.06,7.155,"Stn01"
2019-07-14 05:45:00,4.06,7.1,"Stn01"
2019-07-14 06:00:00,4.06,7.05,"Stn01"
2019-07-14 06:15:00,4.07,7.01,"Stn01"
2019-07-14 06:30:00,4.13,6.94,"Stn01"
2019-07-14 06:45:00,4.14,6.905,"Stn01"
2019-07-14 07:00:00,4.14,6.885,"Stn01"
2019-07-14 07:15:00,4.19,6.885,"Stn01"
2019-07-14 07:30:00,4.25,6.905,"Stn01"
2019-07-14 07:45:00,4.44,6.905,"Stn01"
2019-07-14 08:00:00,4.71,6.83,"Stn01"
2019-07-14 08:15:00,4.97,6.76,"Stn01"
2019-07-14 08:30:00,5.11,6.78,"Stn01"
2019-07-14 08:45:00,5.26,6.725,"Stn01"
2019-07-14 09:00:00,5.4,6.635,"Stn01"
2019-07-14 09:15:00,5.52,6.47,"Stn01"
2019-07-14 09:30:00,5.69,6.4,"Stn01"
2019-07-14 09:45:00,5.81,6.51,"Stn01"
2019-07-14 10:00:00,5.94,6.615,"Stn01"
2019-07-14 10:15:00,6.11,6.58,"Stn01"
2019-07-14 10:30:00,6.22,6.635,"Stn01"
2019-07-14 10:45:00,6.31,6.795,"Stn01"
2019-07-14 11:00:00,6.41,6.905,"Stn01"
2019-07-14 11:15:00,6.51,6.995,"Stn01"
2019-07-14 11:30:00,6.61,7.03,"Stn01"
2019-07-14 11:45:00,6.69,6.975,"Stn01"
2019-07-14 12:00:00,6.64,7.155,"Stn01"
2019-07-14 12:15:00,6.81,7.3,"Stn01"
2019-07-14 12:30:00,6.87,7.355,"Stn01"
2019-07-14 12:45:00,6.92,7.425,"Stn01"
2019-07-14 13:00:00,6.96,7.445,"Stn01"
