"DateTime","DO_mgL","DOTemp_c","Station"
2021-06-19 01:15:00,4.74,6.64,"Stn05"
2021-06-19 01:30:00,4.74,6.62,"Stn05"
2021-06-19 01:45:00,4.74,6.6,"Stn05"
2021-06-19 02:00:00,4.75,6.6,"Stn05"
2021-06-19 02:15:00,4.73,6.58,"Stn05"
2021-06-19 02:30:00,4.74,6.56,"Stn05"
2021-06-19 02:45:00,4.73,6.54,"Stn05"
2021-06-19 03:00:00,4.73,6.52,"Stn05"
2021-06-19 03:15:00,4.73,6.5,"Stn05"
2021-06-19 03:30:00,4.73,6.48,"Stn05"
2021-06-19 03:45:00,4.73,6.48,"Stn05"
2021-06-19 04:00:00,4.73,6.44,"Stn05"
2021-06-19 04:15:00,4.74,6.44,"Stn05"
2021-06-19 04:30:00,4.72,6.42,"Stn05"
2021-06-19 04:45:00,4.73,6.4,"Stn05"
2021-06-19 05:00:00,4.74,6.36,"Stn05"
2021-06-19 05:15:00,4.74,6.36,"Stn05"
2021-06-19 05:30:00,4.74,6.34,"Stn05"
2021-06-19 05:45:00,4.75,6.32,"Stn05"
2021-06-19 06:00:00,4.74,6.26,"Stn05"
2021-06-19 06:15:00,4.71,6.18,"Stn05"
2021-06-19 06:30:00,4.7,6.12,"Stn05"
2021-06-19 06:45:00,4.7,6.12,"Stn05"
2021-06-19 07:00:00,4.71,6.16,"Stn05"
2021-06-19 07:15:00,4.72,6.18,"Stn05"
2021-06-19 07:30:00,4.76,6.18,"Stn05"
2021-06-19 07:45:00,4.79,6.16,"Stn05"
2021-06-19 08:00:00,4.83,6.12,"Stn05"
2021-06-19 08:15:00,4.89,6.08,"Stn05"
2021-06-19 08:30:00,4.93,6.06,"Stn05"
2021-06-19 08:45:00,4.96,6.08,"Stn05"
2021-06-19 09:00:00,4.98,6.12,"Stn05"
2021-06-19 09:15:00,5.01,6.16,"Stn05"
2021-06-19 09:30:00,5.03,6.2,"Stn05"
2021-06-19 09:45:00,5.04,6.24,"Stn05"
2021-06-19 10:00:00,5.06,6.3,"Stn05"
2021-06-19 10:15:00,5.08,6.4,"Stn05"
2021-06-19 10:30:00,5.07,6.44,"Stn05"
2021-06-19 10:45:00,5.07,6.42,"Stn05"
2021-06-19 11:00:00,5.08,6.48,"Stn05"
2021-06-19 11:15:00,5.07,6.5,"Stn05"
2021-06-19 11:30:00,5.08,6.56,"Stn05"
2021-06-19 11:45:00,5.09,6.62,"Stn05"
2021-06-19 12:00:00,5.08,6.64,"Stn05"
2021-06-19 12:15:00,5.09,6.7,"Stn05"
2021-06-19 12:30:00,5.1,6.76,"Stn05"
2021-06-19 12:45:00,5.08,6.8,"Stn05"
2021-06-19 13:00:00,5.07,6.78,"Stn05"
2021-06-19 13:15:00,5.08,6.86,"Stn05"
2021-06-19 13:30:00,5.04,6.9,"Stn05"
2021-06-19 13:45:00,5.02,6.9,"Stn05"
2021-06-19 14:00:00,5.02,6.96,"Stn05"
2021-06-19 14:15:00,5.03,7.04,"Stn05"
2021-06-19 14:30:00,5.03,7.08,"Stn05"
2021-06-19 14:45:00,5.03,7.08,"Stn05"
2021-06-19 15:00:00,5.06,7.16,"Stn05"
2021-06-19 15:15:00,5.04,7.18,"Stn05"
2021-06-19 15:30:00,5.02,7.16,"Stn05"
2021-06-19 15:45:00,5.04,7.22,"Stn05"
2021-06-19 16:00:00,5.02,7.32,"Stn05"
2021-06-19 16:15:00,4.99,7.3,"Stn05"
2021-06-19 16:30:00,4.98,7.3,"Stn05"
2021-06-19 16:45:00,4.97,7.32,"Stn05"
2021-06-19 17:00:00,4.98,7.3,"Stn05"
2021-06-19 17:15:00,4.99,7.3,"Stn05"
2021-06-19 17:30:00,5,7.32,"Stn05"
2021-06-19 17:45:00,4.99,7.32,"Stn05"
2021-06-19 18:00:00,4.98,7.32,"Stn05"
2021-06-19 18:15:00,4.97,7.3,"Stn05"
2021-06-19 18:30:00,4.95,7.28,"Stn05"
2021-06-19 18:45:00,4.95,7.24,"Stn05"
2021-06-19 19:00:00,4.94,7.22,"Stn05"
2021-06-19 19:15:00,4.92,7.18,"Stn05"
2021-06-19 19:30:00,4.92,7.16,"Stn05"
2021-06-19 19:45:00,4.91,7.12,"Stn05"
2021-06-19 20:00:00,4.91,7.1,"Stn05"
2021-06-19 20:15:00,4.9,7.06,"Stn05"
2021-06-19 20:30:00,4.89,7.02,"Stn05"
2021-06-19 20:45:00,4.88,7,"Stn05"
2021-06-19 21:00:00,4.88,6.96,"Stn05"
2021-06-19 21:15:00,4.87,6.92,"Stn05"
2021-06-19 21:30:00,4.86,6.88,"Stn05"
2021-06-19 21:45:00,4.87,6.84,"Stn05"
2021-06-19 22:00:00,4.88,6.8,"Stn05"
2021-06-19 22:15:00,4.88,6.78,"Stn05"
2021-06-19 22:30:00,4.9,6.74,"Stn05"
2021-06-19 22:45:00,4.9,6.7,"Stn05"
2021-06-19 23:00:00,4.91,6.66,"Stn05"
2021-06-19 23:15:00,4.91,6.62,"Stn05"
2021-06-19 23:30:00,4.9,6.6,"Stn05"
2021-06-19 23:45:00,4.91,6.56,"Stn05"
2021-06-20,4.9,6.54,"Stn05"
2021-06-20 00:15:00,4.91,6.5,"Stn05"
2021-06-20 00:30:00,4.91,6.48,"Stn05"
2021-06-20 00:45:00,4.9,6.44,"Stn05"
2021-06-20 01:00:00,4.9,6.42,"Stn05"
2021-06-20 01:15:00,4.9,6.4,"Stn05"
2021-06-20 01:30:00,4.91,6.36,"Stn05"
2021-06-20 01:45:00,4.89,6.34,"Stn05"
2021-06-20 02:00:00,4.89,6.32,"Stn05"
2021-06-20 02:15:00,4.89,6.3,"Stn05"
2021-06-20 02:30:00,4.88,6.28,"Stn05"
2021-06-20 02:45:00,4.87,6.24,"Stn05"
2021-06-20 03:00:00,4.86,6.24,"Stn05"
2021-06-20 03:15:00,4.86,6.22,"Stn05"
2021-06-20 03:30:00,4.86,6.2,"Stn05"
2021-06-20 03:45:00,4.86,6.18,"Stn05"
2021-06-20 04:00:00,4.86,6.16,"Stn05"
2021-06-20 04:15:00,4.86,6.16,"Stn05"
2021-06-20 04:30:00,4.85,6.16,"Stn05"
2021-06-20 04:45:00,4.83,6.14,"Stn05"
2021-06-20 05:00:00,4.83,6.12,"Stn05"
2021-06-20 05:15:00,4.81,6.1,"Stn05"
2021-06-20 05:30:00,4.8,6.08,"Stn05"
2021-06-20 05:45:00,4.8,6.06,"Stn05"
2021-06-20 06:00:00,4.79,6.04,"Stn05"
2021-06-20 06:15:00,4.8,6.02,"Stn05"
2021-06-20 06:30:00,4.8,6.02,"Stn05"
2021-06-20 06:45:00,4.81,6,"Stn05"
2021-06-20 07:00:00,4.8,6,"Stn05"
2021-06-20 07:15:00,4.82,5.98,"Stn05"
2021-06-20 07:30:00,4.84,5.96,"Stn05"
2021-06-20 07:45:00,4.84,5.94,"Stn05"
2021-06-20 08:00:00,4.85,5.92,"Stn05"
2021-06-20 08:15:00,4.84,5.88,"Stn05"
2021-06-20 08:30:00,4.87,5.88,"Stn05"
2021-06-20 08:45:00,4.89,5.88,"Stn05"
2021-06-20 09:00:00,4.91,5.86,"Stn05"
2021-06-20 09:15:00,4.94,5.86,"Stn05"
2021-06-20 09:30:00,4.97,5.86,"Stn05"
2021-06-20 09:45:00,4.99,5.86,"Stn05"
2021-06-20 10:00:00,5.03,5.9,"Stn05"
2021-06-20 10:15:00,5.04,5.94,"Stn05"
2021-06-20 10:30:00,5.04,5.94,"Stn05"
2021-06-20 10:45:00,5.05,5.94,"Stn05"
2021-06-20 11:00:00,5.07,5.98,"Stn05"
2021-06-20 11:15:00,5.07,6.02,"Stn05"
2021-06-20 11:30:00,5.07,6.04,"Stn05"
2021-06-20 11:45:00,5.07,6.08,"Stn05"
2021-06-20 12:00:00,5.06,6.12,"Stn05"
2021-06-20 12:15:00,5.06,6.14,"Stn05"
2021-06-20 12:30:00,5.05,6.18,"Stn05"
2021-06-20 12:45:00,5.06,6.24,"Stn05"
2021-06-20 13:00:00,5.06,6.28,"Stn05"
2021-06-20 13:15:00,5.06,6.32,"Stn05"
2021-06-20 13:30:00,5.06,6.32,"Stn05"
2021-06-20 13:45:00,5.08,6.38,"Stn05"
2021-06-20 14:00:00,5.09,6.44,"Stn05"
2021-06-20 14:15:00,5.06,6.46,"Stn05"
2021-06-20 14:30:00,5.09,6.48,"Stn05"
2021-06-20 14:45:00,5.07,6.52,"Stn05"
2021-06-20 15:00:00,5.06,6.56,"Stn05"
2021-06-20 15:15:00,5.06,6.6,"Stn05"
2021-06-20 15:30:00,5.07,6.64,"Stn05"
2021-06-20 15:45:00,5.06,6.66,"Stn05"
2021-06-20 16:00:00,5.04,6.66,"Stn05"
2021-06-20 16:15:00,5.06,6.72,"Stn05"
2021-06-20 16:30:00,5.05,6.74,"Stn05"
2021-06-20 16:45:00,5.02,6.72,"Stn05"
2021-06-20 17:00:00,5.05,6.74,"Stn05"
2021-06-20 17:15:00,5.03,6.76,"Stn05"
2021-06-20 17:30:00,5.01,6.76,"Stn05"
2021-06-20 17:45:00,5.01,6.76,"Stn05"
2021-06-20 18:00:00,4.99,6.74,"Stn05"
2021-06-20 18:15:00,4.98,6.74,"Stn05"
2021-06-20 18:30:00,4.97,6.72,"Stn05"
2021-06-20 18:45:00,4.97,6.72,"Stn05"
2021-06-20 19:00:00,4.95,6.7,"Stn05"
2021-06-20 19:15:00,4.95,6.66,"Stn05"
2021-06-20 19:30:00,4.94,6.64,"Stn05"
2021-06-20 19:45:00,4.93,6.62,"Stn05"
2021-06-20 20:00:00,4.9,6.58,"Stn05"
2021-06-20 20:15:00,4.91,6.54,"Stn05"
2021-06-20 20:30:00,4.89,6.5,"Stn05"
2021-06-20 20:45:00,4.88,6.46,"Stn05"
2021-06-20 21:00:00,4.87,6.42,"Stn05"
2021-06-20 21:15:00,4.85,6.4,"Stn05"
2021-06-20 21:30:00,4.85,6.36,"Stn05"
2021-06-20 21:45:00,4.85,6.34,"Stn05"
2021-06-20 22:00:00,4.86,6.3,"Stn05"
2021-06-20 22:15:00,4.87,6.26,"Stn05"
2021-06-20 22:30:00,4.88,6.24,"Stn05"
2021-06-20 22:45:00,4.89,6.2,"Stn05"
2021-06-20 23:00:00,4.87,6.16,"Stn05"
2021-06-20 23:15:00,4.88,6.1,"Stn05"
2021-06-20 23:30:00,4.87,6.06,"Stn05"
2021-06-20 23:45:00,4.86,6.02,"Stn05"
2021-06-21,4.86,5.98,"Stn05"
2021-06-21 00:15:00,4.86,5.92,"Stn05"
2021-06-21 00:30:00,4.86,5.88,"Stn05"
2021-06-21 00:45:00,4.87,5.84,"Stn05"
2021-06-21 01:00:00,4.87,5.74,"Stn05"
2021-06-21 01:15:00,4.86,5.64,"Stn05"
2021-06-21 01:30:00,4.87,5.58,"Stn05"
2021-06-21 01:45:00,4.89,5.5,"Stn05"
2021-06-21 02:00:00,4.91,5.44,"Stn05"
2021-06-21 02:15:00,4.91,5.4,"Stn05"
2021-06-21 02:30:00,4.9,5.34,"Stn05"
2021-06-21 02:45:00,4.89,5.3,"Stn05"
2021-06-21 03:00:00,4.91,5.26,"Stn05"
2021-06-21 03:15:00,4.91,5.24,"Stn05"
2021-06-21 03:30:00,4.93,5.22,"Stn05"
2021-06-21 03:45:00,4.92,5.22,"Stn05"
2021-06-21 04:00:00,4.92,5.22,"Stn05"
2021-06-21 04:15:00,4.93,5.24,"Stn05"
2021-06-21 04:30:00,4.93,5.24,"Stn05"
2021-06-21 04:45:00,4.94,5.24,"Stn05"
2021-06-21 05:00:00,4.94,5.24,"Stn05"
2021-06-21 05:15:00,4.93,5.24,"Stn05"
2021-06-21 05:30:00,4.94,5.22,"Stn05"
2021-06-21 05:45:00,4.93,5.22,"Stn05"
2021-06-21 06:00:00,4.95,5.22,"Stn05"
2021-06-21 06:15:00,4.94,5.2,"Stn05"
2021-06-21 06:30:00,4.94,5.2,"Stn05"
2021-06-21 06:45:00,4.93,5.2,"Stn05"
2021-06-21 07:00:00,4.93,5.2,"Stn05"
2021-06-21 07:15:00,4.94,5.2,"Stn05"
2021-06-21 07:30:00,4.94,5.2,"Stn05"
2021-06-21 07:45:00,4.95,5.2,"Stn05"
2021-06-21 08:00:00,4.95,5.2,"Stn05"
2021-06-21 08:15:00,4.97,5.2,"Stn05"
2021-06-21 08:30:00,4.96,5.2,"Stn05"
2021-06-21 08:45:00,4.99,5.22,"Stn05"
2021-06-21 09:00:00,5,5.26,"Stn05"
2021-06-21 09:15:00,5.01,5.28,"Stn05"
2021-06-21 09:30:00,5.01,5.32,"Stn05"
2021-06-21 09:45:00,5.02,5.36,"Stn05"
2021-06-21 10:00:00,5.04,5.42,"Stn05"
2021-06-21 10:15:00,5.05,5.5,"Stn05"
2021-06-21 10:30:00,5.07,5.58,"Stn05"
2021-06-21 10:45:00,5.09,5.72,"Stn05"
2021-06-21 11:00:00,5.1,5.84,"Stn05"
2021-06-21 11:15:00,5.1,5.96,"Stn05"
2021-06-21 11:30:00,5.12,6.12,"Stn05"
2021-06-21 11:45:00,5.1,6.2,"Stn05"
2021-06-21 12:00:00,5.08,6.24,"Stn05"
2021-06-21 12:15:00,5.1,6.36,"Stn05"
2021-06-21 12:30:00,5.09,6.44,"Stn05"
2021-06-21 12:45:00,5.09,6.52,"Stn05"
2021-06-21 13:00:00,5.1,6.62,"Stn05"
2021-06-21 13:15:00,5.1,6.74,"Stn05"
2021-06-21 13:30:00,5.09,6.82,"Stn05"
2021-06-21 13:45:00,5.11,6.9,"Stn05"
2021-06-21 14:00:00,5.11,7,"Stn05"
2021-06-21 14:15:00,5.09,7.06,"Stn05"
2021-06-21 14:30:00,5.09,7.1,"Stn05"
2021-06-21 14:45:00,5.09,7.14,"Stn05"
2021-06-21 15:00:00,5.12,7.22,"Stn05"
2021-06-21 15:15:00,5.13,7.34,"Stn05"
2021-06-21 15:30:00,5.11,7.4,"Stn05"
2021-06-21 15:45:00,5.08,7.42,"Stn05"
2021-06-21 16:00:00,5.08,7.44,"Stn05"
2021-06-21 16:15:00,5.08,7.5,"Stn05"
2021-06-21 16:30:00,5.05,7.5,"Stn05"
2021-06-21 16:45:00,5.06,7.5,"Stn05"
2021-06-21 17:00:00,5.07,7.6,"Stn05"
2021-06-21 17:15:00,5.04,7.6,"Stn05"
2021-06-21 17:30:00,5.04,7.6,"Stn05"
2021-06-21 17:45:00,5.02,7.6,"Stn05"
2021-06-21 18:00:00,4.99,7.54,"Stn05"
2021-06-21 18:15:00,4.99,7.52,"Stn05"
2021-06-21 18:30:00,4.98,7.48,"Stn05"
2021-06-21 18:45:00,4.96,7.42,"Stn05"
2021-06-21 19:00:00,4.94,7.36,"Stn05"
2021-06-21 19:15:00,4.91,7.28,"Stn05"
2021-06-21 19:30:00,4.91,7.22,"Stn05"
2021-06-21 19:45:00,4.91,7.14,"Stn05"
2021-06-21 20:00:00,4.89,7.08,"Stn05"
2021-06-21 20:15:00,4.9,7.02,"Stn05"
2021-06-21 20:30:00,4.89,6.94,"Stn05"
2021-06-21 20:45:00,4.9,6.88,"Stn05"
2021-06-21 21:00:00,4.9,6.8,"Stn05"
2021-06-21 21:15:00,4.91,6.74,"Stn05"
2021-06-21 21:30:00,4.9,6.7,"Stn05"
2021-06-21 21:45:00,4.89,6.64,"Stn05"
2021-06-21 22:00:00,4.89,6.6,"Stn05"
2021-06-21 22:15:00,4.89,6.54,"Stn05"
2021-06-21 22:30:00,4.9,6.48,"Stn05"
2021-06-21 22:45:00,4.89,6.44,"Stn05"
2021-06-21 23:00:00,4.89,6.4,"Stn05"
2021-06-21 23:15:00,4.89,6.36,"Stn05"
2021-06-21 23:30:00,4.88,6.32,"Stn05"
2021-06-21 23:45:00,4.88,6.24,"Stn05"
2021-06-22,4.89,6.2,"Stn05"
2021-06-22 00:15:00,4.88,6.16,"Stn05"
2021-06-22 00:30:00,4.88,6.12,"Stn05"
2021-06-22 00:45:00,4.88,6.08,"Stn05"
2021-06-22 01:00:00,4.89,6.04,"Stn05"
2021-06-22 01:15:00,4.88,5.98,"Stn05"
2021-06-22 01:30:00,4.89,5.96,"Stn05"
2021-06-22 01:45:00,4.88,5.96,"Stn05"
2021-06-22 02:00:00,4.88,5.92,"Stn05"
2021-06-22 02:15:00,4.88,5.9,"Stn05"
2021-06-22 02:30:00,4.87,5.9,"Stn05"
2021-06-22 02:45:00,4.87,5.88,"Stn05"
2021-06-22 03:00:00,4.88,5.88,"Stn05"
2021-06-22 03:15:00,4.87,5.86,"Stn05"
2021-06-22 03:30:00,4.88,5.84,"Stn05"
2021-06-22 03:45:00,4.88,5.84,"Stn05"
2021-06-22 04:00:00,4.87,5.82,"Stn05"
2021-06-22 04:15:00,4.86,5.82,"Stn05"
2021-06-22 04:30:00,4.87,5.82,"Stn05"
2021-06-22 04:45:00,4.85,5.82,"Stn05"
2021-06-22 05:00:00,4.87,5.82,"Stn05"
2021-06-22 05:15:00,4.88,5.8,"Stn05"
2021-06-22 05:30:00,4.86,5.8,"Stn05"
2021-06-22 05:45:00,4.86,5.8,"Stn05"
2021-06-22 06:00:00,4.88,5.8,"Stn05"
2021-06-22 06:15:00,4.87,5.8,"Stn05"
2021-06-22 06:30:00,4.86,5.82,"Stn05"
2021-06-22 06:45:00,4.87,5.8,"Stn05"
2021-06-22 07:00:00,4.87,5.8,"Stn05"
2021-06-22 07:15:00,4.87,5.8,"Stn05"
2021-06-22 07:30:00,4.86,5.82,"Stn05"
2021-06-22 07:45:00,4.88,5.82,"Stn05"
2021-06-22 08:00:00,4.91,5.82,"Stn05"
2021-06-22 08:15:00,4.91,5.84,"Stn05"
2021-06-22 08:30:00,4.93,5.86,"Stn05"
2021-06-22 08:45:00,4.97,5.88,"Stn05"
2021-06-22 09:00:00,4.99,5.92,"Stn05"
2021-06-22 09:15:00,5.02,5.96,"Stn05"
2021-06-22 09:30:00,5.04,6.02,"Stn05"
2021-06-22 09:45:00,5.05,6.08,"Stn05"
2021-06-22 10:00:00,5.07,6.16,"Stn05"
2021-06-22 10:15:00,5.05,6.16,"Stn05"
2021-06-22 10:30:00,5.03,6.18,"Stn05"
2021-06-22 10:45:00,5.07,6.22,"Stn05"
2021-06-22 11:00:00,5.1,6.34,"Stn05"
2021-06-22 11:15:00,5.11,6.42,"Stn05"
2021-06-22 11:30:00,5.14,6.52,"Stn05"
2021-06-22 11:45:00,5.18,6.74,"Stn05"
2021-06-22 12:00:00,5.16,6.9,"Stn05"
2021-06-22 12:15:00,5.16,7.02,"Stn05"
2021-06-22 12:30:00,5.15,7.08,"Stn05"
2021-06-22 12:45:00,5.17,7.22,"Stn05"
2021-06-22 13:00:00,5.17,7.28,"Stn05"
2021-06-22 13:15:00,5.23,7.62,"Stn05"
2021-06-22 13:30:00,5.19,7.76,"Stn05"
2021-06-22 13:45:00,5.13,7.62,"Stn05"
2021-06-22 14:00:00,5.14,7.58,"Stn05"
2021-06-22 14:15:00,5.12,7.62,"Stn05"
2021-06-22 14:30:00,5.11,7.6,"Stn05"
