"DateTime","EC_uS_lowrange","EC_uS_fullrange","ECTemp_c","Station"
2020-01-21 11:00:00,19.8,17.7,12.26,"Stn01"
2020-01-21 11:15:00,20.1,18.1,12.81,"Stn01"
2020-01-21 11:30:00,20.5,18.5,13.87,"Stn01"
2020-01-21 11:45:00,20.5,18.5,13.93,"Stn01"
2020-01-21 12:00:00,20.3,18.1,13.5,"Stn01"
2020-01-21 12:15:00,20.2,18.1,13.34,"Stn01"
2020-01-21 12:30:00,20,17.7,12.93,"Stn01"
2020-01-21 12:45:00,19.7,17.7,12.81,"Stn01"
2020-01-21 13:00:00,19.4,17.4,12.56,"Stn01"
2020-01-21 13:15:00,19.7,17.4,12.34,"Stn01"
2020-01-21 13:30:00,19.6,17.4,12.4,"Stn01"
2020-01-21 13:45:00,19.2,17,12.53,"Stn01"
2020-01-21 14:00:00,19.5,17.4,12.57,"Stn01"
2020-01-21 14:15:00,19.7,17.4,12.42,"Stn01"
2020-01-21 14:30:00,19.7,17.4,12.32,"Stn01"
2020-01-21 14:45:00,19.7,17.4,12.23,"Stn01"
2020-01-21 15:00:00,19.8,17.4,12.35,"Stn01"
2020-01-21 15:15:00,20,18.1,13.12,"Stn01"
2020-01-21 15:30:00,20,18.1,13.29,"Stn01"
2020-01-21 15:45:00,19.9,17.7,13.18,"Stn01"
2020-01-21 16:00:00,19.9,17.7,12.91,"Stn01"
2020-01-21 16:15:00,17.8,15.5,11.93,"Stn01"
2020-01-21 16:30:00,17.7,15.9,12.3,"Stn01"
2020-01-21 16:45:00,17.6,15.5,12.31,"Stn01"
2020-01-21 17:00:00,17.2,15.1,12.22,"Stn01"
2020-01-21 17:15:00,17.2,15.5,12.04,"Stn01"
2020-01-21 17:30:00,16.5,14.4,11.89,"Stn01"
2020-01-21 17:45:00,16.5,14.4,11.74,"Stn01"
2020-01-21 18:00:00,16.7,14.4,11.67,"Stn01"
2020-01-21 18:15:00,17,14.8,11.58,"Stn01"
2020-01-21 18:30:00,16.4,14.4,11.48,"Stn01"
