Station,DateTime,Lux,Temp_C
Stn02,2021-6-10 13:00,242490.5,29.853
Stn02,2021-6-10 13:15,198401.3,30.76
Stn02,2021-6-10 13:30,22044.6,21.569
Stn02,2021-6-10 13:45,26178,15.378
Stn02,2021-6-10 14:00,44089.2,15.473
Stn02,2021-6-10 14:15,57867,18.711
Stn02,2021-6-10 14:30,8266.7,17.284
Stn02,2021-6-10 14:45,18600.1,16.808
Stn02,2021-6-10 15:00,6544.5,14.709
Stn02,2021-6-10 15:15,5511.1,13.461
Stn02,2021-6-10 15:30,10333.4,13.846
Stn02,2021-6-10 15:45,6200,13.654
Stn02,2021-6-10 16:00,4994.5,11.625
Stn02,2021-6-10 16:15,3961.1,10.259
Stn02,2021-6-10 16:30,9300.1,10.259
Stn02,2021-6-10 16:45,4822.3,10.357
Stn02,2021-6-10 17:00,6200,9.669
Stn02,2021-6-10 17:15,1108.7,8.68
Stn02,2021-6-10 17:30,409,7.381
Stn02,2021-6-10 17:45,333.7,6.877
Stn02,2021-6-10 18:00,247.6,6.775
Stn02,2021-6-10 18:15,107.6,6.674
Stn02,2021-6-10 18:30,0,6.166
Stn02,2021-6-10 18:45,0,6.064
Stn02,2021-6-10 19:00,0,5.655
Stn02,2021-6-10 19:15,0,5.45
Stn02,2021-6-10 19:30,0,5.552
Stn02,2021-6-10 19:45,0,5.655
Stn02,2021-6-10 20:00,0,5.655
Stn02,2021-6-10 20:15,0,5.655
Stn02,2021-6-10 20:30,0,5.655
Stn02,2021-6-10 20:45,0,5.655
Stn02,2021-6-10 21:00,0,5.347
Stn02,2021-6-10 21:15,0,5.552
Stn02,2021-6-10 21:30,0,5.655
Stn02,2021-6-10 21:45,0,5.45
Stn02,2021-6-10 22:00,0,5.141
Stn02,2021-6-10 22:15,0,5.141
Stn02,2021-6-10 22:30,0,4.207
Stn02,2021-6-10 22:45,0,3.367
Stn02,2021-6-10 23:00,0,3.049
Stn02,2021-6-10 23:15,0,3.367
Stn02,2021-6-10 23:30,0,3.683
Stn02,2021-6-10 23:45,0,3.578
Stn02,2021-6-11 0:00,0,3.049
Stn02,2021-6-11 0:15,0,2.517
Stn02,2021-6-11 0:30,0,2.195
Stn02,2021-6-11 0:45,0,2.195
Stn02,2021-6-11 1:00,0,2.195
Stn02,2021-6-11 1:15,0,2.517
Stn02,2021-6-11 1:30,0,2.837
Stn02,2021-6-11 1:45,0,3.261
Stn02,2021-6-11 2:00,0,3.367
Stn02,2021-6-11 2:15,0,3.261
Stn02,2021-6-11 2:30,0,3.578
Stn02,2021-6-11 2:45,0,3.261
Stn02,2021-6-11 3:00,0,3.261
Stn02,2021-6-11 3:15,0,3.049
Stn02,2021-6-11 3:30,0,2.73
Stn02,2021-6-11 3:45,0,2.517
Stn02,2021-6-11 4:00,0,2.943
Stn02,2021-6-11 4:15,0,3.578
Stn02,2021-6-11 4:30,0,3.578
Stn02,2021-6-11 4:45,0,3.472
Stn02,2021-6-11 5:00,0,3.367
Stn02,2021-6-11 5:15,0,3.261
Stn02,2021-6-11 5:30,0,3.049
Stn02,2021-6-11 5:45,0,2.837
Stn02,2021-6-11 6:00,10.8,2.624
Stn02,2021-6-11 6:15,118.4,2.624
Stn02,2021-6-11 6:30,279.9,2.837
Stn02,2021-6-11 6:45,430.6,2.943
Stn02,2021-6-11 7:00,1894.5,3.155
Stn02,2021-6-11 7:15,4477.8,3.998
Stn02,2021-6-11 7:30,5166.7,4.934
Stn02,2021-6-11 7:45,5166.7,5.45
Stn02,2021-6-11 8:00,4822.3,5.655
Stn02,2021-6-11 8:15,5166.7,5.244
Stn02,2021-6-11 8:30,7577.8,5.757
Stn02,2021-6-11 8:45,5166.7,5.86
Stn02,2021-6-11 9:00,3616.7,5.347
Stn02,2021-6-11 9:15,1550,5.244
Stn02,2021-6-11 9:30,1636.1,5.037
Stn02,2021-6-11 9:45,1894.5,5.037
Stn02,2021-6-11 10:00,7233.4,5.347
Stn02,2021-6-11 10:15,12400.1,6.573
Stn02,2021-6-11 10:30,9300.1,7.782
Stn02,2021-6-11 10:45,24800.2,8.68
Stn02,2021-6-11 10:50,NA,NA
Stn02,2021-6-11 10:50,NA,NA
Stn02,2021-6-11 11:00,16533.4,9.571
Stn02,2021-6-11 11:15,44089.2,12.98
Stn02,2021-6-11 11:30,33066.9,13.365
Stn02,2021-6-11 11:45,22044.6,9.768
Stn02,2021-6-11 12:00,23422.4,10.357
Stn02,2021-6-11 12:15,33066.9,11.722
Stn02,2021-6-11 12:30,19289,11.528
Stn02,2021-6-11 12:45,22044.6,12.304
Stn02,2021-6-11 13:00,18600.1,10.063
Stn02,2021-6-11 13:15,15844.5,9.077
Stn02,2021-6-11 13:30,28933.5,11.334
Stn02,2021-6-11 13:45,14466.8,10.357
Stn02,2021-6-11 14:00,15155.7,9.669
Stn02,2021-6-11 14:15,35822.5,13.173
Stn02,2021-6-11 14:30,34444.7,13.269
Stn02,2021-6-11 14:45,38578,13.173
Stn02,2021-6-11 15:00,23422.4,13.365
Stn02,2021-6-11 15:15,15844.5,12.883
Stn02,2021-6-11 15:30,13089,12.69
Stn02,2021-6-11 15:45,22044.6,12.594
Stn02,2021-6-11 16:00,8266.7,9.866
Stn02,2021-6-11 16:15,8266.7,8.68
Stn02,2021-6-11 16:30,1894.5,7.481
Stn02,2021-6-11 16:45,1894.5,6.877
Stn02,2021-6-11 17:00,667.4,6.573
Stn02,2021-6-11 17:15,818.1,6.166
Stn02,2021-6-11 17:30,559.7,5.655
Stn02,2021-6-11 17:45,366,4.831
Stn02,2021-6-11 18:00,161.5,4.311
Stn02,2021-6-11 18:15,107.6,4.207
Stn02,2021-6-11 18:30,0,4.207
Stn02,2021-6-11 18:45,0,4.207
Stn02,2021-6-11 19:00,0,4.727
Stn02,2021-6-11 19:15,0,4.934
Stn02,2021-6-11 19:30,0,4.831
Stn02,2021-6-11 19:45,0,5.037
Stn02,2021-6-11 20:00,0,5.141
Stn02,2021-6-11 20:15,0,5.141
Stn02,2021-6-11 20:30,0,5.037
Stn02,2021-6-11 20:45,0,4.934
Stn02,2021-6-11 21:00,0,4.831
Stn02,2021-6-11 21:15,0,4.623
Stn02,2021-6-11 21:30,0,4.311
Stn02,2021-6-11 21:45,0,4.207
Stn02,2021-6-11 22:00,0,4.102
Stn02,2021-6-11 22:15,0,4.311
Stn02,2021-6-11 22:30,0,4.311
Stn02,2021-6-11 22:45,0,4.415
Stn02,2021-6-11 23:00,0,4.311
Stn02,2021-6-11 23:15,0,3.998
Stn02,2021-6-11 23:30,0,3.683
Stn02,2021-6-11 23:45,0,3.472
Stn02,2021-6-12 0:00,0,3.472
Stn02,2021-6-12 0:15,0,3.472
Stn02,2021-6-12 0:30,0,3.683
Stn02,2021-6-12 0:45,0,4.102
Stn02,2021-6-12 1:00,0,4.102
Stn02,2021-6-12 1:15,0,4.102
Stn02,2021-6-12 1:30,0,4.102
Stn02,2021-6-12 1:45,0,4.102
Stn02,2021-6-12 2:00,0,4.102
Stn02,2021-6-12 2:15,0,3.893
Stn02,2021-6-12 2:30,0,3.893
Stn02,2021-6-12 2:45,0,3.788
Stn02,2021-6-12 3:00,0,3.788
Stn02,2021-6-12 3:15,0,3.788
Stn02,2021-6-12 3:30,0,3.893
Stn02,2021-6-12 3:45,0,3.893
Stn02,2021-6-12 4:00,0,3.998
Stn02,2021-6-12 4:15,0,4.102
Stn02,2021-6-12 4:30,0,3.998
Stn02,2021-6-12 4:45,0,3.788
Stn02,2021-6-12 5:00,0,3.578
Stn02,2021-6-12 5:15,0,3.367
Stn02,2021-6-12 5:30,0,3.683
Stn02,2021-6-12 5:45,0,3.472
Stn02,2021-6-12 6:00,10.8,3.472
Stn02,2021-6-12 6:15,183,3.472
Stn02,2021-6-12 6:30,462.9,3.578
Stn02,2021-6-12 6:45,1011.8,3.578
Stn02,2021-6-12 7:00,1550,3.788
Stn02,2021-6-12 7:15,3100,4.102
Stn02,2021-6-12 7:30,9644.5,4.727
Stn02,2021-6-12 7:45,5338.9,4.934
Stn02,2021-6-12 8:00,6544.5,5.037
Stn02,2021-6-12 8:15,8611.2,5.655
Stn02,2021-6-12 8:30,6544.5,5.347
Stn02,2021-6-12 8:45,14466.8,6.37
Stn02,2021-6-12 9:00,20666.8,6.775
Stn02,2021-6-12 9:15,19977.9,8.182
Stn02,2021-6-12 9:30,23422.4,8.481
Stn02,2021-6-12 9:45,34444.7,9.373
Stn02,2021-6-12 10:00,26178,9.275
Stn02,2021-6-12 10:15,19977.9,8.68
Stn02,2021-6-12 10:30,11711.2,8.282
Stn02,2021-6-12 10:45,15155.7,9.077
Stn02,2021-6-12 11:00,15155.7,7.682
Stn02,2021-6-12 11:15,22044.6,8.879
Stn02,2021-6-12 11:30,16533.4,10.259
Stn02,2021-6-12 11:45,21355.7,10.357
Stn02,2021-6-12 12:00,27555.7,9.571
Stn02,2021-6-12 12:15,30311.3,11.236
Stn02,2021-6-12 12:30,17222.3,11.334
Stn02,2021-6-12 12:45,13777.9,9.373
Stn02,2021-6-12 13:00,44089.2,10.455
Stn02,2021-6-12 13:15,71644.9,15.378
Stn02,2021-6-12 13:30,42711.4,16.999
Stn02,2021-6-12 13:45,44089.2,16.046
Stn02,2021-6-12 14:00,55111.5,19.758
Stn02,2021-6-12 14:15,34444.7,15.76
Stn02,2021-6-12 14:30,37200.2,18.14
Stn02,2021-6-12 14:45,79911.6,18.806
Stn02,2021-6-12 15:00,8611.2,15.282
Stn02,2021-6-12 15:15,13089,15.091
Stn02,2021-6-12 15:30,7577.8,13.654
Stn02,2021-6-12 15:45,9644.5,11.139
Stn02,2021-6-12 16:00,7577.8,12.013
Stn02,2021-6-12 16:15,9300.1,11.625
Stn02,2021-6-12 16:30,9644.5,11.916
Stn02,2021-6-12 16:45,22044.6,11.916
Stn02,2021-6-12 17:00,8611.2,11.334
Stn02,2021-6-12 17:15,9644.5,9.669
Stn02,2021-6-12 17:30,1141,8.581
Stn02,2021-6-12 17:45,322.9,7.582
Stn02,2021-6-12 18:00,172.2,6.471
Stn02,2021-6-12 18:15,32.3,6.166
Stn02,2021-6-12 18:30,0,5.757
Stn02,2021-6-12 18:45,0,5.655
Stn02,2021-6-12 19:00,0,5.45
Stn02,2021-6-12 19:15,0,5.45
Stn02,2021-6-12 19:30,0,5.552
Stn02,2021-6-12 19:45,0,5.347
Stn02,2021-6-12 20:00,0,5.347
Stn02,2021-6-12 20:15,0,5.244
Stn02,2021-6-12 20:30,0,5.141
Stn02,2021-6-12 20:45,0,5.141
Stn02,2021-6-12 21:00,0,5.037
Stn02,2021-6-12 21:15,0,5.037
Stn02,2021-6-12 21:30,0,4.934
Stn02,2021-6-12 21:45,0,5.037
Stn02,2021-6-12 22:00,0,4.934
Stn02,2021-6-12 22:15,0,4.727
Stn02,2021-6-12 22:30,0,4.727
Stn02,2021-6-12 22:45,0,4.623
Stn02,2021-6-12 23:00,0,4.311
Stn02,2021-6-12 23:15,0,4.415
Stn02,2021-6-12 23:30,0,4.207
Stn02,2021-6-12 23:45,0,4.415
Stn02,2021-6-13 0:00,0,4.415
Stn02,2021-6-13 0:15,0,4.415
Stn02,2021-6-13 0:30,0,4.311
Stn02,2021-6-13 0:45,0,4.207
Stn02,2021-6-13 1:00,0,3.893
Stn02,2021-6-13 1:15,0,3.893
Stn02,2021-6-13 1:30,0,3.788
Stn02,2021-6-13 1:45,0,3.683
Stn02,2021-6-13 2:00,0,3.367
Stn02,2021-6-13 2:15,0,2.943
Stn02,2021-6-13 2:30,0,2.41
Stn02,2021-6-13 2:45,0,1.548
Stn02,2021-6-13 3:00,0,1.439
Stn02,2021-6-13 3:15,0,1.33
Stn02,2021-6-13 3:30,0,1.221
Stn02,2021-6-13 3:45,0,0.893
Stn02,2021-6-13 4:00,0,0.784
Stn02,2021-6-13 4:15,0,0.784
Stn02,2021-6-13 4:30,0,0.784
Stn02,2021-6-13 4:45,0,0.893
Stn02,2021-6-13 5:00,0,1.33
Stn02,2021-6-13 5:15,0,1.33
Stn02,2021-6-13 5:30,0,2.303
Stn02,2021-6-13 5:45,0,2.195
Stn02,2021-6-13 6:00,0,2.41
Stn02,2021-6-13 6:15,86.1,2.517
Stn02,2021-6-13 6:30,462.9,2.624
Stn02,2021-6-13 6:45,882.6,2.73
Stn02,2021-6-13 7:00,1808.3,2.73
Stn02,2021-6-13 7:15,2669.5,3.049
Stn02,2021-6-13 7:30,4133.4,3.261
Stn02,2021-6-13 7:45,5166.7,3.155
Stn02,2021-6-13 8:00,4305.6,3.367
Stn02,2021-6-13 8:15,9300.1,3.683
Stn02,2021-6-13 8:30,10333.4,3.998
Stn02,2021-6-13 8:45,10677.8,4.727
Stn02,2021-6-13 9:00,9300.1,5.141
Stn02,2021-6-13 9:15,7233.4,5.45
Stn02,2021-6-13 9:30,16533.4,5.757
Stn02,2021-6-13 9:45,13089,6.471
Stn02,2021-6-13 10:00,11022.3,6.573
Stn02,2021-6-13 10:15,7233.4,6.064
Stn02,2021-6-13 10:30,14466.8,6.978
Stn02,2021-6-13 10:45,24800.2,7.582
Stn02,2021-6-13 11:00,23422.4,8.282
Stn02,2021-6-13 11:15,17911.2,8.481
Stn02,2021-6-13 11:30,26178,8.68
Stn02,2021-6-13 11:45,41333.6,9.275
Stn02,2021-6-13 12:00,46844.8,10.161
Stn02,2021-6-13 12:15,60622.6,12.787
Stn02,2021-6-13 12:30,165334.4,17.189
Stn02,2021-6-13 12:45,26178,12.98
Stn02,2021-6-13 13:00,35822.5,13.558
Stn02,2021-6-13 13:15,41333.6,11.431
Stn02,2021-6-13 13:30,31689.1,12.207
Stn02,2021-6-13 13:45,37200.2,12.207
Stn02,2021-6-13 14:00,28933.5,10.161
Stn02,2021-6-13 14:15,42711.4,12.401
Stn02,2021-6-13 14:30,24800.2,11.625
Stn02,2021-6-13 14:45,5511.1,9.275
Stn02,2021-6-13 15:00,9300.1,7.983
Stn02,2021-6-13 15:15,11711.2,8.481
Stn02,2021-6-13 15:30,7233.4,7.983
Stn02,2021-6-13 15:45,3961.1,7.782
Stn02,2021-6-13 16:00,3961.1,7.28
Stn02,2021-6-13 16:15,5166.7,7.481
Stn02,2021-6-13 16:30,6200,7.582
Stn02,2021-6-13 16:45,3616.7,7.28
Stn02,2021-6-13 17:00,3788.9,6.978
Stn02,2021-6-13 17:15,3444.5,7.179
Stn02,2021-6-13 17:30,2238.9,6.978
Stn02,2021-6-13 17:45,667.4,6.877
Stn02,2021-6-13 18:00,301.4,6.674
Stn02,2021-6-13 18:15,21.5,6.674
Stn02,2021-6-13 18:30,0,6.674
Stn02,2021-6-13 18:45,0,6.471
Stn02,2021-6-13 19:00,0,5.962
Stn02,2021-6-13 19:15,0,6.166
Stn02,2021-6-13 19:30,0,6.064
Stn02,2021-6-13 19:45,0,5.962
Stn02,2021-6-13 20:00,0,5.962
Stn02,2021-6-13 20:15,0,6.268
Stn02,2021-6-13 20:30,0,6.268
Stn02,2021-6-13 20:45,0,6.064
Stn02,2021-6-13 21:00,0,6.064
Stn02,2021-6-13 21:15,0,6.166
Stn02,2021-6-13 21:30,0,6.166
Stn02,2021-6-13 21:45,0,6.166
Stn02,2021-6-13 22:00,0,6.268
Stn02,2021-6-13 22:15,0,6.166
Stn02,2021-6-13 22:30,0,5.86
Stn02,2021-6-13 22:45,0,4.727
Stn02,2021-6-13 23:00,0,5.347
Stn02,2021-6-13 23:15,0,5.244
Stn02,2021-6-13 23:30,0,5.141
Stn02,2021-6-13 23:45,0,5.141
Stn02,2021-6-14 0:00,0,5.552
Stn02,2021-6-14 0:15,0,5.552
Stn02,2021-6-14 0:30,0,5.45
Stn02,2021-6-14 0:45,0,5.244
Stn02,2021-6-14 1:00,0,5.552
Stn02,2021-6-14 1:15,0,5.45
Stn02,2021-6-14 1:30,0,5.347
Stn02,2021-6-14 1:45,0,5.45
Stn02,2021-6-14 2:00,0,4.934
Stn02,2021-6-14 2:15,0,4.727
Stn02,2021-6-14 2:30,0,5.244
Stn02,2021-6-14 2:45,0,5.244
Stn02,2021-6-14 3:00,0,4.623
Stn02,2021-6-14 3:15,0,4.831
Stn02,2021-6-14 3:30,0,4.934
Stn02,2021-6-14 3:45,0,4.934
Stn02,2021-6-14 4:00,0,5.141
Stn02,2021-6-14 4:15,0,5.141
Stn02,2021-6-14 4:30,0,4.831
